test_run,n_train_all_valid,n_train_sampled,n_train_delayed_candidates,n_test_delayed_candidates,test_run_in_train,train_runs,cnn_1d_device,late_gated_cnn_new_device,cnn_1d_final_loss,late_gated_cnn_new_final_loss
42,30266,30266,149,9,False,"31,32,33,34,35,36,37,39,40,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",cpu,cpu,0.02670375470790601,0.023291584492755774
57,30357,30357,155,3,False,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65",cpu,cpu,0.027124009392442593,0.02491569395934255
64,30540,30540,154,4,False,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65",cpu,cpu,0.028657819887900088,0.02437683321808824
65,30799,30799,156,2,False,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",cpu,cpu,0.028562932724190044,0.02520588207641581
