method,reference,delta_winner_score,delta_pid_balanced_accuracy,delta_pid_auc,delta_energy_fractional_sigma68,delta_time_sigma68_ns,delta_pileup_miss_rate,delta_false_split_rate,delta_late_tail_rate_abs_gt_15ns
template_residual_boosted_stack_new,deltaE_over_E_likelihood_template,-0.08066041425330589,0.08093961210696432,0.11634036144578308,-0.0173463491271066,-3.5054780951449107,-0.34848484848484845,0.15454545454545449,-0.1137436536919925
gradient_boosted_trees,deltaE_over_E_likelihood_template,-0.07949327770877018,0.07638480752277399,0.12253893623273593,-0.014059851920981803,-3.3799059265522136,-0.3818181818181819,0.1515151515151515,-0.1129223724933226
ridge,deltaE_over_E_likelihood_template,-0.03427414733771067,-0.015207170143990645,0.049781442844548884,-0.011555374717108213,-1.260848501993479,-0.40303030303030307,0.1878787878787879,-0.06987411551752501
1d_cnn,deltaE_over_E_likelihood_template,-0.0187038767520466,0.00925653834851592,0.04802747575668531,0.0027204131771419865,-0.8208485735722277,-0.39999999999999997,0.15757575757575762,-0.024499070439991694
deltaE_over_E_likelihood_template,deltaE_over_E_likelihood_template,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joint_sequence_transformer,deltaE_over_E_likelihood_template,0.08980190442177483,-0.2531773435204232,-0.26674992653540996,0.022147056555907693,0.779338937538677,-0.35454545454545455,0.1272727272727273,0.019263018534863202
mlp,deltaE_over_E_likelihood_template,0.10252525231822124,-0.06529165442256835,-0.01926608874522473,0.061135370683685394,3.2519971017747444,-0.3909090909090909,0.196969696969697,0.0967316705724808
