heldout_run,heldout_group,n_scored_events,n_synthetic_train,training_policy,synthetic_train_source_runs,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,shuffled_label_synthetic_auc
44,high_20nA,353,4400,low_current_only_source_run_heldout,46 47,0.9148148148148149,0.92123722338874,0.1253764358539096,0.08461680517921125,0.47230032753842277
45,high_20nA,480,4400,low_current_only_source_run_heldout,46 47,0.9046825431633116,0.9103942204430517,0.13432318883566854,0.08938393861879913,0.4606961682967121
46,low_2nA,218,4400,low_current_only_source_run_heldout,47,0.9757766272189349,0.9796030618056241,0.06422557688928701,0.050553020058659796,0.3551682692307692
47,low_2nA,384,1332,low_current_only_source_run_heldout,46,0.8745923427891291,0.894386295827085,0.1513402933549991,0.09281038952418291,0.45127157310057525
48,high_20nA,480,4400,low_current_only_source_run_heldout,46 47,0.904647045694343,0.9033021485150599,0.12985820730752334,0.08753113514327972,0.39710656602548494
49,high_20nA,480,4400,low_current_only_source_run_heldout,46 47,0.9124107215323431,0.9111984707197576,0.12869278218021457,0.09070416877061047,0.4969513432351271
50,high_20nA,462,4400,low_current_only_source_run_heldout,46 47,0.9196502486104041,0.9291861456412858,0.12208262051166757,0.0863953166978307,0.5385024758202601
51,high_20nA,464,4400,low_current_only_source_run_heldout,46 47,0.9016553933784265,0.9024623447946529,0.1333974231799097,0.08756555164467286,0.4428844784620861
52,high_20nA,405,4400,low_current_only_source_run_heldout,46 47,0.9160355555555555,0.9237796764873217,0.12375655332281114,0.08678153271235539,0.5182897777777777
53,high_20nA,456,4400,low_current_only_source_run_heldout,46 47,0.9100827248531913,0.91636802388006,0.1303958243445115,0.09316598000193946,0.5311938300380289
54,high_20nA,463,4400,low_current_only_source_run_heldout,46 47,0.9162655489453759,0.9255268048477763,0.1250037559284696,0.08490718544182443,0.6005624661979447
55,high_20nA,459,4400,low_current_only_source_run_heldout,46 47,0.8895938298700639,0.8984097535524942,0.1377501192116188,0.08618633609253415,0.48049830456835607
56,high_20nA,480,4400,low_current_only_source_run_heldout,46 47,0.8991136535391299,0.9140103933194089,0.13308886977191253,0.08478835994641629,0.500630602225125
57,high_20nA,480,4400,low_current_only_source_run_heldout,46 47,0.9113620057397959,0.9154797280013057,0.12675946126567275,0.08563956849784253,0.5120475924744898
