method,heldout_run,n_test,rmse,mae,bias,r2
ridge,31,851,168.87242904965723,102.44419421544507,2.4017389927291424,0.9944400242139776
gradient_boosted_trees,31,851,97.78313303993725,48.18724885006635,5.660086467734875,0.9981358395225944
mlp,31,851,116.92559808990859,66.78336042859159,-14.321579409822315,0.99733452508465
one_dimensional_cnn,31,851,1716.0898370269351,1216.7326479417598,-475.69223477893655,0.42583668808999386
attentive_residual_mlp,31,851,1987.705925220767,1531.8544853022179,-112.9312211965702,0.22970041428855692
ridge,42,897,204.60358790000603,117.22001180149108,-1.8161808894230769,0.9900641325741477
gradient_boosted_trees,42,897,139.53946589951568,58.24409937294565,0.22044706996172986,0.9953786015916785
mlp,42,897,162.79796564226544,75.26204236561107,-1.0477728359941123,0.9937096147421308
one_dimensional_cnn,42,897,1506.7082763795388,1062.2221287756063,-259.09060257281214,0.461187521043252
attentive_residual_mlp,42,897,1803.3913740568798,1400.5859135486344,197.59485502891584,0.22810314080000038
ridge,50,920,188.81399031150602,111.49227148968241,-7.7016560430112095,0.9932249870099877
gradient_boosted_trees,50,920,127.472331289386,58.032606856364644,-7.632423413037511,0.9969120259061457
mlp,50,920,127.02264050000248,56.92378972924274,4.948524591197138,0.9969337746906298
one_dimensional_cnn,50,920,1828.4439085850788,1315.3024963378907,-676.8697491189708,0.36466164367951115
attentive_residual_mlp,50,920,2054.0397339751084,1580.9619189718496,-346.62026035474696,0.19821214759399275
ridge,57,910,191.4665336431997,108.29767288375687,15.024469061212224,0.9862723762893927
gradient_boosted_trees,57,910,151.60463776843042,54.083188978409616,2.3779264270040854,0.9913933411102103
mlp,57,910,175.77776500061103,89.9984649155166,2.7807115324250944,0.9884298898669578
one_dimensional_cnn,57,910,1169.3569011600123,868.3188785091861,108.13919959435096,0.48796012519005916
attentive_residual_mlp,57,910,1540.4930486324627,1245.7884513435783,635.7481429215316,0.11135336137552598
ridge,64,1040,176.75677562342483,95.06922419621394,-5.34471200796274,0.985243053057114
gradient_boosted_trees,64,1040,82.299510126266,38.7470560452008,10.098692852733395,0.9968008185354961
mlp,64,1040,188.2345256972449,96.00799347804143,-7.917202832148625,0.9832643362045232
one_dimensional_cnn,64,1040,1141.2914142841155,902.3864607590896,501.21202885554385,0.3847700418805956
attentive_residual_mlp,64,1040,1667.0193029953732,1436.5434283916766,1102.3092364971453,-0.3125795449804678
ridge,65,885,206.57168951732424,95.34855363921257,-5.6424106748764125,0.9790403262604597
gradient_boosted_trees,65,885,152.46003472474376,46.59307316677258,-7.9467815011281,0.9885829226421451
mlp,65,885,173.5983914980623,70.92800286072122,-6.739438297250176,0.9851975259411766
one_dimensional_cnn,65,885,1186.3990448442914,947.920284499691,505.57870942024186,0.3086396135392677
attentive_residual_mlp,65,885,1630.4104791851719,1392.192885990466,1045.5155361714337,-0.305680238276562
