window,method,timing_tail_frac_abs_gt5ns,timing_tail_frac_abs_gt5ns_ci95,timing_tail_delta_vs_observed,timing_tail_delta_vs_observed_ci95,q_template_shift_vs_observed,q_template_shift_vs_observed_ci95,amp_ratio_median,amp_ratio_median_ci95
s3,gbr_masked,0.7156630531630531,"[0.6043501984126984, 0.842057191119691]",0.0176814176814177,"[-0.004418704418704416, 0.04478706728706732]",0.024729929260576378,"[0.01850526890195709, 0.03213791270823488]",1.286924625261592,"[1.2846686658667257, 1.2891647342945176]"
s3,mlp_masked,0.6948070323070323,"[0.5883047264297264, 0.8185039950664951]",-0.0031746031746031794,"[-0.009523809523809537, 0.0]",0.005761029279510737,"[0.0, 0.013566428241377255]",1.0766145285802828,"[1.0, 1.1807806346172625]"
s3,traditional_template,0.5751737782163745,"[0.4477445526076358, 0.6821395271395273]",-0.12280785726526092,"[-0.2630709807681157, 0.001843579049461419]",0.018201632158515866,"[-0.026864858767911694, 0.07293615453985111]",1.1289297001190328,"[1.0, 1.3697678982251567]"
s4,gbr_masked,0.7140757515757515,"[0.6067334298584298, 0.8358756765006765]",0.016094116094116102,"[-0.007593307593307611, 0.04283404283404287]",0.027642978041168144,"[0.019269476195550948, 0.03464768046229037]",1.2900566794575816,"[1.2837682813261218, 1.2970598465803236]"
s4,mlp_masked,0.6932197307197306,"[0.5789947777447776, 0.8194762172887172]",-0.004761904761904777,"[-0.01428571428571433, 0.0]",0.004452523607012078,"[0.0, 0.010587671632479534]",1.0644294663198925,"[1.0, 1.1354690402432408]"
s4,traditional_template,0.5942013168903925,"[0.3560778856997345, 0.7852668340063296]",-0.103780318591243,"[-0.2467080056365771, -0.005625907871181037]",0.14078622429189597,"[0.10147259190327018, 0.17322988071894696]",1.3615447868916097,"[1.057435615959655, 1.7993704030160256]"
s5,gbr_masked,0.7172503547503547,"[0.6085098938223938, 0.8339527027027027]",0.019268719268719283,"[-0.0012441012441012525, 0.04400183150183149]",0.02442463322486438,"[0.018666224568899506, 0.030583200882214962]",1.2797044687315655,"[1.275241218191141, 1.2857017260951982]"
s5,mlp_masked,0.7089706464706464,"[0.6027848418473418, 0.818494455994456]",0.010989010989010997,"[0.0, 0.032967032967032996]",0.003433950958783472,"[7.375108917642854e-05, 0.007797595473278661]",1.0576572390387493,"[1.0079833398437112, 1.1158463105948873]"
s5,traditional_template,0.7092375342375342,"[0.6207030244530244, 0.8264216001716002]",0.01125589875589875,"[-0.023863148863148855, 0.04867747211497211]",0.1351961857907619,"[0.12191943159620462, 0.14991532499490878]",1.8802677602783737,"[1.714077079411518, 2.0550410264896417]"
s6,gbr_masked,0.7137325512325512,"[0.5968979968979969, 0.8439206617331616]",0.015750915750915757,"[-0.006349206349206359, 0.04090354090354093]",0.025873950350354585,"[0.01838298556499219, 0.03358490084131264]",1.2935810955675116,"[1.2637063328052778, 1.316757023520328]"
s6,mlp_masked,0.71248844998845,"[0.6067000482625483, 0.8285598785598786]",0.014506814506814522,"[0.0015873015873015817, 0.03648483648483652]",0.004868486561230163,"[0.0006743805887424674, 0.011336024109349514]",1.1051084531169637,"[1.038156209798465, 1.1841499953493768]"
