window,best_artificial_method,best_res68_abs_frac,best_res68_abs_frac_ci95,bias_median_frac,bias_median_frac_ci95,frac_within10,frac_within10_ci95,tail_delta,tail_delta_ci95,adoptable
w2_8,gbr_masked,0.08142854693675028,"[0.07907366552149397, 0.08413707848049133]",0.028761577610479743,"[0.02382146792230321, 0.03348509849064275]",0.779103235910212,"[0.7624803917947616, 0.7921097574000916]",0.011187423687423679,"[-0.013492063492063524, 0.04479548229548231]",False
w3_7,gbr_masked,0.09639238079192339,"[0.09462219992819904, 0.09818938930794903]",0.033287120606891915,"[0.02424857382264156, 0.04223592445426698]",0.7025020122747222,"[0.6910463480279402, 0.7128668316451762]",0.005739118239118245,"[-0.025995817245817246, 0.037778540903540915]",False
w4_6,gbr_masked,0.09707785593404103,"[0.09393111573189411, 0.09984853023874189]",0.030197375559974145,"[0.022900612832842983, 0.037897914794396755]",0.6980994188618983,"[0.680933824372649, 0.7180881216446482]",0.007776870276870288,"[-0.020614543114543075, 0.03983516483516485]",False
w3_5,gbr_masked,0.10720219696963772,"[0.10079506033212289, 0.11347844880383526]",0.02918798789326577,"[0.02180501655999885, 0.03644093832810562]",0.6446543803650359,"[0.6130754672884898, 0.6781025548607624]",-0.00432630432630432,"[-0.034362934362934396, 0.023479853479853457]",False
w5_7,gbr_masked,0.11274017286446038,"[0.11061827453992623, 0.11454268190877208]",0.029275721878713128,"[0.017337720368975407, 0.03897486528819289]",0.6183610844532348,"[0.6082893168460832, 0.6292876423323513]",0.019917582417582427,"[0.0, 0.0439732142857143]",False
s6,gbr_masked,0.13189591119493962,"[0.1296182605336108, 0.13396412961462822]",0.014936651607565197,"[0.005512832321902832, 0.022802213110426836]",0.5180833266379217,"[0.5097081960201578, 0.5266926146489497]",0.015750915750915757,"[-0.006349206349206359, 0.04090354090354093]",False
s5,mlp_masked,0.13976463605288147,"[0.13517486724456837, 0.144061138973626]",0.017058790394449425,"[0.004878582972505544, 0.02857385466522187]",0.502562331025977,"[0.48646814744507355, 0.518989883317318]",0.010989010989010997,"[0.0, 0.032967032967032996]",False
s7,gbr_masked,0.14100037237310797,"[0.13864038701618153, 0.14384087937095336]",0.013475994330284674,"[-0.0004524752445629545, 0.024074047904687212]",0.4901219044591204,"[0.4772637750867765, 0.5043882407220825]",0.0188034188034188,"[-0.009523809523809537, 0.06593406593406594]",False
s3,mlp_masked,0.1435319724678752,"[0.14124646815100364, 0.14609012163863325]",0.006896166835526558,"[-0.004219574503481181, 0.01726095087598079]",0.47396386047616046,"[0.46263436513480977, 0.4841090584400921]",-0.0031746031746031794,"[-0.009523809523809537, 0.0]",False
s4,mlp_masked,0.14365714002238086,"[0.140883332791306, 0.14701080150552437]",0.01038799052784593,"[0.0009677639196981176, 0.021096549197480444]",0.4753382620261902,"[0.46230159279005384, 0.48949606629729464]",-0.004761904761904777,"[-0.01428571428571433, 0.0]",False
w2_4,gbr_masked,0.1439210659098498,"[0.1412809417127404, 0.1456944609135679]",0.026994932567004564,"[0.01218959257082884, 0.04144214586239538]",0.4793983708742672,"[0.47065720923927884, 0.4895349289107288]",0.0176814176814177,"[-0.004427284427284424, 0.04283404283404287]",False
