window,method,feature,permuted_res68_abs_frac,permuted_res68_abs_frac_ci95,delta_res68_abs_frac,delta_res68_abs_frac_ci95
w2_8,gbr_masked,diff_2_3,0.0848877974898177,"[0.08155644161838138, 0.08873487766291246]",0.0034592505530674244,"[0.0015783318225636193, 0.005208087428347237]"
w2_8,gbr_masked,diff_3_4,0.12214737854889011,"[0.11894835638462493, 0.12566135945354154]",0.04071883161213983,"[0.0374658669784011, 0.04431488523847287]"
w2_8,gbr_masked,diff_4_5,0.13007336384293253,"[0.12323485251317427, 0.1363880995966512]",0.04864481690618224,"[0.041171713816785374, 0.05675300131274554]"
w2_8,gbr_masked,diff_5_6,0.0892970489732522,"[0.08356985526782273, 0.09475334089196438]",0.007868502036501914,"[0.002933462725742673, 0.012110942706571858]"
w2_8,gbr_masked,diff_6_7,0.09168676229937446,"[0.08914589515243801, 0.09431379557062844]",0.010258215362624173,"[0.00790436514182401, 0.012587832060928113]"
w2_8,gbr_masked,diff_7_8,0.08991907226553385,"[0.08587264065777346, 0.09427895306665347]",0.00849052532878355,"[0.005016902107857397, 0.012321030147433258]"
w2_8,gbr_masked,log_observed_amp,0.08142854693675028,"[0.07896007020651202, 0.08428681211577954]",0.0,"[0.0, 0.0]"
w2_8,gbr_masked,plateau_sample_2,0.08142854693675028,"[0.07900098533107962, 0.08427937021094166]",0.0,"[0.0, 0.0]"
w2_8,gbr_masked,plateau_sample_3,0.08145317823469941,"[0.07890712664357225, 0.08452828917169251]",2.463129794912882e-05,"[3.502860469360912e-06, 5.394584498266487e-05]"
w2_8,gbr_masked,plateau_sample_4,0.08142854693675028,"[0.07874132705109371, 0.08423739645671367]",0.0,"[0.0, 0.0]"
w2_8,gbr_masked,plateau_sample_5,0.08164267084098965,"[0.07895237611336565, 0.08453427039228714]",0.0002141239042393685,"[0.0, 0.0006423717127181054]"
w2_8,gbr_masked,plateau_sample_6,0.08142854693675028,"[0.07876999612437675, 0.08431874194567984]",0.0,"[0.0, 0.0]"
w2_8,gbr_masked,plateau_sample_7,0.08142854693675028,"[0.07887842363582181, 0.08442990941050761]",0.0,"[0.0, 0.0]"
w2_8,gbr_masked,plateau_sample_8,0.08139838193425643,"[0.0789323263316836, 0.08445490599463841]",-3.0165002493854976e-05,"[-0.00010414887601064928, 3.117414605384251e-05]"
w2_8,gbr_masked,sample_2_over_obs,0.08142678581011878,"[0.07912260443370589, 0.08398063906641216]",-1.7611266315038193e-06,"[-0.0005699622805607354, 0.00047466184100169887]"
w2_8,gbr_masked,sample_3_over_obs,0.0819734911568616,"[0.07882461477116838, 0.08541448880926128]",0.0005449442201113137,"[3.0422968160069416e-05, 0.001079832215211696]"
