run,window,probe,n,res68_abs_frac,bias_median_frac,frac_within10
58,w2_8,full_features,3782,0.07878982254398105,0.03428018859399701,0.807509254362771
58,w2_8,without_observed_amp,3782,0.22446790160945657,0.16664936990607843,0.3379164463246959
58,w2_8,observed_amp_only,3782,0.14642839461125004,-0.010371906008746604,0.46589106292966687
59,w2_8,full_features,2296,0.08352477530946692,0.025994995752495323,0.7600174216027874
59,w2_8,without_observed_amp,2296,0.18694605223236563,0.10862102346589415,0.44294425087108014
59,w2_8,observed_amp_only,2296,0.14952668843319472,0.028227560270616403,0.4647212543554007
60,w2_8,full_features,1805,0.08884101581179242,0.0406919073199811,0.7445983379501385
60,w2_8,without_observed_amp,1805,0.1944233046488471,0.13596581336230165,0.38227146814404434
60,w2_8,observed_amp_only,1805,0.14772059751177227,0.0348545975294726,0.4476454293628809
61,w2_8,full_features,2073,0.08206285576616207,0.02851392358200381,0.7872648335745297
61,w2_8,without_observed_amp,2073,0.18650219184653674,0.12340537730688939,0.41341051616015434
61,w2_8,observed_amp_only,2073,0.1481666917090636,0.03275275441739431,0.4684032802701399
62,w2_8,full_features,2131,0.08271396000547043,0.032967018024744874,0.7695917409666823
62,w2_8,without_observed_amp,2131,0.19167718475956463,0.12716300970571043,0.41623650868137024
62,w2_8,observed_amp_only,2131,0.14808111199737267,0.029287884695258323,0.45847020178320036
63,w2_8,full_features,2433,0.07971210116085481,0.018917068355989806,0.7879161528976573
63,w2_8,without_observed_amp,2433,0.19820268344549571,0.12633715841402632,0.4027949034114262
63,w2_8,observed_amp_only,2433,0.14718684126463716,-0.01621134048629243,0.4459515002055076
65,w2_8,full_features,2496,0.07699747146321213,0.0257247177897299,0.8048878205128205
65,w2_8,without_observed_amp,2496,0.20543595864877856,0.13962516932135205,0.38661858974358976
65,w2_8,observed_amp_only,2496,0.14089820161592181,0.00391855182316795,0.48357371794871795
