run,window,method,feature,baseline_res68_abs_frac,permuted_res68_abs_frac,delta_res68_abs_frac
58,w2_8,gbr_masked,sample_2_over_obs,0.08020737969224812,0.08006775566080979,-0.00013962403143832902
58,w2_8,gbr_masked,sample_3_over_obs,0.08020737969224812,0.07991432322180758,-0.0002930564704405336
58,w2_8,gbr_masked,sample_4_over_obs,0.08020737969224812,0.07827126663830995,-0.0019361130539381627
58,w2_8,gbr_masked,sample_5_over_obs,0.08020737969224812,0.08040874360633019,0.00020136391408207
58,w2_8,gbr_masked,sample_6_over_obs,0.08020737969224812,0.09104294140900425,0.010835561716756134
58,w2_8,gbr_masked,sample_7_over_obs,0.08020737969224812,0.08042807302589272,0.00022069333364460597
58,w2_8,gbr_masked,sample_8_over_obs,0.08020737969224812,0.10088618598771987,0.020678806295471752
58,w2_8,gbr_masked,diff_2_3,0.08020737969224812,0.07981993455841087,-0.000387445133837247
58,w2_8,gbr_masked,diff_3_4,0.08020737969224812,0.12962095465834828,0.04941357496610016
58,w2_8,gbr_masked,diff_4_5,0.08020737969224812,0.14784093357777908,0.06763355388553097
58,w2_8,gbr_masked,diff_5_6,0.08020737969224812,0.07744990078960312,-0.002757478902644994
58,w2_8,gbr_masked,diff_6_7,0.08020737969224812,0.0897207573705508,0.009513377678302681
58,w2_8,gbr_masked,diff_7_8,0.08020737969224812,0.08320410333799384,0.0029967236457457275
58,w2_8,gbr_masked,plateau_sample_2,0.08020737969224812,0.08020737969224812,0.0
58,w2_8,gbr_masked,plateau_sample_3,0.08020737969224812,0.08020737969224812,0.0
58,w2_8,gbr_masked,plateau_sample_4,0.08020737969224812,0.08020737969224812,0.0
58,w2_8,gbr_masked,plateau_sample_5,0.08020737969224812,0.08020737969224812,0.0
58,w2_8,gbr_masked,plateau_sample_6,0.08020737969224812,0.08020737969224812,0.0
58,w2_8,gbr_masked,plateau_sample_7,0.08020737969224812,0.08020737969224812,0.0
58,w2_8,gbr_masked,plateau_sample_8,0.08020737969224812,0.08020737969224812,0.0
58,w2_8,gbr_masked,window_charge_over_obs,0.08020737969224812,0.08429427898863888,0.004086899296390764
58,w2_8,gbr_masked,log_observed_amp,0.08020737969224812,0.08020737969224812,0.0
58,w2_8,mlp_masked,sample_2_over_obs,0.19802039119484027,0.19805217041805728,3.177922321700999e-05
58,w2_8,mlp_masked,sample_3_over_obs,0.19802039119484027,0.19833187641468059,0.00031148521984031285
58,w2_8,mlp_masked,sample_4_over_obs,0.19802039119484027,0.19690352267764347,-0.0011168685171968062
58,w2_8,mlp_masked,sample_5_over_obs,0.19802039119484027,0.20047026640131357,0.002449875206473301
58,w2_8,mlp_masked,sample_6_over_obs,0.19802039119484027,0.19715393519567465,-0.0008664559991656273
58,w2_8,mlp_masked,sample_7_over_obs,0.19802039119484027,0.19802039119484027,0.0
58,w2_8,mlp_masked,sample_8_over_obs,0.19802039119484027,0.20315373900526407,0.005133347810423794
58,w2_8,mlp_masked,diff_2_3,0.19802039119484027,0.1984312631947098,0.0004108719998695276
58,w2_8,mlp_masked,diff_3_4,0.19802039119484027,0.19938956790165988,0.0013691767068196026
58,w2_8,mlp_masked,diff_4_5,0.19802039119484027,0.21571478780192022,0.017694396607079943
58,w2_8,mlp_masked,diff_5_6,0.19802039119484027,0.19211469141524326,-0.005905699779597012
58,w2_8,mlp_masked,diff_6_7,0.19802039119484027,0.1978631396735108,-0.00015725152132947673
