method,family,n_saturated,n_heldout,n_unsaturated_control,saturated_bias_frac,saturated_energy_res68,saturated_full_rms_frac,saturated_tail_gt10pct,saturated_tail_gt25pct,saturated_mae_proxy,saturated_charge_res68,all_heldout_energy_res68,unsaturated_energy_res68,saturated_bias_ci95,saturated_energy_res68_ci95,saturated_full_rms_ci95,saturated_mae_ci95,traditional_worsens_observed
gradient_boosted_trees,ml_tree,106217,332852,226635,-0.0017659475543110848,0.0182769327627102,0.04633674880407026,0.03743280265870812,0.005818277676831392,1.1353984324369626,0.051136482071173724,0.013137727206483428,0.010774301221627564,"[-0.0026639835868027227, -0.0012782131086379136]","[0.017167606514002735, 0.020763694131705136]","[0.03951614346183402, 0.05856099598215181]","[1.0156606708134328, 1.369727322362101]",False
p07_p04_corrected,ml_p07_p04_duplicate,106217,332852,226635,0.0,0.026961465767148796,0.055178780724865546,0.022303397761187005,0.008350828963348617,1.3650487211272557,0.5435255272508812,0.02052266630659773,0.017355436009024457,"[-0.0011039241142827508, 0.00043645232430102667]","[0.026352661799686324, 0.028122390910711375]","[0.04533106669095396, 0.06768909569158774]","[1.2716128711709918, 1.523865999959225]",False
mlp,neural_tabular,106217,332852,226635,-0.01513589738588997,0.04599012302604188,0.07790621493598796,0.15736652324957398,0.007861265145880604,2.4574375916016313,0.1321434788568092,0.032030741714050306,0.02442515624207208,"[-0.01682975191197574, -0.011355207781608154]","[0.04359008595187062, 0.04983285869059486]","[0.07523873846339885, 0.08332416242727263]","[2.3740407435404065, 2.579137147850489]",False
ridge,ml_linear,106217,332852,226635,-0.006988569671805798,0.05232284096379404,0.06842145164418452,0.04333581253471667,0.010054887635689203,2.142683598966003,0.055343741640017464,0.04607597444382548,0.042405405110231324,"[-0.01275125394479212, 0.0]","[0.05106630619024316, 0.05483324021109041]","[0.058846925157504094, 0.08687022066354909]","[2.0124721317483947, 2.3839931553503124]",False
1d_cnn,neural_waveform,106217,332852,226635,-0.025376946400676257,0.15064722220878962,0.17190002544819397,0.4816554788781457,0.16957737461988193,6.7415346681157375,0.2781619783030834,0.09894201566435433,0.08318680702336118,"[-0.035519417033461245, -0.016087108439462414]","[0.14454600025236233, 0.1629584182455736]","[0.164345182326443, 0.1859818982286848]","[6.4804469231080315, 7.153130878212771]",False
observed_even_charge,traditional_observed,106217,332852,226635,-0.37672160367916485,0.3978383018775359,0.3697649916642621,0.9901898942730448,0.9576150710338269,19.037967038357117,2.7675880279643575e+298,0.29852882309160106,0.19504042283295459,"[-0.38210408561240555, -0.36930378922015955]","[0.39081993492307293, 0.4022536536983267]","[0.3622878645478243, 0.3739434929935874]","[18.515397729273698, 19.34802842506825]",False
traditional_template_corrected,traditional_rising_edge_template,106217,332852,226635,-0.37672160367916485,0.3978383018775359,0.3698053777014747,0.9901145767626651,0.9589896155982564,19.04814082212794,1.7985676304185614e+273,0.29857634285864076,0.1947479944506061,"[-0.3815242066025069, -0.3705758625604563]","[0.39168391634267397, 0.4019595914827748]","[0.3631617070064523, 0.37316796405994723]","[18.61991637784017, 19.31338047538379]",False
template_residual_mlp,neural_template_residual,106217,332852,226635,-0.37672160367916485,0.3978383018775359,0.3698053777014747,0.9901145767626651,0.9589896155982564,19.04814082212794,0.987679709495782,0.29857634285864076,0.19462653724593287,"[-0.3823201683744912, -0.3697618070022717]","[0.3913502031587904, 0.40247400929052235]","[0.36278834246770947, 0.3734834357202953]","[18.59014977222053, 19.332088866301895]",False
