run,current_family,method,n_saturated,saturated_energy_res68,saturated_charge_res68
44,high_20nA,observed_even_charge,334,0.39556154996689896,2.799134031575613e+298
44,high_20nA,traditional_template_corrected,334,0.39556154996689896,1.818806519196173e+273
44,high_20nA,p07_p04_corrected,334,0.029062873737717695,0.5489034052608252
44,high_20nA,ridge,334,0.05624537041329395,0.06694329701349067
44,high_20nA,gradient_boosted_trees,334,0.027419342906711386,0.06936838522450264
44,high_20nA,mlp,334,0.05707873899274797,0.15881005484678626
44,high_20nA,1d_cnn,334,0.1705249779445421,0.30068342752098814
44,high_20nA,template_residual_mlp,334,0.39556154996689896,1.010046635201344
45,high_20nA,observed_even_charge,5472,0.4066300104112844,2.7634773548465133e+298
45,high_20nA,traditional_template_corrected,5472,0.4066300104112844,1.796240150060312e+273
45,high_20nA,p07_p04_corrected,5472,0.027697127816559388,0.551742943141946
45,high_20nA,ridge,5472,0.05413794540863722,0.06293109328574507
45,high_20nA,gradient_boosted_trees,5472,0.023598368312191895,0.07265344412904473
45,high_20nA,mlp,5472,0.04468397420722385,0.14231860327450538
45,high_20nA,1d_cnn,5472,0.18236753513888462,0.30410628972208875
45,high_20nA,template_residual_mlp,5472,0.4066300104112844,0.9851075040340026
46,low_2nA,observed_even_charge,144,0.4066268842968149,2.753712596294771e+298
46,low_2nA,traditional_template_corrected,144,0.4066268842968149,1.789292819005997e+273
46,low_2nA,p07_p04_corrected,144,0.030487654477562263,0.549230336100216
46,low_2nA,ridge,144,0.05064233075963464,0.05683342608707641
46,low_2nA,gradient_boosted_trees,144,0.024730083170396048,0.0725095794323487
46,low_2nA,mlp,144,0.048273652070947026,0.12816896763589866
46,low_2nA,1d_cnn,144,0.17528371060964312,0.3095716550970369
46,low_2nA,template_residual_mlp,144,0.4066268842968149,0.9774296893451001
47,low_2nA,observed_even_charge,1268,0.4070438921300533,2.7731467370254387e+298
47,low_2nA,traditional_template_corrected,1268,0.4070438921300533,1.8019206322715222e+273
47,low_2nA,p07_p04_corrected,1268,0.026671398376166083,0.5497065871737563
47,low_2nA,ridge,1268,0.04935624385890864,0.05560391753210432
47,low_2nA,gradient_boosted_trees,1268,0.023598368312191895,0.06541957710269392
47,low_2nA,mlp,1268,0.046400543932127065,0.1375468062942223
47,low_2nA,1d_cnn,1268,0.18046651834432823,0.29322506782165086
47,low_2nA,template_residual_mlp,1268,0.4070438921300533,0.9913852658709299
48,high_20nA,observed_even_charge,1991,0.39649924942965287,2.806424959546235e+298
48,high_20nA,traditional_template_corrected,1991,0.39649924942965287,1.825409136838115e+273
48,high_20nA,p07_p04_corrected,1991,0.032320649743825265,0.5465901881942324
48,high_20nA,ridge,1991,0.06038162458908068,0.06999646612873475
48,high_20nA,gradient_boosted_trees,1991,0.02710778532000817,0.06790204690338371
48,high_20nA,mlp,1991,0.05289841569276988,0.15632964916765132
48,high_20nA,1d_cnn,1991,0.18385665731062042,0.30802099138726374
48,high_20nA,template_residual_mlp,1991,0.39649924942965287,1.0173434912630717
49,high_20nA,observed_even_charge,2154,0.39867498432938464,2.8028263256038885e+298
49,high_20nA,traditional_template_corrected,2154,0.39867498432938464,1.821806506500865e+273
49,high_20nA,p07_p04_corrected,2154,0.03167490234672627,0.5480015104794148
49,high_20nA,ridge,2154,0.06044184236673499,0.0713476161235176
49,high_20nA,gradient_boosted_trees,2154,0.027949613864529013,0.07056664371553326
49,high_20nA,mlp,2154,0.051749683334427955,0.15469732503303774
49,high_20nA,1d_cnn,2154,0.18939172982116428,0.3087469898842105
49,high_20nA,template_residual_mlp,2154,0.39867498432938464,1.013362058982708
