current_family,depth_stave,saturated_stave,method,n_saturated,n_runs,matched_unsat_control_rows,saturated_energy_res68,saturated_energy_res68_ci95,matched_unsat_energy_res68,matched_unsat_energy_res68_ci95,sat_minus_unsat_res68,sat_minus_unsat_res68_ci95,accepted_with_margin
high_20nA,B2,B2,observed_even_charge,102060,19,194424,0.39863102055449373,"[0.3930736066130988, 0.402507528514533]",0.24418766401363767,"[0.23686804482741297, 0.25026685510627295]",0.15444335654085606,"[0.1429228407073298, 0.16366021603651681]",False
high_20nA,B2,B2,traditional_template_corrected,102060,19,194424,0.39863102055449373,"[0.3933606534686664, 0.4029229279420958]",0.24421640448063545,"[0.23664910045397639, 0.2503073434222534]",0.15441461607385829,"[0.14305584011949324, 0.16249639966010068]",False
high_20nA,B2,B2,p07_p04_corrected,102060,19,194424,0.02710012923224672,"[0.026571976223690567, 0.028242971445715474]",0.020550125634728696,"[0.01979260491696188, 0.021028383176682413]",0.006550003597518023,"[0.0056528049352413704, 0.007860088559897078]",True
high_20nA,B2,B2,gradient_boosted_trees,102060,19,194424,0.018345763662299775,"[0.017148128578273344, 0.02107141594021947]",0.01352957912991414,"[0.013264515706576491, 0.013804268760940005]",0.004816184532385635,"[0.003618789340204733, 0.007313647230249469]",True
high_20nA,B4,B2,observed_even_charge,1564,19,13689,0.2276756736549799,"[0.2259404032343271, 0.22967165997662456]",0.1469565508969153,"[0.12840944084672878, 0.15372830464413972]",0.08071912275806459,"[0.07270007923745729, 0.10085756367993463]",False
high_20nA,B4,B2,traditional_template_corrected,1564,19,13689,0.23460736538534938,"[0.23364719860537725, 0.2370088461398872]",0.1546127052094135,"[0.13599430033921964, 0.16132368175741146]",0.07999466017593587,"[0.07286957085905421, 0.09869391367915403]",False
high_20nA,B4,B2,p07_p04_corrected,1564,19,13689,0.02625448763658109,"[0.024601637027784527, 0.027521222397579224]",0.016203594820411192,"[0.015771219590365045, 0.017707246979350066]",0.010050892816169898,"[0.006951984171141717, 0.011702496051145686]",True
high_20nA,B4,B2,gradient_boosted_trees,1564,19,13689,0.015425272398118249,"[0.014419461104664761, 0.016770027736169927]",0.014705251986137265,"[0.012996100199867036, 0.015560994012578044]",0.0007200204119809841,"[-0.0005702818488294824, 0.003503599555887653]",True
high_20nA,B4,B4,observed_even_charge,73,16,13054,0.22621478967641812,"[0.22102515265113734, 0.24072447616101084]",0.15945826932497364,"[0.12352008708317934, 0.15945826932497364]",0.06675652035144447,"[0.06225563571819917, 0.11463050681356358]",False
high_20nA,B4,B4,traditional_template_corrected,73,16,13054,0.23315959299352365,"[0.22826556851586255, 0.24803698044579348]",0.16700221940501775,"[0.13394027086569293, 0.16700221940501775]",0.0661573735885059,"[0.061687552849628235, 0.10693958193360548]",False
high_20nA,B4,B4,p07_p04_corrected,73,16,13054,0.01667429439792041,"[0.012631480429076844, 0.026151586412977386]",0.01735058494334309,"[0.015393314892793115, 0.017780043388633607]",-0.0006762905454226788,"[-0.0042729403462944725, 0.008779253728759038]",True
high_20nA,B4,B4,gradient_boosted_trees,73,16,13054,0.010984744921061924,"[0.007426356928190873, 0.016549126462743508]",0.012568444113423359,"[0.01010133194141618, 0.013753230693092993]",-0.001583699192361435,"[-0.00516469089356149, 0.0035389265301125922]",True
high_20nA,B6,B2,observed_even_charge,703,19,8686,0.13554989484383062,"[0.13320586685168476, 0.13703912628136689]",0.07212553277606362,"[0.06890317860715446, 0.0814080239601119]",0.063424362067767,"[0.054261004736265155, 0.06637625978375136]",False
high_20nA,B6,B2,traditional_template_corrected,703,19,8686,0.13977624562301785,"[0.1375775715546741, 0.14117191710746385]",0.07569828785040147,"[0.06932058625714137, 0.08587489649200318]",0.06407795777261638,"[0.054114032708194475, 0.06975907905261731]",False
high_20nA,B6,B2,p07_p04_corrected,703,19,8686,0.011019242483334133,"[0.009448016565337254, 0.012320124401804432]",0.0098945797627304,"[0.007814297213507584, 0.011235278057569928]",0.0011246627206037332,"[-0.0016831717636601067, 0.004457968209486256]",True
high_20nA,B6,B2,gradient_boosted_trees,703,19,8686,0.009442111567396638,"[0.008689848481951727, 0.01039222986879282]",0.007404523069438519,"[0.006809771183331922, 0.008937078600488584]",0.002037588497958119,"[0.00039540305048112406, 0.0029901823593435914]",True
high_20nA,B8,B2,observed_even_charge,354,19,5412,0.10156219466039164,"[0.09960369534417444, 0.10366160432292935]",0.06120784079675783,"[0.05078939938088588, 0.06529409812816096]",0.040354353863633806,"[0.03684584077391776, 0.05101673434262667]",False
high_20nA,B8,B2,traditional_template_corrected,354,19,5412,0.10479672151621142,"[0.10291450834319558, 0.10697851650413903]",0.0645876500978904,"[0.05353354230970103, 0.06845865893325125]",0.040209071418321016,"[0.03652875892996419, 0.05217199749342764]",False
high_20nA,B8,B2,p07_p04_corrected,354,19,5412,0.009368716258414359,"[0.007652032299238129, 0.010757890280365619]",0.0067328462036655035,"[0.006066108882816089, 0.008433719148423308]",0.002635870054748855,"[-0.0001764113893201047, 0.004490221565720341]",True
