pseudo_run,method,n,bias_frac,res68_frac,mae_mev
8,truth_birks_lookup,3605,-0.312538821308713,0.5398036584424099,25.748073596167334
9,truth_birks_lookup,3605,-0.3084850159866524,0.5356931270241535,25.77344058108427
10,truth_birks_lookup,3604,-0.30472680301404387,0.5376655280064037,25.600169266260888
8,ridge,3605,0.006848879296385745,0.22207226538425948,11.52710974011759
9,ridge,3605,0.014251059972075446,0.23164456591343383,11.914736379968577
10,ridge,3604,0.00845596663793119,0.23420323241362564,11.910535713720797
8,gradient_boosted_trees,3605,0.007869332586117451,0.04717789442361926,2.581293054759755
9,gradient_boosted_trees,3605,-0.003308371219904262,0.04890273611476746,2.656330467066253
10,gradient_boosted_trees,3604,-0.019562564848178372,0.05517298629726466,3.0245650984246395
8,mlp,3605,0.029753184953991645,0.0867589165107512,4.5130049612792185
9,mlp,3605,0.018319087549328376,0.08243646720879486,4.478472578522169
10,mlp,3604,-0.006280284727843671,0.08106929693256007,4.445944041943911
8,1d_cnn,3605,0.006488796461840165,0.2291991013836664,11.92503130202816
9,1d_cnn,3605,0.004700323634143952,0.23834562106602605,12.272140055253647
10,1d_cnn,3604,0.008608709398666575,0.2338186991310096,12.363813894710914
8,gated_residual_cnn,3605,0.003268023988904806,0.09961455280024663,5.172050917528869
9,gated_residual_cnn,3605,-0.006886179697692927,0.0981961358609222,5.236850805929378
10,gated_residual_cnn,3604,-0.032519206640435734,0.10047597033834264,5.562608910412357
