stratum,n,bias_frac,res68_frac,mae_mev,family,value
adc_saturation_onset,10711,-0.5132026863939841,0.6580488686652047,33.69350372964779,baseline,1.0
late_pulse_shape,3893,-0.21770648606575135,0.299948788468668,17.30117220821033,baseline,1.0
pedestal_drift_proxy_high,1731,-0.22234228611265971,0.31408117634251104,17.435157104285036,baseline,1.0
pileup_or_multihit,6690,-0.3478681012054564,0.49825952722619504,29.055914659034155,baseline,1.0
adc_saturation_onset,10678,-0.31494493921041433,0.5308090117403067,25.990903977174217,light_yield_scale,0.7
late_pulse_shape,3893,0.05803204387147394,0.21689107962320558,10.851839801691321,light_yield_scale,0.7
pedestal_drift_proxy_high,1731,0.04549685697990815,0.22897877091851387,11.688884203451895,light_yield_scale,0.7
pileup_or_multihit,6690,-0.11000157646330944,0.3334981721655302,20.648660157538494,light_yield_scale,0.7
adc_saturation_onset,10699,-0.4299400137002791,0.6007462408809774,29.718953536508106,light_yield_scale,0.85
late_pulse_shape,3893,-0.09943162463120438,0.21505670489232834,12.422525336066892,light_yield_scale,0.85
pedestal_drift_proxy_high,1731,-0.10201572006650797,0.2154475610473996,12.600269961673906,light_yield_scale,0.85
pileup_or_multihit,6690,-0.24857115771917998,0.42055002390775564,24.28581235994138,light_yield_scale,0.85
adc_saturation_onset,10712,-0.5143021621764702,0.6597676293357976,33.78057171263029,light_yield_scale,1.0
late_pulse_shape,3893,-0.2213908199467942,0.3006379147934117,17.451722232535417,light_yield_scale,1.0
pedestal_drift_proxy_high,1731,-0.22534391348880795,0.3127446836192127,17.463387189057435,light_yield_scale,1.0
pileup_or_multihit,6690,-0.3514693325911363,0.49797870682538914,29.173219952201094,light_yield_scale,1.0
adc_saturation_onset,10725,-0.5784136330673425,0.7064015681203385,37.48312980967524,light_yield_scale,1.15
late_pulse_shape,3893,-0.31206730227258445,0.38507706541112313,22.93080617344658,light_yield_scale,1.15
pedestal_drift_proxy_high,1731,-0.3170226992992413,0.3973042508508641,23.5566412483179,light_yield_scale,1.15
pileup_or_multihit,6690,-0.4284087496735439,0.5642448703570077,33.90272019673445,light_yield_scale,1.15
adc_saturation_onset,10735,-0.627929129698555,0.7428432612501366,40.53973990366189,light_yield_scale,1.3
