family,value,distance_log_res68_rms,mean_log_res68_delta_sim_minus_real,sim_saturation_event_fraction,light_yield_adc_per_mev,shaping_tau_samples,pedestal_run_drift_adc,saturation_adc
light_yield_scale,0.7,1.6420959632990366,1.4793375148401415,0.9897361924047824,1871.3024791663524,2.15,12.0,4095.0
light_yield_scale,0.85,1.7071257306841623,1.5509102854755281,0.9911786734722183,2272.2958675591426,2.15,12.0,4095.0
pedestal_run_drift_adc,24.0,1.908830975184548,1.789349394238203,0.9923160143138506,2673.2892559519323,2.15,24.0,4095.0
saturation_adc,4095.0,1.9112000984221098,1.7921101717724528,0.9923437543343782,2673.2892559519323,2.15,12.0,4095.0
light_yield_scale,1.0,1.9123347172108576,1.7935061434467396,0.9923437543343782,2673.2892559519323,2.15,12.0,4095.0
baseline,1.0,1.9125139525258423,1.79348732921593,0.9923160143138506,2673.2892559519323,2.15,12.0,4095.0
pedestal_run_drift_adc,12.0,1.9141262569858817,1.7948442863822978,0.9923714943549058,2673.2892559519323,2.15,12.0,4095.0
pedestal_run_drift_adc,0.0,1.9164529945922664,1.797113466278729,0.992288274293323,2673.2892559519323,2.15,0.0,4095.0
pedestal_run_drift_adc,6.0,1.9165328400703368,1.7976316820068476,0.9923714943549058,2673.2892559519323,2.15,6.0,4095.0
shaping_tau_samples,1.8,1.9171503613652856,1.7981633964869148,0.9934533551554828,2673.2892559519323,1.8,12.0,4095.0
shaping_tau_samples,2.15,1.9185552969461674,1.7999752890851108,0.9923160143138506,2673.2892559519323,2.15,12.0,4095.0
pedestal_run_drift_adc,36.0,1.9226457222190763,1.8066228953877288,0.9923714943549058,2673.2892559519323,2.15,36.0,4095.0
shaping_tau_samples,2.6,1.937879660909047,1.8234803482452644,0.9909567533079975,2673.2892559519323,2.6,12.0,4095.0
shaping_tau_samples,1.45,1.96927970033227,1.8557934245873071,0.9947016560792254,2673.2892559519323,1.45,12.0,4095.0
shaping_tau_samples,3.1,1.9762735083366003,1.8681509202561815,0.9897361924047824,2673.2892559519323,3.1,12.0,4095.0
light_yield_scale,1.15,2.062089250203761,1.9635259621660517,0.9933146550528448,3074.282644344722,2.15,12.0,4095.0
saturation_adc,3584.0,2.0626767065123794,1.9644846683109685,0.9933146550528448,2673.2892559519323,2.15,12.0,3584.0
light_yield_scale,1.3,2.162659590991069,2.074567223083764,0.994091375627618,3475.276032737512,2.15,12.0,4095.0
saturation_adc,3072.0,2.1965797224045347,2.111426756347428,0.9943410358123665,2673.2892559519323,2.15,12.0,3072.0
saturation_adc,2048.0,2.4254579587311382,2.35508431670013,0.9961163971261339,2673.2892559519323,2.15,12.0,2048.0
