stratum,definition,n,bias_frac,res68_frac,mae_mev
adc_saturation_onset,any_saturated,106217,-0.0404028613830016,0.0484975857724767,1.2845669095942986
pileup_or_multihit,multiplicity>=2,27765,-0.0194332312311095,0.1259451554158297,3.168267493943049
pedestal_drift_proxy_high,charge/peak above heldout median,166426,-0.0232582648913174,0.0332155477031802,1.1234949091217272
late_pulse_shape,deepest selected B stave index>=2,15256,-0.0170259586431105,0.1166683814900125,3.08324219733879
