group,bin_low,bin_high,n,mean_probability,observed_fraction
low_2nA,0.0,0.1,1066,0.028534838045888234,0.01125703564727955
low_2nA,0.1,0.2,353,0.14049340536673696,0.053824362606232294
low_2nA,0.2,0.30000000000000004,75,0.25147860279930434,0.2
low_2nA,0.30000000000000004,0.4,52,0.34831418856875235,0.46153846153846156
low_2nA,0.4,0.5,31,0.4604735390426134,0.6129032258064516
low_2nA,0.5,0.6000000000000001,36,0.5451514315564299,0.8055555555555556
low_2nA,0.6000000000000001,0.7000000000000001,37,0.6540166740810597,0.8648648648648649
low_2nA,0.7000000000000001,0.8,54,0.7615199156981517,0.8518518518518519
low_2nA,0.8,0.9,91,0.8568333935867531,0.945054945054945
low_2nA,0.9,1.0,1203,0.9916908880476758,0.9950124688279302
high_20nA,0.0,0.1,673,0.05285762305244694,0.02674591381872214
high_20nA,0.1,0.2,617,0.1305644373082235,0.04376012965964344
high_20nA,0.2,0.30000000000000004,59,0.25450541221812106,0.3050847457627119
high_20nA,0.30000000000000004,0.4,141,0.35857330687737576,0.41134751773049644
high_20nA,0.4,0.5,114,0.4443392381507389,0.49122807017543857
high_20nA,0.5,0.6000000000000001,56,0.549963915277322,0.7678571428571429
high_20nA,0.6000000000000001,0.7000000000000001,52,0.6527180568569795,0.7884615384615384
high_20nA,0.7000000000000001,0.8,90,0.7499793921331364,0.8888888888888888
high_20nA,0.8,0.9,110,0.8593221506711746,0.9272727272727272
high_20nA,0.9,1.0,1088,0.9854089278747873,0.96875
