group,runs,current_nA,n_selected_pulses,ml_score_mean,ml_score_median,traditional_score_mean,traditional_score_median
low_2nA,46 47,2.0,5963,0.12134916220396691,0.05507122053016807,1.1718185233518605,1.2233775296580602
high_20nA,44 45 48 49 50 51 52 53 54 55 56 57,20.0,246303,0.15739906113203125,0.088003023916789,1.1521605164574595,1.2028870321309695
