group,runs,current_nA,threshold_fraction,n_pulses,mean_width_ns,median_width_ns,p90_width_ns,tau_eff_assumption_ns,mean_over_tau90
low_2nA,46 47,2.0,0.1,5963,129.73167868522555,140.0,140.0,90.0,1.4414630965025061
low_2nA,46 47,2.0,0.2,5963,120.43434512829113,130.0,140.0,90.0,1.3381593903143458
high_20nA,44 45 48 49 50 51 52 53 54 55 56 57,20.0,0.1,246303,129.37621547443595,140.0,140.0,90.0,1.4375135052715107
high_20nA,44 45 48 49 50 51 52 53 54 55 56 57,20.0,0.2,246303,123.74851301039776,130.0,140.0,90.0,1.3749834778933083
