group,runs,current_nA,events,events_with_selected,selected_pulses,multi_stave_events,three_stave_events,downstream_events,multi_stave_fraction,three_stave_fraction,downstream_fraction,multi_stave_per_selected_event,three_stave_per_selected_event,downstream_per_selected_event,B2_pulses,B4_pulses,B6_pulses,B8_pulses
low_2nA,46 47,2.0,12411,5838,5963,91,24,135,0.007332205301748449,0.0019337684312303602,0.010877447425670777,0.015587529976019185,0.0041109969167523125,0.023124357656731757,5791,92,53,27
high_20nA,44 45 48 49 50 51 52 53 54 55 56 57,20.0,376468,237295,246303,6361,2026,7929,0.016896522413591592,0.005381599498496552,0.021061551048163457,0.026806295960723994,0.00853789586801239,0.03341410480625382,235631,6359,3041,1272
