run,events_total,selected_b_stave_pulses,quiet_events_lt_40adc,quiet_events_lt_80adc,quiet_events_lt_120adc,quiet_events_lt_200adc
31,39990,27871,4586,9812,10511,10983
32,41921,28240,5101,11088,11801,12277
33,57173,48737,3419,7687,8167,8392
34,39765,34118,2260,5143,5537,5677
35,27786,11667,5796,12953,13912,14429
36,21764,10391,4023,9022,9721,10143
37,50513,24537,8567,20095,21831,22971
39,30321,14218,5133,12368,13578,14276
40,32613,14708,5207,13568,15060,15851
41,33997,16146,5154,13605,15042,15836
42,33972,18112,4467,12000,13319,14059
44,4294,2038,684,1737,1930,2022
45,48181,24333,6844,17934,19966,20977
46,1441,687,243,608,654,683
47,10970,5276,1836,4596,5040,5186
48,31713,14000,5091,13452,14860,15611
49,32354,14815,5117,13274,14752,15487
50,44804,35217,2985,8013,8840,9205
51,20569,14740,1752,4654,5159,5402
52,10005,7152,851,2299,2541,2642
53,39612,32200,2342,6245,6931,7229
54,37413,30440,2227,5900,6583,6826
55,24416,17387,2076,5631,6263,6544
56,51823,40148,3449,9680,10845,11291
57,31284,13833,4726,13122,14753,15460
58,34141,16781,5232,14486,16102,16514
59,42303,21377,7792,22021,24544,25277
60,36074,17029,7181,20189,22602,23318
61,36535,18965,6935,19690,21993,22674
62,37584,19089,6592,19637,22100,22760
63,37030,18817,6060,17292,19339,19873
64,35943,14630,6427,18649,20857,21433
65,38424,13038,7027,20517,23028,23618
