heldout_run,method,n_test_records,mean_bias_adc,mae_adc,downstream_timing_shift_tail_fraction,propensity_train_auc,propensity_train_records
31,traditional_median3_no_proxy,8000,-34.394625,148.348875,0.0,,0
31,traditional_quiet_offset_stratified,8000,-31.834904097679914,153.36216381531685,0.014285714285714285,,0
31,traditional_beam_train_offset_control,8000,-25.50016174896342,224.44752941708256,0.2971014492753623,,0
31,ml_inverse_propensity_quiet_offset,8000,-22.513912381963813,156.72025477335401,0.06785714285714285,0.89297883375,120000
31,ml_shuffled_domain_control,8000,-31.81617226187396,153.27362245803485,0.014285714285714285,,0
31,traditional_adaptive_pc_excluding_target,8000,-180.248885,199.52550250000002,0.12142857142857143,,0
32,traditional_median3_no_proxy,8000,-39.82675,168.4645,0.0,,0
32,traditional_quiet_offset_stratified,8000,-37.45786019367294,173.54300005636887,0.008333333333333333,,0
32,traditional_beam_train_offset_control,8000,-29.693648739285706,233.97643027084922,0.18067226890756302,,0
32,ml_inverse_propensity_quiet_offset,8000,-28.341421558607237,176.47151212782967,0.0375,0.892520396111111,120000
32,ml_shuffled_domain_control,8000,-37.46631373971961,173.52820240191468,0.008333333333333333,,0
32,traditional_adaptive_pc_excluding_target,8000,-203.035034375,221.23164937500002,0.07083333333333333,,0
33,traditional_median3_no_proxy,8000,-12.626875,41.730125,0.0,,0
33,traditional_quiet_offset_stratified,8000,-12.755243773954327,44.94942192287405,0.015151515151515152,,0
33,traditional_beam_train_offset_control,8000,-1.3993382704997712,95.26700850506313,0.21374045801526717,,0
33,ml_inverse_propensity_quiet_offset,8000,-7.089369535929397,46.21552804983997,0.03787878787878788,0.8918905966666666,120000
33,ml_shuffled_domain_control,8000,-12.739440299487121,44.938777224993416,0.015151515151515152,,0
33,traditional_adaptive_pc_excluding_target,8000,-32.137045,42.9101725,0.10606060606060606,,0
34,traditional_median3_no_proxy,8000,-14.01425,44.84375,0.0,,0
34,traditional_quiet_offset_stratified,8000,-13.575307894246844,48.79800425443786,0.004545454545454545,,0
34,traditional_beam_train_offset_control,8000,-8.705929508551584,105.5039646880659,0.20642201834862386,,0
34,ml_inverse_propensity_quiet_offset,8000,-7.126543384502489,50.476573816241896,0.03636363636363636,0.8909301138888889,120000
34,ml_shuffled_domain_control,8000,-13.620610281907666,48.84570153936515,0.004545454545454545,,0
34,traditional_adaptive_pc_excluding_target,8000,-45.0478525,56.87947750000001,0.08181818181818182,,0
35,traditional_median3_no_proxy,8000,-41.31275,251.79475,0.0,,0
35,traditional_quiet_offset_stratified,8000,-39.30435296057332,255.61151127224602,0.014583333333333334,,0
35,traditional_beam_train_offset_control,8000,-4.767436643506686,270.17690373122383,0.28661087866108786,,0
35,ml_inverse_propensity_quiet_offset,8000,-31.393129444195598,256.6969451141248,0.04791666666666667,0.8943054086111111,120000
35,ml_shuffled_domain_control,8000,-39.25165491979498,255.58599967685328,0.014583333333333334,,0
35,traditional_adaptive_pc_excluding_target,8000,-312.08190937499995,336.500280625,0.10833333333333334,,0
36,traditional_median3_no_proxy,8000,-42.713375,239.883625,0.0,,0
36,traditional_quiet_offset_stratified,8000,-40.29240123481741,244.17643764775465,0.028037383177570093,,0
36,traditional_beam_train_offset_control,8000,-6.449930220022586,268.14555981567787,0.3578199052132701,,0
36,ml_inverse_propensity_quiet_offset,8000,-31.943330575997578,245.59912839151252,0.0911214953271028,0.8927117916666667,120000
36,ml_shuffled_domain_control,8000,-40.26659208015988,244.1579497715066,0.028037383177570093,,0
36,traditional_adaptive_pc_excluding_target,8000,-292.817460625,319.756449375,0.14953271028037382,,0
37,traditional_median3_no_proxy,8000,-44.09975,307.776,0.0,,0
37,traditional_quiet_offset_stratified,8000,-41.446791681950984,311.2010088593139,0.013461538461538462,,0
37,traditional_beam_train_offset_control,8000,4.397347873583243,342.23301232970044,0.2751937984496124,,0
37,ml_inverse_propensity_quiet_offset,8000,-34.01328599589909,311.8674700951038,0.05,0.8924120227777776,120000
37,ml_shuffled_domain_control,8000,-41.42007982335448,311.1524867506881,0.013461538461538462,,0
37,traditional_adaptive_pc_excluding_target,8000,-417.79710625000007,447.09798000000006,0.09230769230769231,,0
39,traditional_median3_no_proxy,8000,-43.273,306.49625,0.0,,0
39,traditional_quiet_offset_stratified,8000,-40.75956794137775,310.1355891356495,0.023722627737226276,,0
