method,n_records,n_runs,mean_bias_adc,mean_bias_ci_low_adc,mean_bias_ci_high_adc,mae_adc,mae_ci_low_adc,mae_ci_high_adc,rmse_adc,downstream_timing_shift_tail_fraction,downstream_timing_shift_tail_ci_low,downstream_timing_shift_tail_ci_high,downstream_mean_abs_timing_delta_ns
traditional_median3_no_proxy,258748,33,-35.58475041352977,-40.341335176093494,-30.108120224050513,215.25130629029016,179.0227998985763,247.85986439393938,791.5214054308018,0.0,0.0,0.0,0.0
traditional_quiet_offset_stratified,258748,33,-33.57176184031783,-37.95127375094426,-28.37681005890371,218.77439528962014,180.28499984115686,253.17835092536205,793.373279601155,0.023405128970846244,0.018346118891838407,0.028393488972066627,0.07608741419930518
ml_shuffled_domain_control,258748,33,-33.57023014597391,-37.46116602213669,-28.775536220804508,218.77779317939664,187.42785236128248,255.13339448321227,793.380595680246,0.023330471462167306,0.018009671130395526,0.029760933994275256,0.07619852781377122
ml_inverse_propensity_quiet_offset,258748,33,-26.25678619230092,-30.671184921306224,-21.794968446605203,219.57605066349046,184.98185935721688,251.58923188469103,791.2064028912405,0.06485457192995557,0.05883495459984626,0.06912268366400215,0.11880773764010069
traditional_beam_train_offset_control,258748,33,-0.17663849573734386,-6.813887733242434,6.095527294101671,242.77602815842243,217.68063516263973,267.67360393472137,699.5913820561352,0.28319818970394117,0.2670159078780959,0.2950672686828446,2.2506382041088786
traditional_adaptive_pc_excluding_target,258748,33,-245.37417974245207,-281.4773848633957,-205.1009293646789,269.6335852644272,228.79776897064394,309.8545186458935,1074.430742040788,0.1250746491489997,0.11550383058947848,0.13307383535579395,0.8924536349066906
