pair,train_run,file,sha256,bytes
control_A1_adjacent,44,data/root/root/hrda_run_0044.root,8b9a0c63e5ebff7df6b49fe1c34fb2f058671bfd4fa4507e1e864b52e31813ad,1072439
control_A1_adjacent,45,data/root/root/hrda_run_0045.root,0667f58a0c2408419fe2838feca49c211d681153295fbff131ba357ab7b17dbb,11978439
control_A1_adjacent,46,data/root/root/hrda_run_0046.root,d723c69ee87a20b8966c6186726c37cd827538b71d6b80cae051f20a77d625b5,363504
control_A1_adjacent,47,data/root/root/hrda_run_0047.root,95c0b24c9978ea91c22606d309b6dd37aa4450b943b95cf14f6c5c73a21bd32b,2725102
control_A1_adjacent,48,data/root/root/hrda_run_0048.root,a0865b8b7247be879b2f3a1c542aa392587fafe3ebb1059379def5296aef2a38,7883395
control_A1_adjacent,49,data/root/root/hrda_run_0049.root,f4517dbb6f46f61e4b0ff3c3f207a86e9dc8a03e27ab74511a0f02f159654574,8041307
control_A1_adjacent,50,data/root/root/hrda_run_0050.root,73be3ab5d4b080192c83fdf0600c5c5f4c48a6cafed7c1b2cb16b0c23690f7f9,10925423
control_A1_adjacent,51,data/root/root/hrda_run_0051.root,d08c3f5b1aa00d62377ddc5249612a79f523e3ab1379dc88cee13e35f2f2acd6,5005769
control_A1_adjacent,53,data/root/root/hrda_run_0053.root,c93ca01697382bcb2680a433a48c41105943981e1a221c7f5349a8412e8ea874,9656826
control_A1_adjacent,54,data/root/root/hrda_run_0054.root,36da35ade12ad942230e501b98394153b8983d53e0d922036535ec88f2d1830d,9124046
control_A1_adjacent,55,data/root/root/hrda_run_0055.root,78451352fa3339abdd5db3e1c5b9a57ef7693bb87884aff4a4085135bb376227,5958441
control_A1_adjacent,56,data/root/root/hrda_run_0056.root,76c7845d73fe994b35a3023e4450cfe16753bbdd723fec2e8dba15e84ec0ee6a,12667291
control_A1_adjacent,57,data/root/root/hrda_run_0057.root,3fd411067fb6e9fa329a05463eadf54e663f9c6899c0f2570ca39bf083a78190,7791169
control_A3_adjacent,44,data/root/root/hrda_run_0044.root,8b9a0c63e5ebff7df6b49fe1c34fb2f058671bfd4fa4507e1e864b52e31813ad,1072439
control_A3_adjacent,45,data/root/root/hrda_run_0045.root,0667f58a0c2408419fe2838feca49c211d681153295fbff131ba357ab7b17dbb,11978439
control_A3_adjacent,46,data/root/root/hrda_run_0046.root,d723c69ee87a20b8966c6186726c37cd827538b71d6b80cae051f20a77d625b5,363504
control_A3_adjacent,47,data/root/root/hrda_run_0047.root,95c0b24c9978ea91c22606d309b6dd37aa4450b943b95cf14f6c5c73a21bd32b,2725102
control_A3_adjacent,48,data/root/root/hrda_run_0048.root,a0865b8b7247be879b2f3a1c542aa392587fafe3ebb1059379def5296aef2a38,7883395
control_A3_adjacent,49,data/root/root/hrda_run_0049.root,f4517dbb6f46f61e4b0ff3c3f207a86e9dc8a03e27ab74511a0f02f159654574,8041307
control_A3_adjacent,50,data/root/root/hrda_run_0050.root,73be3ab5d4b080192c83fdf0600c5c5f4c48a6cafed7c1b2cb16b0c23690f7f9,10925423
control_A3_adjacent,51,data/root/root/hrda_run_0051.root,d08c3f5b1aa00d62377ddc5249612a79f523e3ab1379dc88cee13e35f2f2acd6,5005769
control_A3_adjacent,52,data/root/root/hrda_run_0052.root,8700c89383ef567249b3b1cdb2cbc19f33cc33509a19b24165c528f72e4e9f9a,2440882
control_A3_adjacent,53,data/root/root/hrda_run_0053.root,c93ca01697382bcb2680a433a48c41105943981e1a221c7f5349a8412e8ea874,9656826
control_A3_adjacent,54,data/root/root/hrda_run_0054.root,36da35ade12ad942230e501b98394153b8983d53e0d922036535ec88f2d1830d,9124046
control_A3_adjacent,55,data/root/root/hrda_run_0055.root,78451352fa3339abdd5db3e1c5b9a57ef7693bb87884aff4a4085135bb376227,5958441
control_A3_adjacent,56,data/root/root/hrda_run_0056.root,76c7845d73fe994b35a3023e4450cfe16753bbdd723fec2e8dba15e84ec0ee6a,12667291
control_A3_adjacent,57,data/root/root/hrda_run_0057.root,3fd411067fb6e9fa329a05463eadf54e663f9c6899c0f2570ca39bf083a78190,7791169
