pair,run,method,n_pairs,median_ns,robust_width_ns,full_rms_ns,train_n_pairs,train_runs
control_A1_adjacent,58,antisymmetric_shared_cnn,1,2.314294911397127,0.0,0.0,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,58,cnn1d_waveform,1,2.261783457768587,0.0,0.0,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,58,gradient_boosted_trees,1,0.45708778225616875,0.0,0.0,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,58,mlp_waveform,1,-0.9156262851507826,0.0,0.0,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,58,ridge_shape_waveform,1,-1.3114199353379945,0.0,0.0,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,58,traditional_cfd20_poly,1,-11.977641258989053,0.0,0.0,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,59,antisymmetric_shared_cnn,3,-4.662448472886275,2.9210801455718123,4.500295354906087,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,59,cnn1d_waveform,3,0.6970090490654002,3.117222144704846,5.270600079413469,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,59,gradient_boosted_trees,3,-0.8532313664328797,0.5115347007560258,0.8295588733412096,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,59,mlp_waveform,3,3.1708918753608546,2.8480827989456055,4.647138174352068,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,59,ridge_shape_waveform,3,-18.6838622230151,10.574239574504203,16.98034413540982,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,59,traditional_cfd20_poly,3,-9.404717524356705,8.093376914092348,11.504352903160274,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,60,antisymmetric_shared_cnn,6,-0.5327528271487729,2.3016354463494904,4.624554142216702,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,60,cnn1d_waveform,6,0.5643380944934933,3.5146626797578753,5.265286176805136,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,60,gradient_boosted_trees,6,1.2881046888911403,1.6950015651089534,1.814306664860763,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,60,mlp_waveform,6,-2.629967927038944,0.7619272615804885,1.0374647042875424,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,60,ridge_shape_waveform,6,-2.1919223680957813,3.362087652856376,3.0168886516561715,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,60,traditional_cfd20_poly,6,-13.626527996097643,7.794290686552841,14.966516467805127,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,61,antisymmetric_shared_cnn,4,5.972807390973701,6.697677303642513,9.005430205375777,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,61,cnn1d_waveform,4,9.39928324402257,5.344568094976121,7.79801307162826,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,61,gradient_boosted_trees,4,-0.3411825693483732,1.9431890073557028,3.3859293398700867,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,61,mlp_waveform,4,-0.7514746232048379,3.353821559815611,5.575138313927108,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,61,ridge_shape_waveform,4,0.969675147356682,3.217021764110375,5.128747753751072,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,61,traditional_cfd20_poly,4,17.79601363121006,11.664661984930595,16.49687620752329,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,62,antisymmetric_shared_cnn,2,-6.768036316837627,2.4293426209316493,3.5725626778406614,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,62,cnn1d_waveform,2,-2.4231394042628587,1.3390073614940885,1.9691284727854246,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
control_A1_adjacent,62,gradient_boosted_trees,2,1.8472457847572752,0.5119542814910951,0.7528739433692575,383,"44,45,46,47,48,49,50,51,53,54,55,56,57"
