sample,run,events,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,pair_0_1,pair_0_4,pair_4_5,pair_0_5,pair_1_5,pair_2_3,pair_4_6
sample_iii_late,44,4299,76,42,0,0,181,62,0,0,12,69,8,2,18,0,0
sample_iii_late,45,48208,728,396,0,0,1850,670,0,0,97,672,110,28,250,0,0
sample_iii_late,46,1444,9,7,0,0,37,15,0,0,1,9,2,1,6,0,0
sample_iii_late,47,10982,109,48,0,0,378,74,0,0,13,103,11,3,26,0,0
sample_iii_late,48,31671,550,322,0,0,1275,505,0,0,90,510,62,21,192,0,0
sample_iii_late,49,32325,524,304,0,0,1273,482,0,0,63,489,68,17,186,0,0
sample_iii_late,50,44824,75,32,0,0,206,111,0,0,7,60,16,4,25,0,0
sample_iii_late,51,20566,19,12,0,0,48,19,0,0,2,7,4,1,4,0,0
sample_iii_late,52,10010,8,1,0,0,18,13,0,0,0,6,2,0,1,0,0
sample_iii_late,53,39621,24,7,0,0,23,12,0,0,3,4,2,0,1,0,0
sample_iii_late,54,37385,37,16,0,0,22,7,0,0,7,5,2,1,2,0,0
sample_iii_late,55,24409,22,16,0,0,46,25,0,0,4,6,6,0,6,0,0
sample_iii_late,56,51829,105,77,0,0,282,140,0,0,17,91,16,4,50,0,0
sample_iii_late,57,31275,513,293,0,0,1244,527,0,0,67,483,79,20,189,0,0
sample_iv_analysis,58,34178,31,6,0,0,140,5,0,0,1,25,0,0,3,0,0
sample_iv_analysis,59,42314,16,5,0,0,47,7,0,0,3,11,0,0,0,0,0
sample_iv_analysis,60,36089,15,11,0,0,62,9,0,0,6,11,3,0,2,0,0
sample_iv_analysis,61,36550,23,7,0,0,63,5,0,0,4,18,2,0,1,0,0
sample_iv_analysis,62,37589,12,5,0,0,49,4,0,0,2,7,1,0,1,0,0
sample_iv_analysis,63,37040,34,7,0,0,194,7,0,0,2,28,2,0,3,0,0
sample_iv_analysis,65,38429,36,9,0,0,172,9,0,0,4,27,2,0,3,0,0
sample_iv_calib,64,35985,20,6,0,0,157,10,0,0,1,16,1,0,3,0,0
