pair,method,train_n_pairs,test_n_pairs,train_runs,fit_meta
control_A1_adjacent,traditional_cfd20_poly,383,22,"44,45,46,47,48,49,50,51,53,54,55,56,57","{""params"": [-6809.255545232442, 1339.2326976074114, 507.5155739700557, -105.999335381234, -45.7195148218907, 27.53506298506261], ""train_chi2_ndf_ns2"": 481.2372391608734}"
control_A1_adjacent,ridge_shape_waveform,383,22,"44,45,46,47,48,49,50,51,53,54,55,56,57","{""alpha"": 0.1, ""cv_rmse_ns_mean"": 9.213071893802825, ""cv_rmse_ns_std"": 7.135175562107203, ""method"": ""ridge_shape_waveform""}"
control_A1_adjacent,gradient_boosted_trees,383,22,"44,45,46,47,48,49,50,51,53,54,55,56,57","{""cv_rmse_ns_mean"": 5.866602931194879, ""cv_rmse_ns_std"": 4.011804880204423, ""l2_regularization"": 0.01, ""learning_rate"": 0.05, ""max_leaf_nodes"": 7, ""method"": ""gradient_boosted_trees""}"
control_A1_adjacent,mlp_waveform,383,22,"44,45,46,47,48,49,50,51,53,54,55,56,57","{""alpha"": 0.01, ""cv_rmse_ns_mean"": 4.475306274522291, ""cv_rmse_ns_std"": 2.2361306994531813, ""hidden_layer_sizes"": ""32,16"", ""method"": ""mlp_waveform""}"
control_A1_adjacent,cnn1d_waveform,383,22,"44,45,46,47,48,49,50,51,53,54,55,56,57","{""channels"": 4, ""cv_rmse_ns_mean"": 12.704652671669958, ""cv_rmse_ns_std"": 2.5461900180104875, ""method"": ""cnn1d_waveform"", ""weight_decay"": 0.0}"
control_A1_adjacent,antisymmetric_shared_cnn,383,22,"44,45,46,47,48,49,50,51,53,54,55,56,57","{""channels"": 8, ""cv_rmse_ns_mean"": 9.677038480467607, ""cv_rmse_ns_std"": 2.4517028590462684, ""method"": ""antisymmetric_shared_cnn"", ""weight_decay"": 0.001}"
control_A3_adjacent,traditional_cfd20_poly,388,10,"44,45,46,47,48,49,50,51,52,53,54,55,56,57","{""params"": [-2659.1813072915475, 1216.810436261826, -472.0060164820749, -140.15624796318036, -22.816367746539072, 111.9832901231149], ""train_chi2_ndf_ns2"": 408.58731499319504}"
control_A3_adjacent,ridge_shape_waveform,388,10,"44,45,46,47,48,49,50,51,52,53,54,55,56,57","{""alpha"": 10.0, ""cv_rmse_ns_mean"": 9.384076887576537, ""cv_rmse_ns_std"": 3.8132824248699673, ""method"": ""ridge_shape_waveform""}"
control_A3_adjacent,gradient_boosted_trees,388,10,"44,45,46,47,48,49,50,51,52,53,54,55,56,57","{""cv_rmse_ns_mean"": 7.022672816069412, ""cv_rmse_ns_std"": 5.175817854685149, ""l2_regularization"": 0.01, ""learning_rate"": 0.05, ""max_leaf_nodes"": 7, ""method"": ""gradient_boosted_trees""}"
control_A3_adjacent,mlp_waveform,388,10,"44,45,46,47,48,49,50,51,52,53,54,55,56,57","{""alpha"": 0.01, ""cv_rmse_ns_mean"": 10.204722296402409, ""cv_rmse_ns_std"": 4.2789660476150075, ""hidden_layer_sizes"": ""32,16"", ""method"": ""mlp_waveform""}"
control_A3_adjacent,cnn1d_waveform,388,10,"44,45,46,47,48,49,50,51,52,53,54,55,56,57","{""channels"": 4, ""cv_rmse_ns_mean"": 10.869488192816876, ""cv_rmse_ns_std"": 2.4282094122894007, ""method"": ""cnn1d_waveform"", ""weight_decay"": 0.0}"
control_A3_adjacent,antisymmetric_shared_cnn,388,10,"44,45,46,47,48,49,50,51,52,53,54,55,56,57","{""channels"": 8, ""cv_rmse_ns_mean"": 11.64525902281619, ""cv_rmse_ns_std"": 2.4359199088661603, ""method"": ""antisymmetric_shared_cnn"", ""weight_decay"": 0.001}"
