sample,mean_exponential_fit,mean_exponential_residual,p90_positive_residual
8,0.9542661,-0.31307214,0.038157757744193076
9,0.6983438,-0.08133418,0.04317219778895377
10,0.5651135,0.02278539,0.14833315610885614
11,0.47720897,0.06657473,0.21570583432912824
12,0.41335303,0.06947888,0.2516411244869232
13,0.3677853,0.047114857,0.2551573872566223
14,0.34276217,0.008472393,0.21669068485498405
15,0.35503775,-0.05381677,0.0916965939104557
16,0.47046798,-0.20226339,0.0608412507921457
17,0.9518976,-0.7139316,0.056826213747262946
