method,n,positives,roc_auc,auc_ci_low,auc_ci_high,average_precision,role,family
traditional_scalar__event_selected_stave_multiplicity,11845,5048,0.8464738510301109,0.8307624060751626,0.8619314210328304,0.8238046037064861,traditional_scalar,pileup_event_context
traditional_scalar__exp_tail_positive_residual_sum,11845,5048,0.77575911240323,0.7194301404332116,0.8339701540214486,0.7919075471969619,traditional_scalar,exponential_tail_ar_residual
traditional_scalar__exp_tail_residual_max,11845,5048,0.7757322407550454,0.717228923849974,0.8370721757249402,0.7952711815217874,traditional_scalar,exponential_tail_ar_residual
traditional_scalar__peak_sample,11845,5048,0.7542759728760732,0.700712528588173,0.8123537246001646,0.7631538335749742,traditional_scalar,traditional_scalar
traditional_exponential_ar_fisher_all_features,11845,5048,0.7529009867782164,0.7231413392755593,0.7874580056101429,0.6053033129433362,traditional_multivariate,exponential_tail_ar_fisher
traditional_scalar__time_variance,11845,5048,0.744048818848252,0.6824736431292094,0.8062118928507119,0.6474516174614857,traditional_scalar,mean_time_moments
traditional_scalar__ar1_tail_residual_rms,11845,5048,0.7415547684992937,0.6856922839916214,0.8025276453532273,0.7225250064256539,traditional_scalar,exponential_tail_ar_residual
traditional_scalar__cfd50_time,11845,5048,0.7344492577013211,0.6807915485661256,0.787234923167861,0.7738391047092378,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__matched_template_nominal_chi2,11845,5048,0.7310452290058983,0.6786729775544211,0.7814960238090689,0.6116848964196339,traditional_scalar,matched_filter_template_chi2
traditional_scalar__width20,11845,5048,0.7296345111936445,0.6737643282762774,0.7893325568200741,0.6350612346472786,traditional_scalar,rise_time_width
traditional_scalar__cfd20_time,11845,5048,0.7283959380560129,0.6762160731590814,0.7807043270610081,0.7696299416169061,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__haar_l0_d02,11845,5048,0.7244776903532766,0.6539960942608939,0.7904009149308129,0.5750444085355473,traditional_scalar,wavelet_haar
traditional_scalar__haar_l2_d00,11845,5048,0.7178935973664153,0.6666955754166112,0.7741390171462833,0.6832394737344675,traditional_scalar,wavelet_haar
traditional_scalar__late_minus_early_asym,11845,5048,0.715929329430552,0.6670848856364838,0.7689135398936295,0.760013423321482,traditional_scalar,charge_comparison_psd
traditional_scalar__tail_10_17_over_total,11845,5048,0.713752944514768,0.6598680477595708,0.76260136050798,0.7592838384592984,traditional_scalar,charge_comparison_psd
traditional_scalar__mean_time,11845,5048,0.7057863168867965,0.6554451687267759,0.756837972483975,0.7497914447480476,traditional_scalar,mean_time_moments
