run,group,event_index,eventno,stave,stave_idx,amplitude_adc,target_odd_neg_amp,peak_sample,tail_10_17_over_total,tail_12_17_over_total,early_0_5_over_total,exp_tail_log_slope,exp_tail_residual_max,exp_tail_positive_residual_sum,ar1_tail_residual_rms,event_selected_stave_multiplicity,late_tail_memory_threshold,afterpulse_residual_threshold,late_tail_memory_like,afterpulse_or_pileup
31,sample_i_calib,19,391408,B4,1,1965.5,1964.0,17,0.99723214,0.99723214,0.0019642857,1.6787716,0.5205098,1.0731151,0.18599291,1,0.3356955921910285,0.25581894695758817,0,1
31,sample_i_calib,22,391411,B8,3,1812.0,1810.0,7,0.4018561,0.2056419,0.09486632,-0.28108093,0.11323137,0.35874847,0.051559843,1,0.3356955921910285,0.25581894695758817,0,0
31,sample_i_calib,84,391474,B2,0,5987.0,5901.5,6,0.47823915,0.3322786,0.16350247,-0.06486464,0.08110227,0.15544432,0.051240973,1,0.3356955921910285,0.25581894695758817,0,0
31,sample_i_calib,130,391520,B2,0,5698.5,5663.0,6,0.4915347,0.33806345,0.14354779,-0.072427124,0.09964235,0.18970579,0.055710297,1,0.3356955921910285,0.25581894695758817,1,0
31,sample_i_calib,173,391563,B2,0,3662.0,3650.5,7,0.5046738,0.2864476,0.054596152,-0.18727759,0.22613023,0.55643994,0.08920796,1,0.3356955921910285,0.25581894695758817,0,0
31,sample_i_calib,203,391593,B2,0,7075.5,7075.5,6,0.50289875,0.35463178,0.09163157,-0.049342584,0.047488507,0.11012342,0.04158935,1,0.3356955921910285,0.25581894695758817,1,0
31,sample_i_calib,219,391609,B2,0,9029.0,9013.0,6,0.443833,0.30851477,0.16459803,-0.050019164,0.058602847,0.14349595,0.046056952,1,0.3356955921910285,0.25581894695758817,0,0
31,sample_i_calib,237,391627,B2,0,6374.5,6342.0,6,0.49981567,0.34972718,0.13738756,-0.045210462,0.07182027,0.18371953,0.06390745,1,0.3356955921910285,0.25581894695758817,1,0
31,sample_i_calib,304,391694,B4,1,2485.5,2481.0,15,0.99485785,0.9899666,0.0036789298,1.5218476,0.81387943,2.0371337,0.2013687,3,0.3356955921910285,0.25581894695758817,0,1
31,sample_i_calib,304,391694,B6,2,2461.0,2460.5,15,0.99800235,0.9976392,0.0010896213,1.3710355,0.77700806,1.8645155,0.20108514,3,0.3356955921910285,0.25581894695758817,0,1
31,sample_i_calib,304,391694,B8,3,4114.0,4114.5,14,0.99610704,0.9930251,0.00027034333,0.7056035,0.6899461,1.7477901,0.23688266,3,0.3356955921910285,0.25581894695758817,0,1
31,sample_i_calib,354,391744,B4,1,1279.0,2879.0,17,0.9971014,0.9971014,0.0028985508,1.0069876,0.9928225,1.066041,0.31957093,1,0.3356955921910285,0.25581894695758817,0,1
31,sample_i_calib,356,391746,B4,1,3290.5,3289.0,17,0.97840095,0.96742725,0.0013934855,0.47855476,0.7618941,1.1887711,0.6063699,1,0.3356955921910285,0.25581894695758817,0,1
31,sample_i_calib,433,391823,B2,0,5349.5,5287.0,6,0.4957166,0.3405156,0.14547597,-0.07735217,0.10463256,0.22690505,0.056555845,1,0.3356955921910285,0.25581894695758817,1,0
31,sample_i_calib,537,391927,B4,1,4271.0,4244.5,6,0.49434352,0.33194488,0.13772707,-0.10477456,0.11313494,0.34407225,0.05380764,1,0.3356955921910285,0.25581894695758817,0,0
31,sample_i_calib,539,391929,B2,0,8748.5,9641.5,7,0.5154818,0.3562547,0.14833549,-0.066388614,0.07952259,0.123814285,0.06469455,1,0.3356955921910285,0.25581894695758817,1,0
31,sample_i_calib,546,391936,B2,0,6809.5,6805.5,6,0.5077834,0.35895872,0.09543793,-0.04636411,0.06802055,0.12226168,0.03956451,1,0.3356955921910285,0.25581894695758817,1,0
31,sample_i_calib,578,391968,B6,2,3470.5,3471.0,16,0.9987974,0.9987974,0.001202559,1.6380154,0.78824097,1.7417355,0.24565534,1,0.3356955921910285,0.25581894695758817,0,1
31,sample_i_calib,633,392023,B6,2,3746.0,3737.5,10,0.92869645,0.6639517,0.0011431429,0.15798816,0.59027964,1.712676,0.24215326,1,0.3356955921910285,0.25581894695758817,0,1
31,sample_i_calib,784,392174,B4,1,2521.5,2439.0,6,0.3083637,0.14832616,0.19522704,-0.29318884,0.092100926,0.24630226,0.03702508,2,0.3356955921910285,0.25581894695758817,0,1
31,sample_i_calib,784,392174,B6,2,2822.0,2820.0,7,0.37134808,0.19223793,0.11499905,-0.27274898,0.09168655,0.24483429,0.042854156,2,0.3356955921910285,0.25581894695758817,0,1
31,sample_i_calib,790,392180,B4,1,3518.5,3513.5,6,0.48945582,0.29381287,0.111107744,-0.16563584,0.22848809,0.58536077,0.09366554,2,0.3356955921910285,0.25581894695758817,0,1
31,sample_i_calib,790,392180,B6,2,5432.0,5429.0,6,0.5352366,0.37696454,0.07268851,-0.054855157,0.0838859,0.13688624,0.05593212,2,0.3356955921910285,0.25581894695758817,0,1
31,sample_i_calib,842,392232,B2,0,7191.5,7049.0,5,0.4531484,0.31954563,0.1916808,-0.048532695,0.07420265,0.1220677,0.04576715,1,0.3356955921910285,0.25581894695758817,0,0
