heldout_run,heldout_group,n_scored_events,n_synthetic_train,training_policy,synthetic_train_source_runs,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,shuffled_label_synthetic_auc
44,high_20nA,652,5600,low_current_only_source_run_heldout,46 47,0.9483953335063431,0.9509884788082843,0.0970765070428134,0.07281354593252846,0.5381397263461212
45,high_20nA,1120,5600,low_current_only_source_run_heldout,46 47,0.9201673469387754,0.928509576271897,0.12110940036984037,0.0856011084975567,0.46983775510204084
46,low_2nA,417,5600,low_current_only_source_run_heldout,47,0.9825323424832024,0.9849288805769716,0.05450404950242393,0.047701307512692054,0.363225857083351
47,low_2nA,675,1332,low_current_only_source_run_heldout,46,0.9289455737330834,0.9388850250557768,0.11630689864785947,0.07787019240902165,0.471372338522097
48,high_20nA,1086,5600,low_current_only_source_run_heldout,46 47,0.9190112244897957,0.9246994232117693,0.12066913012284117,0.08414790610951291,0.5304142857142857
49,high_20nA,1107,5600,low_current_only_source_run_heldout,46 47,0.9045561224489796,0.9150933695832633,0.13208799929017698,0.08678937811108631,0.4885510204081633
50,high_20nA,996,5600,low_current_only_source_run_heldout,46 47,0.9196826530612244,0.9257970922543108,0.12408288988101483,0.0843393346308448,0.5130683673469387
51,high_20nA,903,5600,low_current_only_source_run_heldout,46 47,0.9216928571428571,0.9262955023338189,0.11804404115789806,0.08683852791334053,0.5272744897959184
52,high_20nA,703,5600,low_current_only_source_run_heldout,46 47,0.938854636139655,0.9458392102856449,0.1049323378510971,0.07125079042373016,0.5478540953067724
53,high_20nA,929,5600,low_current_only_source_run_heldout,46 47,0.9223826530612245,0.9292742524655121,0.11897776555535894,0.08419288994199031,0.5044877551020408
54,high_20nA,927,5600,low_current_only_source_run_heldout,46 47,0.911395918367347,0.9222392940771,0.12531134825990295,0.08204377855017705,0.49384183673469384
55,high_20nA,950,5600,low_current_only_source_run_heldout,46 47,0.9255724489795919,0.9318204146276706,0.11839612865308669,0.08300548985576772,0.6061561224489795
56,high_20nA,1052,5600,low_current_only_source_run_heldout,46 47,0.9105448979591836,0.9208288795243305,0.12860293659203065,0.09040127063385578,0.454719387755102
57,high_20nA,1100,5600,low_current_only_source_run_heldout,46 47,0.9156755102040817,0.9244432855227249,0.1233814035030179,0.08274948209645663,0.5255897959183673
