feature,coefficient,method,base_method,drift_order,train_pulses,heldout_pulses,heldout_run
intercept,0.0,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B4_intercept,-86.04006202118387,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B4_log_amp,151.41565634968939,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B4_log_amp2,-79.15038951238641,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B4_inv_amp,-4.003068175850981,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B4_peak_sample,0.5412142266592331,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B4_area_over_amp,3.1950195347982344,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B4_template_sse,0.7869996680891168,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B6_intercept,43.96655896950133,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B6_log_amp,-73.42350086138198,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B6_log_amp2,22.900661959012208,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B6_inv_amp,-1.930799024650476,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B6_peak_sample,-0.7705191647567975,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B6_area_over_amp,-0.615486573228629,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B6_template_sse,0.30921051167607805,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B8_intercept,42.07349713347029,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B8_log_amp,-63.09801315404866,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B8_log_amp2,15.306211272230918,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B8_inv_amp,-2.8762378913438953,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B8_peak_sample,-0.6558633245058915,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B8_area_over_amp,-1.3604383382711969,s02h_binned_current_drift0,s02b_template,0,11241,219,58
B8_template_sse,0.18602512114844735,s02h_binned_current_drift0,s02b_template,0,11241,219,58
intercept,0.0,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B4_intercept,-85.54488284100917,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B4_log_amp,151.034982089933,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B4_log_amp2,-78.74803393637906,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B4_inv_amp,-4.005338653271644,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B4_peak_sample,0.5218108864469745,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B4_area_over_amp,3.083504579271686,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B4_template_sse,0.7512611455658693,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B6_intercept,43.981846880679,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B6_log_amp,-72.7377476611344,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B6_log_amp2,22.576214403445736,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B6_inv_amp,-1.9332724692039809,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B6_peak_sample,-0.770734761319884,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B6_area_over_amp,-0.6059705247778624,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B6_template_sse,0.3132009111195393,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B8_intercept,41.56303007963345,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B8_log_amp,-61.888746676198856,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B8_log_amp2,14.934294144510377,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B8_inv_amp,-2.8344648725428754,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B8_peak_sample,-0.6535124546208656,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B8_area_over_amp,-1.3448332514160481,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B8_template_sse,0.19293741874396117,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B4_current_nA_z_p1,0.0,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B4_trigger_entry_density_z_p1,-0.06094565272473695,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B4_entries_per_eventno_z_p1,-0.060945652561428816,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B4_selected_multiplicity_per_event_z_p1,-0.016817821798288765,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B4_downstream_allhit_fraction_z_p1,-0.01359822885044452,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B6_current_nA_z_p1,0.0,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B6_trigger_entry_density_z_p1,0.031914596210517274,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B6_entries_per_eventno_z_p1,0.0319145962169776,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B6_selected_multiplicity_per_event_z_p1,-0.007897425165129649,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B6_downstream_allhit_fraction_z_p1,0.005404822155419178,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B8_current_nA_z_p1,0.0,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B8_trigger_entry_density_z_p1,0.03295380300662358,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B8_entries_per_eventno_z_p1,0.03295380320702892,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B8_selected_multiplicity_per_event_z_p1,0.07019729748770087,s02h_binned_current_drift1,s02b_template,1,11241,219,58
B8_downstream_allhit_fraction_z_p1,-0.07852925972504157,s02h_binned_current_drift1,s02b_template,1,11241,219,58
intercept,0.0,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B4_intercept,-73.8488998011122,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B4_log_amp,156.72921395333051,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B4_log_amp2,-80.9822598831883,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B4_inv_amp,-3.893913361641981,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B4_peak_sample,0.5068005309738849,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B4_area_over_amp,3.052103650045465,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B4_template_sse,0.7456020215834943,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B6_intercept,38.582750896687834,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B6_log_amp,-76.31813714617708,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B6_log_amp2,24.043869023978317,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B6_inv_amp,-1.9954979515521074,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B6_peak_sample,-0.7661241444016379,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B6_area_over_amp,-0.6118576208171363,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B6_template_sse,0.3089583759038124,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B8_intercept,35.266142972686815,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B8_log_amp,-62.89226169690122,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B8_log_amp2,15.40475001471865,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B8_inv_amp,-2.84524218707645,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B8_peak_sample,-0.6521989082163012,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B8_area_over_amp,-1.3424865794352763,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B8_template_sse,0.1946390028563594,s02h_binned_current_drift2,s02b_template,2,11241,219,58
B4_current_nA_z_p1,0.0,s02h_binned_current_drift2,s02b_template,2,11241,219,58
