heldout_run,variant,alpha,fold,sigma68_ns,n_pair_residuals
58,S02h ML binned residual,0.01,0,3.1131273370635126,2997
58,S02h ML binned residual,0.01,1,2.640522582612308,3534
58,S02h ML binned residual,0.01,2,3.0731873424677323,4710
58,S02h ML binned residual,0.01,-1,2.942279087381184,0
58,S02h ML binned residual,0.1,0,3.1147570972413297,2997
58,S02h ML binned residual,0.1,1,2.63526516466125,3534
58,S02h ML binned residual,0.1,2,3.0789285896994167,4710
58,S02h ML binned residual,0.1,-1,2.942983617200665,0
58,S02h ML binned residual,1.0,0,3.0994376352615314,2997
58,S02h ML binned residual,1.0,1,2.6137895782016374,3534
58,S02h ML binned residual,1.0,2,3.076464478395977,4710
58,S02h ML binned residual,1.0,-1,2.9298972306197153,0
58,S02h ML binned residual,10.0,0,3.1064270091852317,2997
58,S02h ML binned residual,10.0,1,2.5960851017648245,3534
58,S02h ML binned residual,10.0,2,3.0813383852539733,4710
58,S02h ML binned residual,10.0,-1,2.9279501654013433,0
58,S02h ML binned residual,100.0,0,3.1525519380015807,2997
58,S02h ML binned residual,100.0,1,2.678819148336906,3534
58,S02h ML binned residual,100.0,2,3.0886727705845005,4710
58,S02h ML binned residual,100.0,-1,2.9733479523076625,0
58,S02h ML bin-dropout,0.01,0,3.2420233008174506,2997
58,S02h ML bin-dropout,0.01,1,2.82177317172894,3534
58,S02h ML bin-dropout,0.01,2,3.194944483994805,4710
58,S02h ML bin-dropout,0.01,-1,3.086246985513732,0
58,S02h ML bin-dropout,0.1,0,3.2467211591822815,2997
58,S02h ML bin-dropout,0.1,1,2.820414181914324,3534
58,S02h ML bin-dropout,0.1,2,3.1941891141363685,4710
58,S02h ML bin-dropout,0.1,-1,3.0871081517443244,0
58,S02h ML bin-dropout,1.0,0,3.2602807640957585,2997
58,S02h ML bin-dropout,1.0,1,2.8068040746902483,3534
58,S02h ML bin-dropout,1.0,2,3.1899717580012066,4710
58,S02h ML bin-dropout,1.0,-1,3.0856855322624046,0
58,S02h ML bin-dropout,10.0,0,3.2841673045212487,2997
58,S02h ML bin-dropout,10.0,1,2.856431189735657,3534
58,S02h ML bin-dropout,10.0,2,3.2163357236590513,4710
58,S02h ML bin-dropout,10.0,-1,3.1189780726386527,0
58,S02h ML bin-dropout,100.0,0,3.3419779993946177,2997
58,S02h ML bin-dropout,100.0,1,2.9101266809572595,3534
58,S02h ML bin-dropout,100.0,2,3.1898052462851822,4710
58,S02h ML bin-dropout,100.0,-1,3.1473033088790197,0
58,S02h ML shuffled-bin,0.01,0,3.237941584284324,2997
58,S02h ML shuffled-bin,0.01,1,2.8201145795383225,3534
58,S02h ML shuffled-bin,0.01,2,3.1984089103501603,4710
58,S02h ML shuffled-bin,0.01,-1,3.0854883580576025,0
58,S02h ML shuffled-bin,0.1,0,3.234648066776515,2997
58,S02h ML shuffled-bin,0.1,1,2.8201745391126036,3534
58,S02h ML shuffled-bin,0.1,2,3.2012872223263424,4710
58,S02h ML shuffled-bin,0.1,-1,3.085369942738487,0
58,S02h ML shuffled-bin,1.0,0,3.259660452241918,2997
58,S02h ML shuffled-bin,1.0,1,2.808654639973282,3534
58,S02h ML shuffled-bin,1.0,2,3.2041647173334127,4710
58,S02h ML shuffled-bin,1.0,-1,3.090826603182871,0
58,S02h ML shuffled-bin,10.0,0,3.2940936379266588,2997
58,S02h ML shuffled-bin,10.0,1,2.8706270829301093,3534
58,S02h ML shuffled-bin,10.0,2,3.229320521068554,4710
58,S02h ML shuffled-bin,10.0,-1,3.131347080641774,0
58,S02h ML shuffled-bin,100.0,0,3.348841234913936,2997
58,S02h ML shuffled-bin,100.0,1,2.9017856628475656,3534
58,S02h ML shuffled-bin,100.0,2,3.204628798708537,4710
58,S02h ML shuffled-bin,100.0,-1,3.151751898823346,0
58,S02h ML shuffled-target,0.01,0,3.2118110098854267,2997
58,S02h ML shuffled-target,0.01,1,3.7589722016049887,3534
58,S02h ML shuffled-target,0.01,2,3.908158772437173,4710
58,S02h ML shuffled-target,0.01,-1,3.62631399464253,0
58,S02h ML shuffled-target,0.1,0,3.211511290952061,2997
58,S02h ML shuffled-target,0.1,1,3.759397400650651,3534
58,S02h ML shuffled-target,0.1,2,3.9061697878036776,4710
58,S02h ML shuffled-target,0.1,-1,3.6256928264687964,0
58,S02h ML shuffled-target,1.0,0,3.212258980286063,2997
58,S02h ML shuffled-target,1.0,1,3.7603687058913877,3534
58,S02h ML shuffled-target,1.0,2,3.8997687900790963,4710
58,S02h ML shuffled-target,1.0,-1,3.6241321587521824,0
58,S02h ML shuffled-target,10.0,0,3.211182934724655,2997
58,S02h ML shuffled-target,10.0,1,3.774543399857773,3534
58,S02h ML shuffled-target,10.0,2,3.8931662413200687,4710
58,S02h ML shuffled-target,10.0,-1,3.6262975253008327,0
58,S02h ML shuffled-target,100.0,0,3.2052214959570295,2997
58,S02h ML shuffled-target,100.0,1,3.7762591010118953,3534
58,S02h ML shuffled-target,100.0,2,3.9051752569820835,4710
58,S02h ML shuffled-target,100.0,-1,3.628885284650336,0
58,S02h ML bin+current/rate,0.01,0,4.11384968621974,2997
58,S02h ML bin+current/rate,0.01,1,2.786292443756989,3534
58,S02h ML bin+current/rate,0.01,2,3.4321792995852833,4710
58,S02h ML bin+current/rate,0.01,-1,3.444107143187337,0
58,S02h ML bin+current/rate,0.1,0,4.112912916955478,2997
58,S02h ML bin+current/rate,0.1,1,2.782032843422688,3534
58,S02h ML bin+current/rate,0.1,2,3.427676457944756,4710
58,S02h ML bin+current/rate,0.1,-1,3.440874072774308,0
58,S02h ML bin+current/rate,1.0,0,4.14347844426202,2997
58,S02h ML bin+current/rate,1.0,1,2.7531911550593056,3534
58,S02h ML bin+current/rate,1.0,2,3.405922806760557,4710
58,S02h ML bin+current/rate,1.0,-1,3.434197468693961,0
58,S02h ML bin+current/rate,10.0,0,4.1229753332224455,2997
58,S02h ML bin+current/rate,10.0,1,2.7139737413852476,3534
58,S02h ML bin+current/rate,10.0,2,3.42858916054366,4710
58,S02h ML bin+current/rate,10.0,-1,3.4218460783837847,0
58,S02h ML bin+current/rate,100.0,0,3.7939747780496402,2997
