method,n_runs,mean_sigma68_ns,ci_low,ci_high,min_run_sigma68_ns,max_run_sigma68_ns
S02b global timewalk no drift,7,1.6551640399789107,1.5321084225639328,1.8474939684975191,1.4718970274976448,2.188417727408664
S02 ML ridge cfd20,7,1.9054928392097812,1.8237356727663154,2.026972738494248,1.7698393506968229,2.2424329131323475
S02d binned selected 1,1,2.13066211092533,2.13066211092533,2.13066211092533,2.13066211092533,2.13066211092533
S02 train-best global template (template_phase),7,2.8102293063017076,2.716204428329263,2.9014182215776025,2.6428031039120548,2.9923192689628024
S02h ML binned residual,7,2.9999826745478413,2.651793775632468,3.2998930203806633,2.045066580862256,3.4882435913030196
S02h ML shuffled-bin,7,3.1387365335866115,2.757055477683176,3.4560469549091652,2.1037190326451483,3.642465444102452
S02b binned timewalk no drift,7,3.1484944174882767,2.7788313637797866,3.4608452365345905,2.127410063722653,3.6379339992367563
S02h binned current/rate selected 0,7,3.1484944174882767,2.765166084069627,3.4608452365345896,2.127410063722653,3.6379339992367563
S02h ML bin-dropout,7,3.15229083581916,2.753215043363718,3.463751668673759,2.1279333145696757,3.6497937575570165
S02d binned selected 0,5,3.2548233718917055,3.053322845632886,3.4754552897447484,2.9620022014266674,3.6348446474299303
S02h ML shuffled-target,7,3.796986911857778,3.2990668852043257,4.340141744355479,2.966064025117423,5.011524597159532
S02d binned selected 2,1,3.86253081830916,3.86253081830916,3.86253081830916,3.86253081830916,3.86253081830916
S02h ML bin+current/rate,7,5.030757990490632,2.8019805972872627,8.753584239049552,2.022498142144574,15.777092224118633
