feature,coefficient,heldout_run,variant,alpha
intercept,0.0,58,S02h ML binned residual,10.0
B4_intercept,-2.01605030683531,58,S02h ML binned residual,10.0
B4_log_amp,-1.3404543033263283,58,S02h ML binned residual,10.0
B4_log_amp2,-0.6353433579317945,58,S02h ML binned residual,10.0
B4_inv_amp,-3.8090852871648067,58,S02h ML binned residual,10.0
B4_peak_sample,0.579717685730953,58,S02h ML binned residual,10.0
B4_area_over_amp,3.081988403195914,58,S02h ML binned residual,10.0
B4_template_sse,0.7214286330354271,58,S02h ML binned residual,10.0
B6_intercept,-0.4138914211984415,58,S02h ML binned residual,10.0
B6_log_amp,-0.32682186770485017,58,S02h ML binned residual,10.0
B6_log_amp2,-0.11458888751691396,58,S02h ML binned residual,10.0
B6_inv_amp,1.4957878593787894,58,S02h ML binned residual,10.0
B6_peak_sample,-0.7496918437272959,58,S02h ML binned residual,10.0
B6_area_over_amp,0.09702750443368063,58,S02h ML binned residual,10.0
B6_template_sse,0.4981714773745934,58,S02h ML binned residual,10.0
B8_intercept,2.4299417280520634,58,S02h ML binned residual,10.0
B8_log_amp,0.7522061688614105,58,S02h ML binned residual,10.0
B8_log_amp2,-1.226857766120725,58,S02h ML binned residual,10.0
B8_inv_amp,0.5381347058006141,58,S02h ML binned residual,10.0
B8_peak_sample,-0.8783977271625221,58,S02h ML binned residual,10.0
B8_area_over_amp,-2.1666589477038256,58,S02h ML binned residual,10.0
B8_template_sse,0.045265523768328764,58,S02h ML binned residual,10.0
bin_0,-0.2012303679250948,58,S02h ML binned residual,10.0
bin_1,0.4542257399654583,58,S02h ML binned residual,10.0
bin_2,0.11472602849434935,58,S02h ML binned residual,10.0
bin_3,-0.36752035867475474,58,S02h ML binned residual,10.0
bin_missing,0.0,58,S02h ML binned residual,10.0
intercept,0.0,58,S02h ML bin-dropout,1.0
B4_intercept,-2.498729859713866,58,S02h ML bin-dropout,1.0
B4_log_amp,-4.481858781635403,58,S02h ML bin-dropout,1.0
B4_log_amp2,-7.725720317815797,58,S02h ML bin-dropout,1.0
B4_inv_amp,-5.926374871578336,58,S02h ML bin-dropout,1.0
B4_peak_sample,0.5496271481816178,58,S02h ML bin-dropout,1.0
B4_area_over_amp,3.1178030126648393,58,S02h ML bin-dropout,1.0
B4_template_sse,0.7501801478762035,58,S02h ML bin-dropout,1.0
B6_intercept,-1.0844960750875543,58,S02h ML bin-dropout,1.0
B6_log_amp,-3.496671026078749,58,S02h ML bin-dropout,1.0
B6_log_amp2,-6.161478415844732,58,S02h ML bin-dropout,1.0
B6_inv_amp,-0.41508472574376215,58,S02h ML bin-dropout,1.0
B6_peak_sample,-0.7873200403712621,58,S02h ML bin-dropout,1.0
B6_area_over_amp,-0.8020939157461341,58,S02h ML bin-dropout,1.0
B6_template_sse,0.26699246434212304,58,S02h ML bin-dropout,1.0
B8_intercept,3.5832259352096965,58,S02h ML bin-dropout,1.0
B8_log_amp,-2.872160763696243,58,S02h ML bin-dropout,1.0
B8_log_amp2,-10.443193329499467,58,S02h ML bin-dropout,1.0
B8_inv_amp,-1.7362919938225738,58,S02h ML bin-dropout,1.0
B8_peak_sample,-0.6470612818065188,58,S02h ML bin-dropout,1.0
B8_area_over_amp,-1.3636013979475514,58,S02h ML bin-dropout,1.0
B8_template_sse,0.18676265871255288,58,S02h ML bin-dropout,1.0
intercept,0.0,58,S02h ML shuffled-bin,0.1
B4_intercept,-3.3019836376015554,58,S02h ML shuffled-bin,0.1
B4_log_amp,-3.4432242925955436,58,S02h ML shuffled-bin,0.1
B4_log_amp2,-10.115833655576322,58,S02h ML shuffled-bin,0.1
B4_inv_amp,-6.379820944981184,58,S02h ML shuffled-bin,0.1
B4_peak_sample,0.537175557596311,58,S02h ML shuffled-bin,0.1
B4_area_over_amp,3.2052222047059566,58,S02h ML shuffled-bin,0.1
B4_template_sse,0.7976782245972578,58,S02h ML shuffled-bin,0.1
B6_intercept,-0.4770686017932238,58,S02h ML shuffled-bin,0.1
B6_log_amp,-4.880536816286181,58,S02h ML shuffled-bin,0.1
B6_log_amp2,-7.62145114323877,58,S02h ML shuffled-bin,0.1
B6_inv_amp,-0.8991035387321547,58,S02h ML shuffled-bin,0.1
B6_peak_sample,-0.771157363330241,58,S02h ML shuffled-bin,0.1
B6_area_over_amp,-0.6266235189954141,58,S02h ML shuffled-bin,0.1
B6_template_sse,0.30660036328962176,58,S02h ML shuffled-bin,0.1
B8_intercept,3.779052243721133,58,S02h ML shuffled-bin,0.1
B8_log_amp,-4.223514797462281,58,S02h ML shuffled-bin,0.1
B8_log_amp2,-11.356974638123537,58,S02h ML shuffled-bin,0.1
