stave,bin,n_pulses,n_events,amp_min_adc,amp_median_adc,amp_max_adc,median_template_sse,split,heldout_run
B8,2,764,764,3380.5,3712.0,4158.5,0.04734470937232151,train,59
B8,3,765,765,4161.0,4793.0,7878.5,0.06225688341354482,train,59
B4,0,271,271,1004.5,1694.5,1972.0,0.1626236577895445,heldout,59
B4,1,212,212,1975.5,2205.25,2407.0,0.012000988762424114,heldout,59
B4,2,162,162,2411.0,2579.75,2734.5,0.0158007525990988,heldout,59
B4,3,118,118,2739.0,2897.0,5265.0,0.035217316665927645,heldout,59
B6,0,312,312,1002.5,1781.5,2106.0,0.013220792613201148,heldout,59
B6,1,215,215,2109.0,2320.5,2528.5,0.011229201697328191,heldout,59
B6,2,159,159,2530.0,2688.0,2871.5,0.014234037564425922,heldout,59
B6,3,77,77,2879.5,3061.0,4522.0,0.04078029416952297,heldout,59
B8,0,249,249,1029.5,2409.0,2844.0,0.021390970221141007,heldout,59
B8,1,195,195,2845.5,3113.5,3378.0,0.03376794270379965,heldout,59
B8,2,179,179,3382.5,3728.0,4155.0,0.04997966086389672,heldout,59
B8,3,140,140,4162.5,4716.5,6857.5,0.05505679676370856,heldout,59
B4,0,752,752,1001.5,1589.75,1881.5,0.12533665685509088,train,60
B4,1,754,754,1882.0,2102.75,2300.5,0.017108122048441518,train,60
B4,2,753,753,2301.0,2469.0,2642.5,0.01415350996034872,train,60
B4,3,753,753,2643.5,2844.0,7272.5,0.03159358359962789,train,60
B6,0,753,753,1002.5,1726.0,1995.0,0.019431844889369578,train,60
B6,1,753,753,1996.5,2197.0,2394.0,0.012710154473035362,train,60
B6,2,753,753,2395.0,2589.5,2764.5,0.011586082400148426,train,60
B6,3,753,753,2765.0,3000.0,6877.5,0.042639121295648744,train,60
B8,0,753,753,1003.5,2312.0,2778.5,0.02466226603811445,train,60
B8,1,753,753,2779.0,3050.0,3290.0,0.03432416462307047,train,60
B8,2,753,753,3292.5,3605.5,4027.5,0.04656140588820062,train,60
B8,3,753,753,4030.0,4618.5,7878.5,0.06822584477729152,train,60
B4,0,104,104,1047.5,1565.0,1874.5,3.4676147366352135,heldout,60
B4,1,133,133,1882.5,2122.0,2298.5,0.0163991848686942,heldout,60
B4,2,185,185,2301.0,2505.0,2642.5,0.013753112134689476,heldout,60
B4,3,386,386,2643.5,2895.75,6776.0,0.04382641982883986,heldout,60
B6,0,94,94,1143.5,1789.0,1993.5,0.6483139080445406,heldout,60
B6,1,135,135,1997.0,2214.5,2393.5,0.013420585185576418,heldout,60
B6,2,223,223,2394.5,2605.5,2763.5,0.01322376055566206,heldout,60
B6,3,356,356,2765.0,3057.0,5596.5,0.04769444170197218,heldout,60
B8,0,160,160,1023.0,2228.0,2772.0,0.06784817070222227,heldout,60
B8,1,163,163,2779.5,3053.5,3281.0,0.030608439936698952,heldout,60
B8,2,214,214,3293.5,3620.5,4027.0,0.05297597980676822,heldout,60
B8,3,271,271,4033.0,4788.5,7779.0,0.0750014358343711,heldout,60
B4,0,722,722,1001.5,1626.0,1923.5,0.18519409242356455,train,61
B4,1,721,721,1925.5,2158.0,2351.5,0.013792366938822465,train,61
B4,2,722,722,2352.5,2536.5,2708.5,0.012992748876118149,train,61
B4,3,722,722,2709.0,2915.75,7272.5,0.03955469542502224,train,61
B6,0,722,722,1002.5,1741.5,2010.5,0.01984814771253646,train,61
B6,1,721,721,2011.0,2230.0,2430.5,0.012639067678561832,train,61
B6,2,721,721,2431.0,2623.0,2785.5,0.012394091629011339,train,61
B6,3,723,723,2786.5,3023.5,6877.5,0.044400373714417705,train,61
B8,0,722,722,1015.5,2273.0,2782.5,0.0240933075648163,train,61
B8,1,721,721,2783.5,3067.0,3333.0,0.037715627251451486,train,61
B8,2,722,722,3334.0,3651.5,4088.5,0.04866034806252141,train,61
B8,3,722,722,4091.5,4687.25,7878.5,0.06250455540738181,train,61
B4,0,220,220,1026.0,1621.75,1923.0,0.2946211628214881,heldout,61
B4,1,215,215,1929.5,2167.0,2351.0,0.024938023179876777,heldout,61
B4,2,260,260,2352.5,2537.25,2708.5,0.017877189214045672,heldout,61
B4,3,238,238,2709.0,2885.25,5598.5,0.02360457152982947,heldout,61
B6,0,160,160,1005.0,1750.5,2010.5,0.03433162399247931,heldout,61
B6,1,212,212,2021.0,2221.75,2419.0,0.01306100267907855,heldout,61
B6,2,238,238,2431.0,2607.25,2784.0,0.011335613516733987,heldout,61
B6,3,323,323,2790.0,3051.0,5102.0,0.04181803565015233,heldout,61
B8,0,203,203,1003.5,2345.0,2782.5,0.08897098073404326,heldout,61
B8,1,240,240,2785.0,3086.75,3331.0,0.033062837936667186,heldout,61
B8,2,236,236,3336.5,3619.5,4079.5,0.04373497963775361,heldout,61
B8,3,254,254,4091.5,4747.0,6821.0,0.06933137574429091,heldout,61
B4,0,753,753,1001.5,1628.0,1933.0,0.18285174880853494,train,62
B4,1,753,753,1934.0,2168.0,2375.0,0.015951730805023243,train,62
B4,2,753,753,2375.5,2559.0,2722.0,0.014773964302495493,train,62
B4,3,754,754,2723.0,2919.0,6776.0,0.03915373484826734,train,62
B6,0,753,753,1002.5,1757.5,2056.5,0.017749380274805725,train,62
B6,1,752,752,2058.0,2276.0,2483.5,0.012728896716226713,train,62
B6,2,754,754,2484.0,2666.0,2841.5,0.01291368155255293,train,62
B6,3,754,754,2842.5,3083.75,5596.5,0.04500159891917413,train,62
B8,0,753,753,1003.5,2324.5,2797.0,0.02851232684012549,train,62
B8,1,752,752,2798.0,3086.25,3347.0,0.03581032142984998,train,62
B8,2,754,754,3348.5,3666.75,4106.5,0.04760139670382555,train,62
B8,3,754,754,4108.5,4742.25,7779.0,0.06574851281553967,train,62
B4,0,201,201,1017.0,1636.5,1932.5,0.22425473311567642,heldout,62
B4,1,219,219,1937.5,2171.0,2372.5,0.016237707851798143,heldout,62
B4,2,224,224,2376.5,2537.75,2722.5,0.013206599599757438,heldout,62
B4,3,163,163,2728.0,2930.0,7272.5,0.04200920570695986,heldout,62
B6,0,222,222,1034.0,1827.75,2056.5,0.019394713047524874,heldout,62
B6,1,217,217,2060.5,2289.0,2483.5,0.011835824218637962,heldout,62
B6,2,211,211,2484.5,2659.0,2836.0,0.010881784258160627,heldout,62
B6,3,157,157,2843.5,3027.5,6877.5,0.04426328905375071,heldout,62
B8,0,193,193,1064.5,2267.5,2797.0,0.022128614129505526,heldout,62
B8,1,220,220,2798.0,3057.75,3344.0,0.03748746480674965,heldout,62
B8,2,195,195,3349.0,3658.5,4104.5,0.04547861198263468,heldout,62
B8,3,199,199,4111.5,4640.0,7878.5,0.058963458612425426,heldout,62
B4,0,862,862,1004.5,1660.25,1954.0,0.1995969494785868,train,63
B4,1,863,863,1954.5,2188.5,2395.5,0.016202289717537722,train,63
B4,2,861,861,2396.5,2562.0,2724.0,0.014153324399651288,train,63
B4,3,864,864,2724.5,2929.75,7272.5,0.04007530058885854,train,63
B6,0,863,863,1002.5,1793.0,2072.5,0.018844756427415996,train,63
B6,1,862,862,2074.0,2290.25,2490.5,0.012521112197235847,train,63
B6,2,862,862,2492.5,2668.5,2844.5,0.012262213898026971,train,63
B6,3,863,863,2845.0,3082.5,6877.5,0.04426739464059235,train,63
B8,0,863,863,1003.5,2321.0,2814.0,0.026354828932331348,train,63
B8,1,862,862,2814.5,3089.5,3348.5,0.03466788288519533,train,63
B8,2,862,862,3349.0,3675.0,4120.5,0.047583300743843204,train,63
B8,3,863,863,4121.0,4742.5,7878.5,0.06194925536418854,train,63
B4,0,130,130,1001.5,1624.25,1954.0,0.10990801561641642,heldout,63
B4,1,118,118,1955.0,2183.5,2390.0,0.013300459106010812,heldout,63
B4,2,73,73,2397.0,2560.5,2716.5,0.015656236152914876,heldout,63
B4,3,49,49,2740.0,2887.5,5527.5,0.034682036179801395,heldout,63
B6,0,143,143,1061.0,1726.0,2072.0,0.0194318851982379,heldout,63
B6,1,97,97,2075.0,2284.0,2488.0,0.013266151882277108,heldout,63
B6,2,90,90,2492.0,2644.0,2843.5,0.013736662255669198,heldout,63
B6,3,40,40,2848.5,3003.25,4270.0,0.05631614497592727,heldout,63
B8,0,110,110,1063.5,2386.75,2807.5,0.020615498367239447,heldout,63
B8,1,85,85,2817.5,3078.5,3348.5,0.04677361432542834,heldout,63
B8,2,101,101,3355.0,3657.5,4118.5,0.04689519115365327,heldout,63
B8,3,74,74,4135.0,4635.75,7670.5,0.08162600967600336,heldout,63
B4,0,939,939,1001.5,1636.5,1942.5,0.23689512134965285,train,65
B4,1,938,938,1943.0,2171.25,2372.5,0.015715829252008543,train,65
B4,2,935,935,2373.5,2546.5,2710.5,0.014064609203904871,train,65
B4,3,942,942,2711.5,2907.25,7272.5,0.038588043738546546,train,65
B6,0,939,939,1002.5,1771.5,2050.5,0.01950399942978769,train,65
B6,1,937,937,2052.0,2266.5,2471.0,0.0125114935475095,train,65
B6,2,937,937,2471.5,2652.5,2823.0,0.012235826781540426,train,65
B6,3,941,941,2823.5,3062.5,6877.5,0.04465510062162785,train,65
B8,0,937,937,1003.5,2321.0,2808.0,0.025599088480707664,train,65
B8,1,939,939,2808.5,3086.0,3346.5,0.03508391856005529,train,65
B8,2,938,938,3347.0,3662.25,4109.5,0.04747882776328428,train,65
B8,3,940,940,4111.5,4727.25,7878.5,0.0631122324902223,train,65
B4,0,29,29,1024.5,1640.5,1923.5,0.024208545753197693,heldout,65
B4,1,18,18,1951.0,2162.5,2332.5,0.0455188072990426,heldout,65
B4,2,8,8,2381.0,2514.25,2668.0,0.01911135101144055,heldout,65
B4,3,11,11,2820.0,2934.5,3495.0,1.6405984898027797,heldout,65
B6,0,26,26,1002.5,1719.0,2049.0,0.01443451554705467,heldout,65
B6,1,16,16,2062.5,2233.0,2445.0,0.015830138577380345,heldout,65
B6,2,12,12,2484.5,2559.75,2811.5,0.017811448301074922,heldout,65
B6,3,12,12,2903.5,3115.25,3818.0,1.9654903219292228,heldout,65
B8,0,23,23,1015.5,2175.5,2746.0,0.10101431065184423,heldout,65
B8,1,16,16,2817.0,2945.0,3332.5,0.05027583284710394,heldout,65
B8,2,16,16,3386.5,3694.0,4103.5,0.05591941952699289,heldout,65
B8,3,11,11,4186.5,4443.0,6328.5,0.0612764999584,heldout,65
