method,base_method,drift_order,mean_cv_sigma68_ns,folds,total_pair_residuals,heldout_run
s02h_binned_current_drift0,s02b_template,0,3.084977709413715,3,11241,58
s02h_binned_current_drift1,s02b_template,1,3.5113395477584746,3,11241,58
s02h_binned_current_drift2,s02b_template,2,136.49239328839425,3,11241,58
s02h_binned_current_drift0,s02b_template,0,3.3854458247997226,3,9171,59
s02h_binned_current_drift1,s02b_template,1,22.110321762203856,3,9171,59
s02h_binned_current_drift2,s02b_template,2,45.84267234940609,3,9171,59
s02h_binned_current_drift0,s02b_template,0,2.5579295470856858,3,9036,60
s02h_binned_current_drift1,s02b_template,1,3.2989699188241493,3,9036,60
s02h_binned_current_drift2,s02b_template,2,3.418291727788364,3,9036,60
s02h_binned_current_drift0,s02b_template,0,2.938995237812835,3,8661,61
s02h_binned_current_drift1,s02b_template,1,2.9971468337461187,3,8661,61
s02h_binned_current_drift2,s02b_template,2,18.41700747523751,3,8661,61
s02h_binned_current_drift0,s02b_template,0,2.8937626350488768,3,9039,62
s02h_binned_current_drift1,s02b_template,1,10.025922353327301,3,9039,62
s02h_binned_current_drift2,s02b_template,2,24.344802106794194,3,9039,62
s02h_binned_current_drift0,s02b_template,0,2.898877135819949,3,10350,63
s02h_binned_current_drift1,s02b_template,1,11.124145672423078,3,10350,63
s02h_binned_current_drift2,s02b_template,2,16.191189065179767,3,10350,63
s02h_binned_current_drift0,s02b_template,0,3.102471137745423,3,11262,65
s02h_binned_current_drift1,s02b_template,1,3.5768271120887256,3,11262,65
s02h_binned_current_drift2,s02b_template,2,23.987645750246802,3,11262,65
