heldout_run,heldout_group,n_scored_events,training_policy,training_runs,synthetic_train_source_runs,cnn_synthetic_holdout_auc,cnn_synthetic_holdout_ap,cnn_synthetic_holdout_brier,cnn_secondary_fraction_mae,cnn_shuffled_label_synthetic_auc
44,high_20nA,652,low_current_only_source_run_heldout,46 47,46 47,0.9372660337029557,0.9295018745739204,0.08895030244218916,0.06948936730623245,0.43403921777022
45,high_20nA,1120,low_current_only_source_run_heldout,46 47,46 47,0.9110724489795919,0.9066744822066646,0.1151550278407845,0.08430401235818863,0.4700673469387755
46,low_2nA,417,low_current_only_source_run_heldout,47,47,0.9849199210378572,0.9894711440485741,0.03484655222366407,0.041339632123708725,0.3830146876829924
47,low_2nA,675,low_current_only_source_run_heldout,46,46,0.8779629240666837,0.9100804458010409,0.11853561346657707,0.07088637351989746,0.5115599741728707
48,high_20nA,1086,low_current_only_source_run_heldout,46 47,46 47,0.9021265306122448,0.9049524152908943,0.12330220982141125,0.08635035902261734,0.4482061224489796
49,high_20nA,1107,low_current_only_source_run_heldout,46 47,46 47,0.9004408163265306,0.8897618786829449,0.12201783413464026,0.08739608526229858,0.4657744897959184
50,high_20nA,996,low_current_only_source_run_heldout,46 47,46 47,0.8993,0.897328378985018,0.1219810826293782,0.08648733049631119,0.4765255102040816
51,high_20nA,903,low_current_only_source_run_heldout,46 47,46 47,0.9155051020408163,0.9221814479455734,0.11431580218619607,0.07933545857667923,0.4421387755102041
52,high_20nA,703,low_current_only_source_run_heldout,46 47,46 47,0.9239035527961128,0.9217242918566013,0.1043539849065462,0.07549557834863663,0.44309576271801354
53,high_20nA,929,low_current_only_source_run_heldout,46 47,46 47,0.9139510204081633,0.9182180457863128,0.11772536533447556,0.08229284733533859,0.44687551020408167
54,high_20nA,927,low_current_only_source_run_heldout,46 47,46 47,0.91460306122449,0.9204281615271113,0.11146045397412371,0.08006454259157181,0.4469224489795918
55,high_20nA,950,low_current_only_source_run_heldout,46 47,46 47,0.9114102040816325,0.9160124240415745,0.11081983485237064,0.07707351446151733,0.46183469387755105
56,high_20nA,1052,low_current_only_source_run_heldout,46 47,46 47,0.8944051020408161,0.9095664877207572,0.12947459957943613,0.0873076543211937,0.4653887755102041
57,high_20nA,1100,low_current_only_source_run_heldout,46 47,46 47,0.8917448979591838,0.8921284061255093,0.13346088432423073,0.09294472634792328,0.4650173469387755
