method,family,baseline,n_heldout_runs,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
extra_trees_full,ml,s02b_global_template_timewalk,7,11460,1.0985316878975313,2.132994216948789,2.712716798209423,0.02050610820244328,1.063400161805249,1.1313715679930505,-0.5938265620825753,-0.9311997437040519,-0.4052939139948389
extra_trees_no_sample6,ml,s02b_global_template_timewalk,7,11460,1.103385453378458,2.1401836425420724,2.6994278297613508,0.020680628272251308,1.0677907090736092,1.1332393587355847,-0.5889727966016487,-0.9271793950209839,-0.402961174878719
extra_trees_only_sample6,ml,s02b_global_template_timewalk,7,11460,1.1531107400704919,2.1928154287091,2.822853031314976,0.022425828970331588,1.1213144556930021,1.200285967586114,-0.5392475099096148,-0.8841665584554859,-0.33493194554315847
hgb_full,ml,s02b_global_template_timewalk,7,11460,1.1724865373537154,2.153797528725835,2.809699900761546,0.02356020942408377,1.135840205216711,1.2107510797687047,-0.5198717126263912,-0.8336169783579136,-0.3318705849032978
hgb_no_sample6,ml,s02b_global_template_timewalk,7,11460,1.1725274360205908,2.1595301281932184,2.828138602116269,0.024171029668411868,1.1344593234479268,1.2172834685095446,-0.5198308139595158,-0.8157535488180174,-0.32864171003908793
hgb_only_sample6,ml,s02b_global_template_timewalk,7,11460,1.1850386144640206,2.1396186957508037,2.7871132517314017,0.02181500872600349,1.1429120680813,1.2245311466156938,-0.507319635516086,-0.8666426800048125,-0.3148623402728394
hgb_run_family_control,run_family_control,s02b_global_template_timewalk,7,11460,1.20877135251816,2.1655031846892596,2.8221777949465015,0.022949389179755673,1.1672055135822648,1.2548324261304349,-0.4835868974619466,-0.834199637049753,-0.283840571753247
ridge_only_sample6,ml,s02b_global_template_timewalk,7,11460,1.3495705896542787,2.348436986625077,3.0926951334965946,0.02818499127399651,1.2939596534063866,1.3945024194525362,-0.34278766032582797,-0.7142608456623066,-0.14706532913948914
ridge_no_sample6,ml,s02b_global_template_timewalk,7,11460,1.3637918264577253,2.336883634534991,3.012561908338126,0.027399650959860383,1.2933783786970046,1.4098053388121554,-0.3285664235223813,-0.7376769721832391,-0.12451648856744538
ridge_full,ml,s02b_global_template_timewalk,7,11460,1.3638563353726727,2.33689076749038,3.012708795044478,0.027399650959860383,1.3054774929990034,1.4169957339991603,-0.32850191460743394,-0.70196326669042,-0.11661708936251775
ridge_run_family_control,run_family_control,s02b_global_template_timewalk,7,11460,1.377843822635826,2.36068969234766,3.1398859626243643,0.02975567190226876,1.3216553200702201,1.4279487014498635,-0.3145144273442806,-0.716817670511226,-0.12788341112792254
cnn1d_only_sample6,ml,s02b_global_template_timewalk,7,11460,1.4035685319165567,2.4168583157469365,3.2154441365306594,0.030715532286212915,1.3518645853608124,1.5490459575952655,-0.2887897180635499,-0.47430195819193827,-0.13089814442912925
early_late_gated_only_sample6,ml,s02b_global_template_timewalk,7,11460,1.4249926183252735,2.42839341541843,3.234014796146962,0.034031413612565446,1.3364084230425903,1.566634013128738,-0.2673656316548332,-0.46393080394354447,-0.14112305614578843
cnn1d_no_sample6,ml,s02b_global_template_timewalk,7,11460,1.4318512542907318,2.4496836957820705,3.3462901989880067,0.037609075043630015,1.2310879045719645,1.73815975551242,-0.26050699568937485,-0.336132988108469,-0.21450661460761675
