scope,pickoff,variant,method,n_pair_residuals,sigma68_ns,full_rms_ns,ci_low,ci_high,delta_vs_raw_same_pickoff_ns,delta_ci_low,delta_ci_high
run_58,cfd20,amplitude_bin_template,cfd20/amplitude_bin_template,219,1.9399033034711517,3.999385953396561,1.521982813178608,2.182973659770095,-1.175517878145879,-1.6521336187707412,-0.901448258989631
run_58,cfd20,control_stratum,cfd20/control_stratum,219,2.029676891680387,4.095431005826637,1.7453939826306746,2.476204721830706,-1.0857442899366436,-1.3874544643336042,-0.6403468434222161
run_58,cfd20,raw,cfd20/raw,219,3.1154211816170307,4.88610097512565,2.8861698466931003,3.342592955829818,0.0,0.0,0.0
run_58,cfd20,local_linear,cfd20/local_linear,219,3.143685352146294,4.632021855286763,2.780054616263589,3.390754215734058,0.02826417052926322,-0.25107793653659805,0.14058462311946726
run_58,of_1_9,local_linear,of_1_9/local_linear,219,3.4426772370744545,3.3996509952972755,3.172809877372508,3.817181362144794,-0.34439583951109265,-0.6606913789348225,0.026889332224132853
run_58,of_1_9,raw,of_1_9/raw,219,3.787073076585547,3.8436762889382075,3.378739492295113,4.253976322814056,0.0,0.0,0.0
run_58,of_1_9,amplitude_bin_template,of_1_9/amplitude_bin_template,219,4.418273271215158,4.1568648405252375,3.8992734549415964,4.871979180059757,0.6312001946296109,0.11571360842512592,1.2158021337930949
run_58,of_1_9,control_stratum,of_1_9/control_stratum,219,4.5595803511649,4.24734104069775,4.172984570142745,5.082521056159423,0.7725072745793531,0.28924481288708054,1.3813303868224212
run_58,of_2_10,local_linear,of_2_10/local_linear,219,3.6798832106569375,3.6723503243481437,3.2282081772473648,4.117876097778873,-0.447903347175278,-0.9016503791135628,-0.023208015039081025
run_58,of_2_10,raw,of_2_10/raw,219,4.1277865578322155,4.114774514145116,3.5997481729286975,4.6447011886308704,0.0,0.0,0.0
run_58,of_2_10,amplitude_bin_template,of_2_10/amplitude_bin_template,219,4.667849860409092,4.472244432741391,4.087095173404974,5.233843955224471,0.5400633025768764,0.00614665013954226,1.0700340170165643
run_58,of_2_10,control_stratum,of_2_10/control_stratum,219,4.90887196145964,4.562312297642757,4.504624255785665,5.45356462764894,0.7810854036274248,0.4452812090660831,1.4157602587345308
run_58,of_3_11,local_linear,of_3_11/local_linear,219,3.4815058147903564,3.605248157164449,3.255032317265877,3.903600973461425,-0.3177803064895395,-0.4653296057039911,0.06110039111212943
run_58,of_3_11,raw,of_3_11/raw,219,3.799286121279896,4.056331067482309,3.428885391639564,4.0909085761880934,0.0,0.0,0.0
run_58,of_3_11,amplitude_bin_template,of_3_11/amplitude_bin_template,219,4.335998386610546,4.398157862869944,4.010799767868205,5.119211961176421,0.5367122653306504,0.2901487822672207,1.180082665994759
run_58,of_3_11,control_stratum,of_3_11/control_stratum,219,4.707717576484391,4.451345490875673,4.411121530418236,5.367119617718484,0.9084314552044948,0.657180327972656,1.4710701476102561
run_58,of_4_12,local_linear,of_4_12/local_linear,219,3.0752105422520706,3.801587701599213,2.753207351151172,3.6405876124501804,-0.12304136917822373,-0.5073652687436478,0.2688520883128739
run_58,of_4_12,raw,of_4_12/raw,219,3.1982519114302943,4.2456646994082865,2.9471466777008803,3.7909350089088574,0.0,0.0,0.0
run_58,of_4_12,amplitude_bin_template,of_4_12/amplitude_bin_template,219,3.9433929764496876,4.552719935826105,3.5798463963959044,5.027937946095018,0.7451410650193933,0.11848535505454745,1.4286951899536293
run_58,of_4_12,control_stratum,of_4_12/control_stratum,219,4.4076213294311675,4.571670681546255,3.9363425115773096,5.254777740519002,1.2093694180008732,0.645799075444803,1.7189308141673891
run_58,template_phase,local_linear,template_phase/local_linear,219,2.6428031039120548,3.3400095744832936,2.6428031039120548,2.647105308456597,0.0,-0.13036983468299157,0.0
run_58,template_phase,raw,template_phase/raw,219,2.6428031039120548,3.5439701583551564,2.6428031039120548,2.7731729385950494,0.0,0.0,0.0
run_58,template_phase,amplitude_bin_template,template_phase/amplitude_bin_template,219,2.787528558433093,5.317491194849169,2.6428031039120548,3.0231729385950494,0.14472545452103835,0.0,0.3803698346829947
run_58,template_phase,control_stratum,template_phase/control_stratum,219,2.908447484074017,5.349318814656427,2.6428031039120548,3.2731729385950508,0.26564438016196235,0.0,0.6303698346829945
