domain,method,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns,sigma68_ns_ci_low,sigma68_ns_ci_high,variant
full_transfer,gradient_boosted_trees,6628,3.5727469884698095,7.4208617811595055,9.463842597134468,0.5748340374170187,0.17335546167773083,3.689544346121098,9.977744403622577,primary_features
full_transfer,gradient_boosted_trees_amplitude_tail_excluded,6628,3.581905688594765,7.47877203286728,9.486586596231438,0.5770971635485818,0.17335546167773083,3.6171654668811657,10.00941696579698,amplitude_tail_excluded
full_transfer,mlp,6628,2.4979952818157383,8.134204601167909,9.878095624774986,0.5704586602293301,0.23461074230537116,5.6498378900393345,10.511016659489874,primary_features
full_transfer,mlp_amplitude_tail_excluded,6628,2.631611075928517,7.919170089670636,9.425592630256451,0.5713639106819554,0.2267652383826192,5.730524775654393,10.542602100273992,amplitude_tail_excluded
full_transfer,ridge,6628,2.6299262853729415,7.7049544845697255,9.230823712951228,0.5767954133977067,0.20579360289680146,5.324032225671988,9.936588693545596,primary_features
full_transfer,ridge_amplitude_tail_excluded,6628,2.476504899988303,7.993627595449347,9.298939322609543,0.5813216656608329,0.23144236572118287,5.531491044027373,10.597643435826617,amplitude_tail_excluded
support_matched,gradient_boosted_trees,4148,2.7852590954578034,7.413088941281062,9.235766389694907,0.507473481195757,0.17044358727097397,3.438676667015254,9.940058084396313,primary_features
support_matched,gradient_boosted_trees_amplitude_tail_excluded,4148,2.751122288853825,7.409512561807687,9.229142583810239,0.5130183220829315,0.16851494696239153,3.472719649286498,9.77467374943254,amplitude_tail_excluded
support_matched,mlp,4148,1.4714947256951518,7.8810570814948075,9.048720289426907,0.4992767598842816,0.21745419479267117,5.416125860726279,10.238115395673063,primary_features
support_matched,mlp_amplitude_tail_excluded,4148,1.5728062340848155,7.730095091676386,8.991500931901143,0.49734811957569913,0.2148023143683703,5.509666584665719,10.169852093391107,amplitude_tail_excluded
support_matched,ridge,4148,1.7741354238863403,7.632794566034033,8.900195520589374,0.503857280617165,0.20274831243973,5.315007960388392,10.252390554560183,primary_features
support_matched,ridge_amplitude_tail_excluded,4148,1.7244531108353884,7.592734415312933,8.925177157353303,0.5019286403085824,0.20515911282545804,5.4358826534031355,10.246610195364443,amplitude_tail_excluded
