energy_mev,range_cm,dedx_mev_cm
0.001,0.0,200.823
0.002,4.537927689233391e-06,244.12
0.005,1.530666721171128e-05,324.37899999999996
0.008,2.3894171780982795e-05,378.47400000000005
0.01,2.8988928552326332e-05,407.736
0.015,4.019879884641743e-05,492.276
0.02,4.973005461328306e-05,561.444
0.025,5.822415076309517e-05,618.6139999999999
0.03,6.602162198569839e-05,665.57
0.035,7.333157230437761e-05,703.4780000000001
0.04,8.029479880962855e-05,733.255
0.045,8.701234868610641e-05,755.7220000000001
0.05,9.35601786846182e-05,771.6679999999999
0.055,9.99973845803369e-05,781.868
0.06,0.00010637112823982348,787.086
0.07,0.00011908915193593631,785.487
0.08,0.00013192940974276836,772.2270000000001
0.09,0.00014505566452531818,751.713
0.1,0.00015858200430454638,727.2869999999999
0.12,0.00018714014327294882,675.292
0.14,0.00021790960710554294,626.525
0.16,0.00025098843928521004,584.188
0.18,0.0002863405162511443,548.417
0.2,0.00032386795407275286,518.319
0.25,0.00042631203643572865,461.159
0.3,0.0005399903064411245,420.40099999999995
0.35,0.0006637073487450563,389.105
0.4,0.0007966904156839331,363.726
0.45,0.0009384445293371178,342.367
0.5,0.0010886425153436995,323.931
0.6,0.0014134546004558463,293.327
0.7,0.0017700216627060032,268.66
0.8,0.0021575809423445332,248.2
0.9,0.0025755865984525934,230.888
1.0,0.0030236061473447916,216.016
1.25,0.004272371738057215,186.538
1.5,0.0057019993869281875,164.577
1.75,0.007308813326107968,147.529
2.0,0.009089769338322494,133.881
2.25,0.01104226224979101,122.69
2.5,0.013168774863317158,112.848
3.0,0.017921282845038754,98.53620000000001
3.5,0.023309877719084028,87.6745
4.0,0.029320855682024603,79.1259
4.5,0.035942588069318965,72.2082
5.0,0.04316496622527466,66.4864
5.5,0.0509790409550485,61.6689
6.0,0.0593767855030515,57.5528
6.5,0.06835090411303092,53.992399999999996
7.0,0.077894707424459,50.879999999999995
7.5,0.08800200936619446,48.1345
8.0,0.09866706292031081,45.6932
8.5,0.10988448547625677,43.5074
9.0,0.1216492053096196,41.5381
9.5,0.13395645156541952,39.754
10.0,0.14680169568282497,38.1297
11.0,0.17408712864079035,35.2801
12.0,0.20347544593317218,32.860099999999996
13.0,0.23493699621385528,30.7777
14.0,0.268444320480351,28.9657
15.0,0.3039718239237904,27.3737
16.0,0.34149548409055136,25.9633
17.0,0.38099266433313783,24.7045
18.0,0.42244187936305744,23.573800000000002
19.0,0.4658227510297965,22.5521
20.0,0.5111158780102493,21.6242
21.0,0.5583027293441445,20.777399999999997
22.0,0.6073655881279698,20.0014
23.0,0.6582873638499428,19.287499999999998
24.0,0.7110516272476249,18.6284
25.0,0.765642546809516,18.0179
