fold,heldout_runs,train_rows,heldout_rows,raw_sigma68_ns,traditional_sigma68_ns,ml_sigma68_ns
1,"47,48,61",52375,13109,1.6918629941637255,8.096328274522232,3.080560035562974
2,"46,49,51,59",52482,13002,2.3083713578580656,6.769527442163721,3.594525249704964
3,"52,55,58,62",52273,13211,1.9204113412736667,6.1640570379666215,3.4062437829833523
4,"44,50,53,60",52382,13102,1.9255418497015282,6.287419484482862,3.3350409738442925
5,"45,54,56,57,63,65",52424,13060,10.746201263403744,9.17617226595387,4.097889025266641
