stave,sample,occupancy,amplitude_mean,amplitude_median,amplitude_std,ci_95_low,ci_95_high,threshold_adc
B2,I,798694,3556.5673530789013,3325.0,3308.7603860767827,1274.4643195071703,3683.265236429653,0
B2,II,298034,1274.4643195071703,48.5,1987.7946525579423,1274.4643195071703,3683.265236429653,0
B4,I,798694,1570.365501681495,1854.0,1026.65599984257,1531.7767619946565,2280.000593891972,0
B4,II,298034,2280.000593891972,2605.0,654.1250829609861,1531.7767619946565,2280.000593891972,0
B6,I,798694,2415.6449585197834,2440.5,223.81732240300786,2319.3087164551694,2416.485272726599,0
B6,II,298034,2319.3087164551694,2442.0,450.4264057343571,2319.3087164551694,2416.485272726599,0
B8,I,798694,2536.2450394018233,2553.5,175.1571816961085,2466.5107890374925,2538.613369810525,0
B8,II,298034,2466.5107890374925,2550.5,411.5818597961733,2466.5107890374925,2538.613369810525,0
