base_strata,taxon_strata,metric,base_value,taxon_value,taxon_minus_base,fractional_attenuation,base_ci_low,base_ci_high,taxon_ci_low,taxon_ci_high,base_n_strata,taxon_n_strata
uncorrected,uncorrected_plus_p09a_taxon,downstream_high_minus_low,0.006762658473460766,0.004122451926345003,-0.0026402065471157624,0.39040956414950323,0.005409086155650991,0.008929345759049422,0.0020907455747442133,0.006086996547786955,9,11
p07_corrected,p07_corrected_plus_p09a_taxon,downstream_high_minus_low,0.006762537116158371,0.004122373214408075,-0.002640163901750296,0.39041026413620744,0.005357221387165886,0.00935485265247028,0.00201772648643095,0.006039025912295596,9,11
uncorrected,uncorrected_plus_p09b_adjudicated,downstream_high_minus_low,0.006762658473460766,0.0040870384408380886,-0.002675620032622677,0.39564618605579804,0.005409086155650991,0.008929345759049422,0.001999281092391663,0.006120944061584062,9,11
p07_corrected,p07_corrected_plus_p09b_adjudicated,downstream_high_minus_low,0.006762537116158371,0.004086959714992,-0.002675577401166371,0.3956469820732459,0.005357221387165886,0.00935485265247028,0.0018985500251772367,0.006147839574340312,9,11
uncorrected,uncorrected_plus_p09a_taxon,p04_duplicate_charge_median_log_shift,0.047643517262430234,0.04811280451520242,0.0004692872527721839,-0.009849970777498517,0.021792001883220696,0.05672774451259835,0.021632383962662535,0.06147832904131675,9,11
p07_corrected,p07_corrected_plus_p09a_taxon,p07_corrected_charge_median_log_shift,0.047611200196448,0.0480778006993209,0.0004666005028728937,-0.009800225597079236,0.025007561345870476,0.057555205544634794,0.021998760264183983,0.059784469501972526,9,11
uncorrected,uncorrected_plus_p09b_adjudicated,p04_duplicate_charge_median_log_shift,0.047643517262430234,0.046975379889950535,-0.0006681373724796991,0.014023678579384932,0.021792001883220696,0.05672774451259835,0.021733687440795398,0.0581245802421427,9,11
p07_corrected,p07_corrected_plus_p09b_adjudicated,p07_corrected_charge_median_log_shift,0.047611200196448,0.0469403698885564,-0.0006708303078916053,0.014089758399781993,0.025007561345870476,0.057555205544634794,0.023922441207969183,0.05829070837184197,9,11
