stratum,low_n,high_n,match_weight_raw,low_downstream_fraction,high_downstream_fraction,downstream_high_minus_low,match_weight
q_ge_32k|s16_no_lowering|B2_unsat|p09b=unassigned_common,2252,87105,2252,0.0053285968028419185,0.010355318294012972,0.005026721491171054,0.3979501678741827
q_ge_32k|s16_no_lowering|B2_sat_proxy|p09b=unassigned_common,1370,96845,1370,0.013138686131386862,0.015746811915948164,0.0026081257845613024,0.24209224244566177
q_16k_32k|s16_no_lowering|B2_unsat|p09b=unassigned_common,1134,19802,1134,0.007936507936507936,0.01701848298151702,0.009081975045009082,0.20038876126524122
q_8k_16k|s16_no_lowering|B2_unsat|p09b=unassigned_common,555,8556,555,0.007207207207207207,0.0035063113604488078,-0.0037008958467583996,0.09807386464039583
q_lt_8k|s16_large_lowering|B2_unsat|p09b=dropout,102,4269,102,0.00980392156862745,0.010775357226516749,0.0009714356578892983,0.018024385933910585
q_lt_8k|s16_no_lowering|B2_unsat|p09b=unassigned_common,74,1113,74,0.0,0.0008984725965858042,0.0008984725965858042,0.013076515285386111
q_lt_8k|s16_large_lowering|B2_unsat|p09b=baseline_excursion,41,1790,41,0.0,0.013407821229050279,0.013407821229050279,0.00724509630676798
q_lt_8k|s16_large_lowering|B2_unsat|p09b=unassigned_common,39,1798,39,0.02564102564102564,0.03726362625139043,0.01162260061036479,0.006891676974730518
q_8k_16k|s16_large_lowering|B2_unsat|p09b=unassigned_common,35,1870,35,0.08571428571428572,0.040106951871657755,-0.04560733384262796,0.006184838310655593
q_8k_16k|s16_mild_lowering|B2_unsat|p09b=unassigned_common,29,902,29,0.0,0.014412416851441241,0.014412416851441241,0.005124580314543206
q_16k_32k|s16_no_lowering|non_B2|p09b=unassigned_common,28,1008,28,1.0,1.0,0.0,0.004947870648524475
