heldout_run,model,n_train,n_test,auc
44,downstream_base,18000,1912,0.8682368865678519
44,charge_base,20993,1912,
44,downstream_p09a,18000,1912,0.8770543737040165
44,charge_p09a,20993,1912,
44,downstream_p09b,18000,1912,0.8765647799708164
44,charge_p09b,20993,1912,
45,downstream_base,18000,23013,0.8855916089048689
45,charge_base,20993,23013,
45,downstream_p09a,18000,23013,0.8918525781707094
45,charge_p09a,20993,23013,
45,downstream_p09b,18000,23013,0.8924819964289107
45,charge_p09b,20993,23013,
46,downstream_base,18000,677,0.7433283358320838
46,charge_base,22000,677,
46,downstream_p09a,18000,677,0.7490254872563719
46,charge_p09a,22000,677,
46,downstream_p09b,18000,677,0.7482758620689655
46,charge_p09b,22000,677,
47,downstream_base,18000,5161,0.8774249404289118
47,charge_base,20993,5161,
47,downstream_p09a,18000,5161,0.8807640984908657
47,charge_p09a,20993,5161,
47,downstream_p09b,18000,5161,0.8835091342335186
47,charge_p09b,20993,5161,
48,downstream_base,18000,13185,0.8929954279716487
48,charge_base,20993,13185,
48,downstream_p09a,18000,13185,0.8994294133974876
48,charge_p09a,20993,13185,
48,downstream_p09b,18000,13185,0.9000532731638645
48,charge_p09b,20993,13185,
49,downstream_base,18000,13937,0.8838528828959452
49,charge_base,20993,13937,
49,downstream_p09a,18000,13937,0.8919330005454408
49,charge_p09a,20993,13937,
49,downstream_p09b,18000,13937,0.8921185293023981
49,charge_p09b,20993,13937,
50,downstream_base,18000,34257,0.8700987886137643
50,charge_base,20993,34257,
50,downstream_p09a,18000,34257,0.8762558384124721
50,charge_p09a,20993,34257,
50,downstream_p09b,18000,34257,0.8783028014774648
50,charge_p09b,20993,34257,
51,downstream_base,18000,14295,0.9004174163368118
51,charge_base,20993,14295,
51,downstream_p09a,18000,14295,0.9029735516372797
51,charge_p09a,20993,14295,
51,downstream_p09b,18000,14295,0.9036583303346528
51,charge_p09b,20993,14295,
52,downstream_base,18000,6933,0.9035676549195103
52,charge_base,20993,6933,
52,downstream_p09a,18000,6933,0.9115863521979501
52,charge_p09a,20993,6933,
52,downstream_p09b,18000,6933,0.906621182492896
52,charge_p09b,20993,6933,
53,downstream_base,18000,31386,0.8817405894443529
53,charge_base,20993,31386,
53,downstream_p09a,18000,31386,0.8942524040794302
53,charge_p09a,20993,31386,
53,downstream_p09b,18000,31386,0.8921393526421195
53,charge_p09b,20993,31386,
54,downstream_base,18000,29665,0.88906627548235
54,charge_base,20993,29665,
54,downstream_p09a,18000,29665,0.8962925263867049
54,charge_p09a,20993,29665,
54,downstream_p09b,18000,29665,0.8968524110306875
54,charge_p09b,20993,29665,
55,downstream_base,18000,16841,0.8956829804993954
55,charge_base,20993,16841,
55,downstream_p09a,18000,16841,0.9019452629558943
55,charge_p09a,20993,16841,
55,downstream_p09b,18000,16841,0.9023876291595755
55,charge_p09b,20993,16841,
56,downstream_base,18000,38932,0.8848945220873842
56,charge_base,20993,38932,
56,downstream_p09a,18000,38932,0.889598804307109
56,charge_p09a,20993,38932,
56,downstream_p09b,18000,38932,0.8891783256779825
56,charge_p09b,20993,38932,
57,downstream_base,18000,12939,0.8939085370453403
57,charge_base,20993,12939,
57,downstream_p09a,18000,12939,0.8999319594409613
57,charge_p09a,20993,12939,
57,downstream_p09b,18000,12939,0.8970222772969568
57,charge_p09b,20993,12939,
