row_id,method,run,label_injected,score,threshold,veto,pool_level,pool_clean,exact_stratum_available,manual_adjudicated_pathology,base_d_t_ns,manual_proxy_votes
58:392347:10770:3399:raw_clean,traditional timing/template reference,58,0,0.0,0.0,False,adjacent_run_amp_topology_baseline,157,True,0,0.5872258446947249,1
58:392858:11249:3908:raw_clean,traditional timing/template reference,58,0,-0.3333333333333333,0.5,False,adjacent_run_amp_topology_baseline,51,True,1,2.292764509501797,1
58:392996:11382:4044:raw_clean,traditional timing/template reference,58,0,-0.6666666666666666,0.5,False,adjacent_run_amp_topology_baseline,51,True,0,1.8079858145067116,1
58:397938:15966:8976:raw_clean,traditional timing/template reference,58,0,-0.6666666666666666,0.5,False,adjacent_run_amp_topology_baseline,51,True,0,1.3326494758451162,0
58:398418:42:9453:raw_clean,traditional timing/template reference,58,0,0.6666666666666666,2.549999999999999,False,adjacent_run_amp_topology_baseline,29,True,1,2.9265218134850315,1
58:400048:1585:11080:raw_clean,traditional timing/template reference,58,0,1.0,2.0,False,adjacent_run_amp_topology_baseline,121,True,1,1.7409479819327842,2
58:400125:1658:11157:raw_clean,traditional timing/template reference,58,0,-0.3333333333333333,0.25,False,any_run_amp_topology_baseline,23,True,1,2.591583905567223,1
58:400389:1911:11420:raw_clean,traditional timing/template reference,58,0,0.3333333333333333,0.25,True,adjacent_run_amp_topology_baseline,90,True,1,2.213162533833213,1
58:400931:2410:11960:raw_clean,traditional timing/template reference,58,0,0.0,0.75,False,adjacent_run_amp_topology_baseline,81,True,0,0.096546735198931,0
58:401796:3214:12823:raw_clean,traditional timing/template reference,58,0,-0.6666666666666666,0.0,False,adjacent_run_amp_topology_baseline,157,True,0,2.060359953877775,1
58:402308:3701:13332:raw_clean,traditional timing/template reference,58,0,-0.3333333333333333,0.25,False,adjacent_run_amp_topology_baseline,84,True,0,1.1172530694520797,0
58:402626:3997:13647:raw_clean,traditional timing/template reference,58,0,-0.3333333333333333,0.25,False,adjacent_run_amp_topology_baseline,84,True,0,2.0809789606590527,1
58:404573:5824:15589:raw_clean,traditional timing/template reference,58,0,3.6666666666666665,2.549999999999999,True,adjacent_run_amp_topology_baseline,29,True,1,0.532449278631077,2
58:404672:5917:15687:raw_clean,traditional timing/template reference,58,0,-0.6666666666666666,0.0,False,adjacent_run_amp_topology_baseline,48,True,1,2.585518007394672,1
58:405213:6424:16228:raw_clean,traditional timing/template reference,58,0,2.333333333333333,2.0,True,adjacent_run_amp_topology_baseline,121,True,1,0.4573094483978366,2
58:406327:7441:17342:raw_clean,traditional timing/template reference,58,0,0.0,0.1374999999999993,False,adjacent_run_amp_topology_baseline,30,True,0,1.4708047299034916,1
58:406372:7482:17387:raw_clean,traditional timing/template reference,58,0,3.333333333333333,2.0,True,adjacent_run_amp_topology_baseline,121,True,1,2.5046005509641702,2
58:406604:7705:17619:raw_clean,traditional timing/template reference,58,0,1.0,2.549999999999999,False,adjacent_run_amp_topology_baseline,29,True,1,1.118874284210662,2
58:407377:8428:18392:raw_clean,traditional timing/template reference,58,0,0.6666666666666666,0.75,False,adjacent_run_amp_topology_baseline,81,True,0,2.1522842639594018,1
58:409620:10496:20631:raw_clean,traditional timing/template reference,58,0,-0.6666666666666666,0.25,False,adjacent_run_amp_topology_baseline,90,True,0,0.0804899859955803,0
58:409671:10543:20681:raw_clean,traditional timing/template reference,58,0,2.6666666666666665,2.5249999999999986,True,adjacent_run_amp_topology_baseline,30,True,1,2.401494042633203,2
58:410177:11017:21186:raw_clean,traditional timing/template reference,58,0,-0.3333333333333333,0.25,False,adjacent_run_amp_topology_baseline,84,True,0,2.0268148359728717,1
58:410450:11283:21459:raw_clean,traditional timing/template reference,58,0,-0.6666666666666666,0.0,False,adjacent_run_amp_topology_baseline,157,True,0,0.1450426285111774,1
58:411658:12377:22663:raw_clean,traditional timing/template reference,58,0,-0.6666666666666666,0.25,False,any_run_amp_topology_baseline,23,True,1,2.680634426329604,1
58:412612:13256:23614:raw_clean,traditional timing/template reference,58,0,0.6666666666666666,0.75,False,adjacent_run_amp_topology_baseline,81,True,1,2.917049409404413,1
58:413675:14293:24677:raw_clean,traditional timing/template reference,58,0,3.6666666666666665,2.0,True,adjacent_run_amp_topology_baseline,121,True,1,1.0429361488185125,2
58:414493:15051:25495:raw_clean,traditional timing/template reference,58,0,3.6666666666666665,2.5249999999999986,True,adjacent_run_amp_topology_baseline,30,True,1,2.784102956167203,3
58:414565:15120:25567:raw_clean,traditional timing/template reference,58,0,-0.3333333333333333,0.5,False,adjacent_run_amp_topology_baseline,51,True,0,1.6297926611354896,1
58:415534:16017:26536:raw_clean,traditional timing/template reference,58,0,-0.6666666666666666,0.5,False,adjacent_run_amp_topology_baseline,51,True,0,2.1401241134751743,1
