quantity,value
raw_root_total_files,110
raw_root_b_stack_files,53
raw_root_a_stack_files,57
sorted_b_root_files,53
sorted_a_root_files,53
root_key_check_1_path,data/root/root/hrdb_run_0012.root
root_key_check_1_keys,h101;1
root_key_check_2_path,data/root/root/hrdb_run_0013.root
root_key_check_2_keys,h101;1
raw_b_first_hrdb_run_0012_sha256,84f09fe5eabb8f0af30907c82be33dfae19cf1b78d2799ac7141da7e98649cf9
raw_b_last_hrdb_run_0065_sha256,fd443fd416e8e64b25f4358754c1cc7042a8c3b61c5a13fd82276873807e07bb
claimed_ticket_sha256,5b62fb562c00c9dd43da4a3fa58e068561e47f905aa0e0894950431dffc7a0ff
claimed_ticket_lease_sha256,3febfde0e4d444d42a6527923e9ae5c84d4684f4bd86793466d15e2e9b31a4eb
