model,alpha,fold,sigma68_ns,max_iter,learning_rate,max_leaf_nodes,l2_regularization,max_bins,random_state,alpha_global,alpha_dev,n_pair_residuals
hgb,,1,1.6987768019951055,100.0,0.08,7.0,0.0,64.0,20260709.0,,,
hgb,,2,1.4586067111780334,100.0,0.08,7.0,0.0,64.0,20260709.0,,,
hgb,,-1,1.5761238564841518,100.0,0.08,7.0,0.0,64.0,20260709.0,,,
hgb,,0,1.5680137079041458,100.0,0.08,7.0,0.1,64.0,20260709.0,,,
hgb,,1,1.7071977386840125,100.0,0.08,7.0,0.1,64.0,20260709.0,,,
hgb,,2,1.4261553007546866,100.0,0.08,7.0,0.1,64.0,20260709.0,,,
hgb,,-1,1.5671222491142816,100.0,0.08,7.0,0.1,64.0,20260709.0,,,
hgb,,0,1.5171242952099773,100.0,0.08,15.0,0.0,64.0,20260709.0,,,
hgb,,1,1.5836540772095304,100.0,0.08,15.0,0.0,64.0,20260709.0,,,
hgb,,2,1.3935832932829113,100.0,0.08,15.0,0.0,64.0,20260709.0,,,
hgb,,-1,1.4981205552341397,100.0,0.08,15.0,0.0,64.0,20260709.0,,,
hgb,,0,1.5069330874024718,100.0,0.08,15.0,0.1,64.0,20260709.0,,,
hgb,,1,1.5654331698397073,100.0,0.08,15.0,0.1,64.0,20260709.0,,,
hgb,,2,1.3885962525962454,100.0,0.08,15.0,0.1,64.0,20260709.0,,,
hgb,,-1,1.4869875032794748,100.0,0.08,15.0,0.1,64.0,20260709.0,,,
hierarchical_shrinkage,,0,1.7070591824589485,,,,,,,0.1,10.0,654.0
hierarchical_shrinkage,,1,1.8642709188212478,,,,,,,0.1,10.0,651.0
hierarchical_shrinkage,,2,1.5675957147141206,,,,,,,0.1,10.0,645.0
hierarchical_shrinkage,,-1,1.7129752719981057,,,,,,,0.1,10.0,0.0
hierarchical_shrinkage,,0,1.7513470128765052,,,,,,,0.1,100.0,654.0
hierarchical_shrinkage,,1,1.8881641243097853,,,,,,,0.1,100.0,651.0
hierarchical_shrinkage,,2,1.5988011849373913,,,,,,,0.1,100.0,645.0
hierarchical_shrinkage,,-1,1.7461041073745607,,,,,,,0.1,100.0,0.0
hierarchical_shrinkage,,0,1.7377608847730417,,,,,,,0.1,1000.0,654.0
hierarchical_shrinkage,,1,1.874392926851641,,,,,,,0.1,1000.0,651.0
hierarchical_shrinkage,,2,1.6120457755483744,,,,,,,0.1,1000.0,645.0
hierarchical_shrinkage,,-1,1.7413998623910192,,,,,,,0.1,1000.0,0.0
hierarchical_shrinkage,,0,1.7245543310695162,,,,,,,0.1,10000.0,654.0
hierarchical_shrinkage,,1,1.8680223388560293,,,,,,,0.1,10000.0,651.0
hierarchical_shrinkage,,2,1.6121986515800157,,,,,,,0.1,10000.0,645.0
hierarchical_shrinkage,,-1,1.7349251071685206,,,,,,,0.1,10000.0,0.0
hierarchical_shrinkage,,0,1.6924577614006127,,,,,,,1.0,10.0,654.0
hierarchical_shrinkage,,1,1.8466776250648032,,,,,,,1.0,10.0,651.0
hierarchical_shrinkage,,2,1.5663428788834688,,,,,,,1.0,10.0,645.0
hierarchical_shrinkage,,-1,1.7018260884496283,,,,,,,1.0,10.0,0.0
hierarchical_shrinkage,,0,1.7699911411915177,,,,,,,1.0,100.0,654.0
hierarchical_shrinkage,,1,1.9116395595085436,,,,,,,1.0,100.0,651.0
hierarchical_shrinkage,,2,1.6230896569073208,,,,,,,1.0,100.0,645.0
hierarchical_shrinkage,,-1,1.7682401192024606,,,,,,,1.0,100.0,0.0
hierarchical_shrinkage,,0,1.759654920923155,,,,,,,1.0,1000.0,654.0
hierarchical_shrinkage,,1,1.8982882258016218,,,,,,,1.0,1000.0,651.0
hierarchical_shrinkage,,2,1.6287680297650047,,,,,,,1.0,1000.0,645.0
hierarchical_shrinkage,,-1,1.7622370588299272,,,,,,,1.0,1000.0,0.0
hierarchical_shrinkage,,0,1.7473576177191381,,,,,,,1.0,10000.0,654.0
hierarchical_shrinkage,,1,1.8937383634034433,,,,,,,1.0,10000.0,651.0
hierarchical_shrinkage,,2,1.6335074148690114,,,,,,,1.0,10000.0,645.0
hierarchical_shrinkage,,-1,1.7582011319971975,,,,,,,1.0,10000.0,0.0
hierarchical_shrinkage,,0,1.363894190229692,,,,,,,10.0,10.0,654.0
hierarchical_shrinkage,,1,1.4739653078032156,,,,,,,10.0,10.0,651.0
hierarchical_shrinkage,,2,1.246381069759775,,,,,,,10.0,10.0,645.0
hierarchical_shrinkage,,-1,1.3614135225975608,,,,,,,10.0,10.0,0.0
hierarchical_shrinkage,,0,1.7263951512549403,,,,,,,10.0,100.0,654.0
hierarchical_shrinkage,,1,1.8621625897891505,,,,,,,10.0,100.0,651.0
hierarchical_shrinkage,,2,1.560431576409895,,,,,,,10.0,100.0,645.0
hierarchical_shrinkage,,-1,1.716329772484662,,,,,,,10.0,100.0,0.0
hierarchical_shrinkage,,0,1.7498630545599727,,,,,,,10.0,1000.0,654.0
hierarchical_shrinkage,,1,1.89491991475181,,,,,,,10.0,1000.0,651.0
hierarchical_shrinkage,,2,1.6186865124337249,,,,,,,10.0,1000.0,645.0
hierarchical_shrinkage,,-1,1.7544898272485028,,,,,,,10.0,1000.0,0.0
hierarchical_shrinkage,,0,1.740706032603604,,,,,,,10.0,10000.0,654.0
hierarchical_shrinkage,,1,1.8950428826080739,,,,,,,10.0,10000.0,651.0
hierarchical_shrinkage,,2,1.6240096658506027,,,,,,,10.0,10000.0,645.0
hierarchical_shrinkage,,-1,1.7532528603540936,,,,,,,10.0,10000.0,0.0
hierarchical_shrinkage,,0,0.6035405731229013,,,,,,,100.0,10.0,654.0
hierarchical_shrinkage,,1,0.6311854989258094,,,,,,,100.0,10.0,651.0
hierarchical_shrinkage,,2,0.7135293928672478,,,,,,,100.0,10.0,645.0
hierarchical_shrinkage,,-1,0.6494184883053196,,,,,,,100.0,10.0,0.0
hierarchical_shrinkage,,0,1.2441705644332441,,,,,,,100.0,100.0,654.0
hierarchical_shrinkage,,1,1.359541686192813,,,,,,,100.0,100.0,651.0
hierarchical_shrinkage,,2,1.119013369254294,,,,,,,100.0,100.0,645.0
hierarchical_shrinkage,,-1,1.240908539960117,,,,,,,100.0,100.0,0.0
hierarchical_shrinkage,,0,1.564420738542743,,,,,,,100.0,1000.0,654.0
hierarchical_shrinkage,,1,1.7100676354187527,,,,,,,100.0,1000.0,651.0
hierarchical_shrinkage,,2,1.4630041311694377,,,,,,,100.0,1000.0,645.0
hierarchical_shrinkage,,-1,1.579164168376978,,,,,,,100.0,1000.0,0.0
hierarchical_shrinkage,,0,1.592128527039281,,,,,,,100.0,10000.0,654.0
hierarchical_shrinkage,,1,1.7503070554282516,,,,,,,100.0,10000.0,651.0
hierarchical_shrinkage,,2,1.5051772685651517,,,,,,,100.0,10000.0,645.0
hierarchical_shrinkage,,-1,1.6158709503442281,,,,,,,100.0,10000.0,0.0
