scope,check,value,unit,heldout_run
all_sample_ii,train_heldout_event_id_overlap,0.0,events,
all_sample_ii,features_exclude_run_event_order_cross_stave_time,1.0,bool,
all_sample_ii,final_models_use_sample_ii_labels_or_rows,0.0,bool,
all_sample_ii,hyperparameters_selected_on_sample_i_only,1.0,bool,
heldout_run_58,ridge_shuffled_target_sigma68,2.48222376984095,ns,58.0
heldout_run_58,hgb_shuffled_target_sigma68,2.7701199833421497,ns,58.0
heldout_run_59,ridge_shuffled_target_sigma68,2.7732272772163444,ns,59.0
heldout_run_59,hgb_shuffled_target_sigma68,3.1533249992511676,ns,59.0
heldout_run_60,ridge_shuffled_target_sigma68,2.8193327782920843,ns,60.0
heldout_run_60,hgb_shuffled_target_sigma68,3.0784991758048204,ns,60.0
heldout_run_61,ridge_shuffled_target_sigma68,2.646982989329935,ns,61.0
heldout_run_61,hgb_shuffled_target_sigma68,2.740594170933229,ns,61.0
heldout_run_62,ridge_shuffled_target_sigma68,2.7641170704331506,ns,62.0
heldout_run_62,hgb_shuffled_target_sigma68,3.1539995755057775,ns,62.0
heldout_run_63,ridge_shuffled_target_sigma68,2.77285227018664,ns,63.0
heldout_run_63,hgb_shuffled_target_sigma68,3.1617680821916903,ns,63.0
heldout_run_65,ridge_shuffled_target_sigma68,2.8134554750791314,ns,65.0
heldout_run_65,hgb_shuffled_target_sigma68,2.941953236894467,ns,65.0
