feature,role
wf_0,waveform
wf_1,waveform
wf_2,waveform
wf_3,waveform
wf_4,waveform
wf_5,waveform
wf_6,waveform
wf_7,waveform
wf_8,waveform
wf_9,waveform
wf_10,waveform
wf_11,waveform
wf_12,waveform
wf_13,waveform
wf_14,waveform
wf_15,waveform
wf_16,waveform
wf_17,waveform
log_amp,scalar
inv_amp_1000,scalar
peak_sample,scalar
area_over_amp,scalar
early_norm_charge,scalar
mid_norm_charge,scalar
late_norm_charge,scalar
max_norm_slope,scalar
min_norm_slope,scalar
width_over_halfmax_samples,scalar
cfd10_ns,scalar
cfd20_ns,scalar
cfd50_ns,scalar
stave_B4,scalar
stave_B6,scalar
stave_B8,scalar
