method,family,metric,bootstrap_unit,value,ci_low,ci_high,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
cnn1d,nn,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.8408073989318117,1.7226156898250309,2.050876465486217,11460,2.1728304259481277,1.8408073989318117,2.914328928331604,0.04101221640488656,2.0749872004121515,48.964327960516826
gradient_boosted_trees,ml,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.5114121622357726,1.4541419032135237,1.6573585654907024,11460,1.7001312852678367,1.5114121622357726,2.7038354501221153,0.020942408376963352,1.8270867915638558,75.36122442839444
hierarchical_shrinkage,traditional,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.1152507565404575,1.0488540685776557,1.2605679035409314,11460,-0.5355382845262682,1.1152507565404575,2.732066126747708,0.03289703315881326,0.3382491689885969,108.0073035180949
mlp,nn,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.9480774948945323,1.7943245235324787,2.1301191681142795,11460,2.04038091823481,1.9480774948945323,2.985450663548486,0.045724258289703314,1.8484672043104855,34.110731941988696
ridge,ml,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.7358819860326322,1.7058240510742428,1.8285428264306864,11460,2.1331868001258236,1.7358819860326322,2.7288406832634924,0.019197207678883072,1.743995505242335,92.30284606599031
s03a_amp_only_global,traditional,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.722539772521086,1.679999970603802,1.919954013031675,11460,2.1787952783520765,1.722539772521086,2.8020130661518228,0.02225130890052356,1.7540706181411272,146.80738674451064
template_phase_base,traditional,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,2.5000000000000036,2.359067938531375,2.6090679385313607,11460,-4.7181358770627355,2.5000000000000036,3.7351706080729583,0.14973821989528796,1.088882097742722,244.82423066160084
waveform_morphology_gated_cnn_new,nn,pooled_sample_ii_run_bootstrap_sigma68_ns,heldout_run,1.9301170415058748,1.8017706855627842,2.1653441138034126,11460,1.9200137488546254,1.9301170415058748,3.0045038837378573,0.047207678883071556,1.8738158346314855,33.74678155003932
