method,heldout_run,timing_rmse_ns,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,energy_fractional_bias,energy_fractional_sigma68,pileup_auc,pileup_average_precision,pileup_miss_rate,false_split_rate,n_events,n_positive
1d_cnn,58,11.042293460895555,-0.007587485940505623,9.551252150308638,0.11538461538461539,-0.05095127693306846,0.0792469032261327,0.6817129629629629,0.6321277481970013,0.4583333333333333,0.2638888888888889,144,72
1d_cnn,60,12.733599380592345,-1.5113756050417493,11.85713334463322,0.20212765957446807,-0.013598742725376084,0.08583582378589202,0.7964891975308642,0.8185468634598253,0.3472222222222222,0.18055555555555555,144,72
1d_cnn,62,11.58753704413426,-2.9253244514625987,11.660533030173195,0.1511627906976744,-0.05691102950209971,0.08156261089640916,0.7615740740740741,0.7760210040414599,0.4027777777777778,0.2222222222222222,144,72
1d_cnn,64,13.759307136616476,-2.1243861375543105,10.755317603998684,0.25,-0.06753651653422513,0.08964764645762505,0.839891975308642,0.8693621134616828,0.3888888888888889,0.06944444444444445,144,72
1d_cnn,65,12.86146897178154,-2.4382844477960575,12.225498442523662,0.2608695652173913,-0.04710734185968839,0.09935409102151772,0.779513888888889,0.7523749801904115,0.3611111111111111,0.20833333333333334,144,72
gradient_boosted_trees,58,8.917605601175966,0.9433350684445552,7.776373338966933,0.1,-0.00917543755279059,0.06892802270154251,0.7374614197530864,0.6896170094447072,0.375,0.2777777777777778,144,72
gradient_boosted_trees,60,9.746982500184952,0.03387115980196587,9.68384926406515,0.10576923076923077,0.012274928373577852,0.07197254872532366,0.8194444444444444,0.8488157605822089,0.2777777777777778,0.2222222222222222,144,72
gradient_boosted_trees,62,9.444292102383852,0.5367609606648838,7.0428639831790605,0.11320754716981132,-0.012045847988631496,0.07385114823476052,0.8661265432098766,0.8902729839536366,0.2638888888888889,0.19444444444444445,144,72
gradient_boosted_trees,64,9.80410168541335,0.1537053267936317,7.114854322469991,0.11702127659574468,-0.029369728687722006,0.08345699960331229,0.8466435185185185,0.86853465605034,0.3472222222222222,0.1388888888888889,144,72
gradient_boosted_trees,65,9.471401174845674,-1.9663875638236927,8.26937491820875,0.12,-0.009104314092671737,0.07017949706812797,0.8256172839506173,0.8425322519001963,0.3055555555555556,0.20833333333333334,144,72
mlp,58,13.681458295667387,-1.3250068972654994,12.652191365673438,0.18478260869565216,0.02596426532536735,0.13717119111814452,0.7582947530864197,0.6935642928826772,0.3611111111111111,0.2777777777777778,144,72
mlp,60,13.622623488867685,-3.2191282940187937,13.45927391412227,0.2857142857142857,-0.015080093681389474,0.15630728358976526,0.8097993827160493,0.8376648958879019,0.3194444444444444,0.18055555555555555,144,72
mlp,62,11.497871487450814,-0.8256819856122677,9.708909498207962,0.18,-0.015057916770009968,0.1256347426041822,0.8043981481481483,0.8129153152034708,0.3055555555555556,0.20833333333333334,144,72
mlp,64,12.644436109320045,-1.9292766157917995,10.70912813848761,0.19387755102040816,-0.06567456832582566,0.13306890091197984,0.8545524691358025,0.8775995208075397,0.3194444444444444,0.09722222222222222,144,72
mlp,65,15.788928779100651,-2.2803024140701833,11.96965452744168,0.29245283018867924,0.0016779609166099705,0.11537124620835704,0.8175154320987655,0.7623220425250345,0.2638888888888889,0.18055555555555555,144,72
phase_residual_fusion_new,58,9.605915995213463,0.22076947111833167,7.76341152302948,0.08695652173913043,0.01831063534359422,0.058168817363267254,0.7565586419753086,0.7442480489737238,0.3611111111111111,0.2638888888888889,144,72
phase_residual_fusion_new,60,9.188921377976477,0.6081423202614245,8.540758256620677,0.10714285714285714,0.0124156569532206,0.07759211533816979,0.8393132716049383,0.8659915224889619,0.2222222222222222,0.25,144,72
