method,propensity_stratum,threshold,n_pair_residuals,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns
one_dimensional_cnn_quiet_propensity,low_quiet_propensity,0.00420177052329349,2865,0.8808568067328807,3.2617658744873914,0.01849912739965096
gradient_boosted_trees_quiet_propensity,low_quiet_propensity,0.00420177052329349,2865,1.160947512633427,2.546845721962102,0.027225130890052355
signed_physics_prior,low_quiet_propensity,0.00420177052329349,2865,1.2382423094788086,3.4466771116324733,0.019197207678883072
ridge_quiet_propensity,low_quiet_propensity,0.00420177052329349,2865,1.3257444324059302,3.2428144507323657,0.023036649214659685
mlp_quiet_propensity,low_quiet_propensity,0.00420177052329349,2865,1.3275565356788326,3.389998486519791,0.020593368237347295
quiet_gated_residual_cnn,low_quiet_propensity,0.00420177052329349,2865,1.4703478604495692,3.45907749342973,0.018848167539267015
template_phase_base,low_quiet_propensity,0.00420177052329349,2865,2.651171301093388,3.912007191831305,0.02024432809773124
quiet_gated_residual_cnn,quiet_like,0.00420177052329349,8595,1.6892257518767884,2.219715420990935,0.01605584642233857
gradient_boosted_trees_quiet_propensity,quiet_like,0.00420177052329349,8595,1.6978635819878196,2.026670019194546,0.013379872018615475
one_dimensional_cnn_quiet_propensity,quiet_like,0.00420177052329349,8595,1.714438308040826,2.2216710384454212,0.016404886561954626
ridge_quiet_propensity,quiet_like,0.00420177052329349,8595,1.841830778808563,2.2583673226818406,0.01617219313554392
signed_physics_prior,quiet_like,0.00420177052329349,8595,1.8745135974016027,2.3809528911529325,0.019895287958115182
mlp_quiet_propensity,quiet_like,0.00420177052329349,8595,2.096515835757058,2.4223111349349344,0.020826061663758
template_phase_base,quiet_like,0.00420177052329349,8595,2.9455938739469367,3.075794858371371,0.06992437463641653
