threshold,value,test_run
overlap_score_q62_train_delayed,0.6324203106545369,37
bias_score_q62_train_delayed,1.2495172402617443,37
train_delayed_candidates,137.0,37
overlap_score_q62_train_delayed,0.6435021640731855,40
bias_score_q62_train_delayed,1.199289742365104,40
train_delayed_candidates,148.0,40
overlap_score_q62_train_delayed,0.6064845217603563,42
bias_score_q62_train_delayed,1.2155751492245124,42
train_delayed_candidates,149.0,42
overlap_score_q62_train_delayed,0.6380608917226676,49
bias_score_q62_train_delayed,1.1972047393802014,49
train_delayed_candidates,146.0,49
overlap_score_q62_train_delayed,0.6176545596882705,52
bias_score_q62_train_delayed,1.2038509144290268,52
train_delayed_candidates,158.0,52
overlap_score_q62_train_delayed,0.6241532150452802,57
bias_score_q62_train_delayed,1.2131295204164632,57
train_delayed_candidates,155.0,57
overlap_score_q62_train_delayed,0.6176545596882705,58
bias_score_q62_train_delayed,1.2038509144290268,58
train_delayed_candidates,158.0,58
overlap_score_q62_train_delayed,0.6044230418574925,60
bias_score_q62_train_delayed,1.2438192661593543,60
train_delayed_candidates,154.0,60
overlap_score_q62_train_delayed,0.6356592918190808,62
bias_score_q62_train_delayed,1.2218764985899457,62
train_delayed_candidates,154.0,62
overlap_score_q62_train_delayed,0.6020469060438667,64
bias_score_q62_train_delayed,1.2065013175050499,64
train_delayed_candidates,154.0,64
overlap_score_q62_train_delayed,0.6168736116591972,65
bias_score_q62_train_delayed,1.2072984988196453,65
train_delayed_candidates,156.0,65
