method,metric,ci_low,ci_high,n_boot_valid
charge_gated_cnn_new,abstention_f1,0.6037586103623839,0.7716604503384444,1600
charge_gated_cnn_new,abstention_precision,0.43902439024390244,0.6428571428571429,1600
charge_gated_cnn_new,abstention_recall,0.8928571428571429,1.0,1600
charge_gated_cnn_new,average_precision,0.2777777777777778,0.9111111111111112,1595
charge_gated_cnn_new,balanced_accuracy,0.75,1.0,1430
charge_gated_cnn_new,charge_bias_delta,-0.3993258476257324,0.5142717361450195,1519
charge_gated_cnn_new,decision_utility,0.257547619047619,0.6811820240343734,1600
charge_gated_cnn_new,secondary_fraction_delta,-0.3128306567668915,-0.1899794042110443,1519
cnn_1d,abstention_f1,0.5796503809950694,0.8235294117647058,1600
cnn_1d,abstention_precision,0.4266617647058824,0.7,1600
cnn_1d,abstention_recall,0.8946898496240602,1.0,1600
cnn_1d,average_precision,0.6428571428571428,1.0,1591
cnn_1d,balanced_accuracy,,,0
cnn_1d,charge_bias_delta,0.02570263296365738,0.7099170684814453,1050
cnn_1d,decision_utility,0.41084050906936476,0.6826086961649346,1600
cnn_1d,secondary_fraction_delta,0.22898143529891968,0.3516172505915165,1050
gradient_boosted_trees,abstention_f1,0.0,0.35294117647058826,1600
gradient_boosted_trees,abstention_precision,0.0,1.0,1600
gradient_boosted_trees,abstention_recall,0.0,0.21621621621621623,1600
gradient_boosted_trees,average_precision,0.8333333333333333,1.0,1587
gradient_boosted_trees,balanced_accuracy,0.9482758620689655,1.0,1587
gradient_boosted_trees,charge_bias_delta,0.1734175205230713,0.43914894759655,1600
gradient_boosted_trees,decision_utility,0.683445159234815,0.7770864887315896,1600
gradient_boosted_trees,secondary_fraction_delta,-0.03234571143984794,0.09179867431521414,1600
mlp,abstention_f1,0.2857142857142857,0.6785882749326144,1600
mlp,abstention_precision,0.37032163742690055,0.7187812499999998,1600
mlp,abstention_recall,0.22853896103896104,0.6669354838709662,1600
mlp,average_precision,0.20913820656467716,0.75,1590
mlp,balanced_accuracy,0.39285714285714285,0.5,1045
mlp,charge_bias_delta,-0.592569175362587,-0.40570757389068596,1022
mlp,decision_utility,0.1694393713924964,0.47644464475079523,1600
mlp,secondary_fraction_delta,-0.22960884869098663,-0.1585210684686899,1022
ridge,abstention_f1,0.3728616476152936,0.6470985691573925,1600
ridge,abstention_precision,0.4,1.0,1600
ridge,abstention_recall,0.3333333333333333,0.5366322701688553,1600
ridge,average_precision,0.3333333333333333,1.0,1588
ridge,balanced_accuracy,0.7809027777777778,1.0,1557
ridge,charge_bias_delta,0.2514490395784378,0.6618519976735109,1600
ridge,decision_utility,0.4915812430168062,0.8924677855042588,1600
ridge,secondary_fraction_delta,0.012197218090295793,0.11343400552868832,1600
traditional_frozen_cuts,abstention_f1,0.23988235294117646,0.7111299435028248,1600
traditional_frozen_cuts,abstention_precision,0.4613636363636364,1.0,1600
traditional_frozen_cuts,abstention_recall,0.15994736842105264,0.5625,1600
traditional_frozen_cuts,average_precision,0.9166666666666666,1.0,1594
traditional_frozen_cuts,balanced_accuracy,1.0,1.0,1594
traditional_frozen_cuts,charge_bias_delta,0.11302291825413704,0.4812788471579551,1600
traditional_frozen_cuts,decision_utility,0.8125241409911802,0.9151987896509927,1600
traditional_frozen_cuts,secondary_fraction_delta,0.12459322847425938,0.20080023184418677,1600
