method,n_eval,n_binary_eval,n_overlap_true,n_charge_bias_true,n_ambiguous_true,n_decision_overlap,n_decision_charge_bias,n_decision_abstain,average_precision,balanced_accuracy,secondary_fraction_delta,charge_bias_delta,abstention_precision,abstention_recall,abstention_f1,decision_utility
traditional_frozen_cuts,69,33,6,27,36,15,37,17,0.976190476190476,1.0,0.15617123246192932,0.3059062659740448,0.8235294117647058,0.3888888888888889,0.5283018867924528,0.8774476232598685
ridge,69,33,6,27,36,21,25,23,0.5968253968253968,0.925,0.06767335534095764,0.4009159505367279,0.6521739130434783,0.4166666666666667,0.5084745762711865,0.7029486601127274
gradient_boosted_trees,69,33,6,27,36,27,37,5,0.9484126984126984,0.9807692307692308,0.02554914355278015,0.2800367474555969,0.8,0.1111111111111111,0.19512195121951217,0.727816346184767
mlp,69,33,6,27,36,1,42,26,0.4086279461279461,0.475,-0.194487527012825,-0.5204687118530273,0.5384615384615384,0.3888888888888889,0.45161290322580644,0.3520923617899424
cnn_1d,69,33,6,27,36,1,7,61,0.7361111111111112,,0.2901536822319031,0.43103545904159546,0.5737704918032787,0.9722222222222222,0.7216494845360824,0.5956633785723884
charge_gated_cnn_new,69,33,6,27,36,4,3,62,0.5949494949494949,0.875,-0.27402400970458984,-0.10200679302215576,0.5645161290322581,0.9722222222222222,0.7142857142857143,0.5698394660894661
