component,quantity,value,unit,status,evidence_path,claim_ids
A_arm_angle,1,71.5,deg,SIM_CONFIG,geant4/configs/krakow.geoconf,P-004
A_stack_physical_layers,4,4,bars,SIM_CONFIG,geant4/configs/krakow.geoconf,P-004
B_arm_angle,1,-38,deg,SIM_CONFIG,geant4/configs/krakow.geoconf,P-004
B_channel_to_G4_layer_map,4,"B2->0,B4->2,B6->4,B8->6",layer_id,SIM_CONFIG,reports/1781091056.1272.7ad60e8d__s12b_detector_map_contract/REPORT.md,P-004
B_readout_channel_labels,4,"B2,B4,B6,B8",channels,DESIGN_SPEC,configs/s03e_1781020980_5750_33243f80_sample_i_analysis_population_transfer.yaml,P-004
B_stack_physical_layers,8,8,bars,SIM_CONFIG,geant4/configs/krakow.geoconf,P-004
Sample_I_trigger_definition,1,A_AND_B_coincidence,,UNKNOWN_EXTERNAL,docs/contracts/TRIGGER_HARDWARE_RESPONSE.json,P-014
WLS_fibre_outer_diameter,2,1.8,mm,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,P-007
analysed_B_layer_centre_spacing,1,4.0,cm,SIM_CONFIG,reports/1781091056.1272.7ad60e8d__s12b_detector_map_contract/REPORT.md,P-004
beam_kinetic_energy,1,190,MeV,SIM_CONFIG,geant4/macros/run_krakow.mac,P-002
beam_test_optical_readout,1,one_fibre_one_end,,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,P-008
fibre_hole_centre_separation,1,2.0,cm,DESIGN_SPEC,docs/stave-geometry.md,P-007
fibre_hole_diameter,2,2.0,mm,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,P-007
geometry_distance_parameter,1,109,cm,SIM_CONFIG,geant4/configs/krakow.geoconf,P-004
photosensor_model,1,S13360-3050CS,,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,P-009
reflective_coating,1,TiO2_loaded,,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,P-006
stave_length,1,50,cm,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,P-006
stave_material,1,extruded_polystyrene,,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,P-006
stave_thickness_along_particle_path,1,2.0,cm,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,P-006
stave_width,1,5.18,cm,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,P-006
target_material,1,CD2,,SIM_CONFIG,geant4/macros/run_krakow.mac,P-003
