method,birks_kb_cm_mev,material_scale,geometry_scale,light_yield_scale,adc_gain_scale,smear_frac,train_score
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,0.6,0.12,1.0368314410619146
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,0.65,0.12,1.140777620819434
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,0.7,0.12,1.267147419483894
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,0.75,0.12,1.407548744085948
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,0.8,0.12,1.551122499659897
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,0.85,0.12,1.6960493811079165
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,0.9,0.12,1.8383114883153404
traditional_response_grid,0.012,1.16,1.0,0.96,1.0,0.32,1.8417132068497117
traditional_response_grid,0.008,1.16,1.0,0.96,1.0,0.32,1.8628358693754699
traditional_response_grid,0.012,1.08,1.0,0.96,1.0,0.32,1.8647463712710135
traditional_response_grid,0.012,1.16,1.0,0.96,1.0,0.18,1.8829628380805972
traditional_response_grid,0.004,1.16,1.0,0.96,1.0,0.32,1.884518691992713
traditional_response_grid,0.008,1.08,1.0,0.96,1.0,0.32,1.8854717609919405
traditional_response_grid,0.012,1.0,1.0,0.96,1.0,0.32,1.8869416220683892
traditional_response_grid,0.008,1.16,1.0,0.96,1.0,0.18,1.9036414209046653
traditional_response_grid,0.012,1.08,1.0,0.96,1.0,0.18,1.9050072064153465
traditional_response_grid,0.012,1.16,1.0,0.96,1.0,0.08,1.905669885533989
traditional_response_grid,0.0,1.16,1.0,0.96,1.0,0.32,1.9058375927378386
traditional_response_grid,0.004,1.08,1.0,0.96,1.0,0.32,1.9068484029350696
traditional_response_grid,0.008,1.0,1.0,0.96,1.0,0.32,1.908099233960545
traditional_response_grid,0.012,0.92,1.0,0.96,1.0,0.32,1.9100313616410063
traditional_response_grid,0.004,1.16,1.0,0.96,1.0,0.18,1.9251063752610758
traditional_response_grid,0.008,1.16,1.0,0.96,1.0,0.08,1.9258151219659407
traditional_response_grid,0.008,1.08,1.0,0.96,1.0,0.18,1.926022152417552
traditional_response_grid,0.012,1.08,1.0,0.96,1.0,0.08,1.9271256982256666
traditional_response_grid,0.012,1.0,1.0,0.96,1.0,0.18,1.9275570981158097
traditional_response_grid,0.0,1.08,1.0,0.96,1.0,0.32,1.9283464679333175
traditional_response_grid,0.004,1.0,1.0,0.96,1.0,0.32,1.9297246952545464
traditional_response_grid,0.008,0.92,1.0,0.96,1.0,0.32,1.931767427370571
traditional_response_grid,0.004,1.16,1.0,0.96,1.0,0.08,1.945968503342285
traditional_response_grid,0.0,1.16,1.0,0.96,1.0,0.18,1.9460361600936391
traditional_response_grid,0.004,1.08,1.0,0.96,1.0,0.18,1.9470980808914906
traditional_response_grid,0.008,1.08,1.0,0.96,1.0,0.08,1.947261753919144
traditional_response_grid,0.012,1.0,1.0,0.96,1.0,0.08,1.9485790171239803
traditional_response_grid,0.008,1.0,1.0,0.96,1.0,0.18,1.9489261309011416
traditional_response_grid,0.012,0.92,1.0,0.96,1.0,0.18,1.9502720228243142
traditional_response_grid,0.012,1.16,1.0,1.0,1.0,0.32,1.9505103348442319
traditional_response_grid,0.0,1.0,1.0,0.96,1.0,0.32,1.9515217092386437
traditional_response_grid,0.004,0.92,1.0,0.96,1.0,0.32,1.952944893211438
traditional_response_grid,0.0,1.16,1.0,0.96,1.0,0.08,1.96682368836842
traditional_response_grid,0.004,1.08,1.0,0.96,1.0,0.08,1.9678852405664722
traditional_response_grid,0.0,1.08,1.0,0.96,1.0,0.18,1.9688781043870787
traditional_response_grid,0.008,1.0,1.0,0.96,1.0,0.08,1.968981778099946
traditional_response_grid,0.004,1.0,1.0,0.96,1.0,0.18,1.9699428714535516
traditional_response_grid,0.012,0.92,1.0,0.96,1.0,0.08,1.9704808514927177
traditional_response_grid,0.008,0.92,1.0,0.96,1.0,0.18,1.971435048561802
traditional_response_grid,0.008,1.16,1.0,1.0,1.0,0.32,1.9721630691204624
traditional_response_grid,0.012,1.08,1.0,1.0,1.0,0.32,1.9735511640992158
traditional_response_grid,0.0,0.92,1.0,0.96,1.0,0.32,1.974988916688481
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,0.95,0.12,1.9768237668497148
traditional_response_grid,0.0,1.08,1.0,0.96,1.0,0.08,1.988534229897926
traditional_response_grid,0.004,1.0,1.0,0.96,1.0,0.08,1.9893715423408018
traditional_response_grid,0.012,1.16,1.0,1.0,1.0,0.18,1.9905494429314008
traditional_response_grid,0.008,0.92,1.0,0.96,1.0,0.08,1.990570623646801
traditional_response_grid,0.0,1.0,1.0,0.96,1.0,0.18,1.991887456870672
traditional_response_grid,0.004,0.92,1.0,0.96,1.0,0.18,1.9927513783645268
traditional_response_grid,0.004,1.16,1.0,1.0,1.0,0.32,1.994036534130337
traditional_response_grid,0.008,1.08,1.0,1.0,1.0,0.32,1.995772615498521
traditional_response_grid,0.012,1.0,1.0,1.0,1.0,0.32,1.997442544607118
traditional_response_grid,0.012,1.16,1.0,1.0,1.0,0.08,2.0091508657592185
traditional_response_grid,0.0,1.0,1.0,0.96,1.0,0.08,2.0103626915666712
traditional_response_grid,0.004,0.92,1.0,0.96,1.0,0.08,2.0113369447033875
traditional_response_grid,0.008,1.16,1.0,1.0,1.0,0.18,2.0116794925346206
traditional_response_grid,0.012,1.08,1.0,1.0,1.0,0.18,2.013027424986532
traditional_response_grid,0.0,0.92,1.0,0.96,1.0,0.18,2.014019889008674
traditional_response_grid,0.0,1.16,1.0,1.0,1.0,0.32,2.0164216960562062
traditional_response_grid,0.004,1.08,1.0,1.0,1.0,0.32,2.0179212827593083
traditional_response_grid,0.008,1.0,1.0,1.0,1.0,0.32,2.0194731069488796
traditional_response_grid,0.012,0.92,1.0,1.0,1.0,0.32,2.0214182997787398
traditional_response_grid,0.008,1.16,1.0,1.0,1.0,0.08,2.0293585060588284
traditional_response_grid,0.012,1.08,1.0,1.0,1.0,0.08,2.031042984319429
traditional_response_grid,0.0,0.92,1.0,0.96,1.0,0.08,2.0323820680376965
traditional_response_grid,0.004,1.16,1.0,1.0,1.0,0.18,2.0325714421355094
traditional_response_grid,0.008,1.08,1.0,1.0,1.0,0.18,2.0334566724207224
traditional_response_grid,0.012,1.0,1.0,1.0,1.0,0.18,2.0347922766698923
traditional_response_grid,0.0,1.08,1.0,1.0,1.0,0.32,2.0406338246771285
traditional_response_grid,0.004,1.0,1.0,1.0,1.0,0.32,2.0417068994371594
traditional_response_grid,0.008,0.92,1.0,1.0,1.0,0.32,2.043698620800416
traditional_response_grid,0.004,1.16,1.0,1.0,1.0,0.08,2.0503425108953772
traditional_response_grid,0.008,1.08,1.0,1.0,1.0,0.08,2.0516965220477164
traditional_response_grid,0.012,1.0,1.0,1.0,1.0,0.08,2.0530565114420303
traditional_response_grid,0.0,1.16,1.0,1.0,1.0,0.18,2.0534665295164083
traditional_response_grid,0.004,1.08,1.0,1.0,1.0,0.18,2.054915791240192
traditional_response_grid,0.008,1.0,1.0,1.0,1.0,0.18,2.0561677853613998
traditional_response_grid,0.012,0.92,1.0,1.0,1.0,0.18,2.057517133178609
traditional_response_grid,0.012,1.16,1.0,1.04,1.0,0.32,2.058824523343072
traditional_response_grid,0.0,1.0,1.0,1.0,1.0,0.32,2.0656017511051874
traditional_response_grid,0.004,0.92,1.0,1.0,1.0,0.32,2.0669519191608665
traditional_response_grid,0.0,1.16,1.0,1.0,1.0,0.08,2.072313040534853
traditional_response_grid,0.004,1.08,1.0,1.0,1.0,0.08,2.0730434372906177
traditional_response_grid,0.008,1.0,1.0,1.0,1.0,0.08,2.0738698455414375
traditional_response_grid,0.012,0.92,1.0,1.0,1.0,0.08,2.075243538125237
traditional_response_grid,0.0,1.08,1.0,1.0,1.0,0.18,2.0764564671644687
traditional_response_grid,0.004,1.0,1.0,1.0,1.0,0.18,2.077511673171044
traditional_response_grid,0.008,0.92,1.0,1.0,1.0,0.18,2.0791595354760615
traditional_response_grid,0.008,1.16,1.0,1.04,1.0,0.32,2.081478165016504
traditional_response_grid,0.012,1.08,1.0,1.04,1.0,0.32,2.0834837962973136
traditional_response_grid,0.0,0.92,1.0,1.0,1.0,0.32,2.089362136514348
traditional_response_grid,0.012,1.16,1.0,1.04,1.0,0.18,2.0934916611235312
traditional_response_grid,0.0,1.08,1.0,1.0,1.0,0.08,2.094380787818849
traditional_response_grid,0.004,1.0,1.0,1.0,1.0,0.08,2.095216693273897
traditional_response_grid,0.008,0.92,1.0,1.0,1.0,0.08,2.0963350111706442
traditional_response_grid,0.0,1.0,1.0,1.0,1.0,0.18,2.0991393189439953
traditional_response_grid,0.004,0.92,1.0,1.0,1.0,0.18,2.1004387669788294
traditional_response_grid,0.004,1.16,1.0,1.04,1.0,0.32,2.1041754411860802
traditional_response_grid,0.008,1.08,1.0,1.04,1.0,0.32,2.1053877723000998
traditional_response_grid,0.012,1.0,1.0,1.04,1.0,0.32,2.1073155128449033
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,1.0,0.12,2.110827749294896
traditional_response_grid,0.012,1.16,1.0,1.04,1.0,0.08,2.111789559286685
traditional_response_grid,0.008,1.16,1.0,1.04,1.0,0.18,2.1151486090886125
traditional_response_grid,0.012,1.08,1.0,1.04,1.0,0.18,2.116271084954231
traditional_response_grid,0.0,1.0,1.0,1.0,1.0,0.08,2.117050890140068
traditional_response_grid,0.004,0.92,1.0,1.0,1.0,0.08,2.1177675943526406
traditional_response_grid,0.0,0.92,1.0,1.0,1.0,0.18,2.1220754052236317
traditional_response_grid,0.0,1.16,1.0,1.04,1.0,0.32,2.1274257614741092
traditional_response_grid,0.004,1.08,1.0,1.04,1.0,0.32,2.1284693087371394
traditional_response_grid,0.008,1.0,1.0,1.04,1.0,0.32,2.1293574837197515
traditional_response_grid,0.012,0.92,1.0,1.04,1.0,0.32,2.130826254841967
traditional_response_grid,0.008,1.16,1.0,1.04,1.0,0.08,2.1335892561526504
traditional_response_grid,0.012,1.08,1.0,1.04,1.0,0.08,2.1344750244877186
traditional_response_grid,0.004,1.16,1.0,1.04,1.0,0.18,2.137090048431551
traditional_response_grid,0.008,1.08,1.0,1.04,1.0,0.18,2.1380710868054766
traditional_response_grid,0.012,1.0,1.0,1.04,1.0,0.18,2.139467838982435
traditional_response_grid,0.0,0.92,1.0,1.0,1.0,0.08,2.139836410640466
traditional_response_grid,0.0,1.08,1.0,1.04,1.0,0.32,2.1508315713394572
traditional_response_grid,0.004,1.0,1.0,1.04,1.0,0.32,2.1517545865727623
traditional_response_grid,0.008,0.92,1.0,1.04,1.0,0.32,2.152797555643718
traditional_response_grid,0.004,1.16,1.0,1.04,1.0,0.08,2.154786246690026
traditional_response_grid,0.008,1.08,1.0,1.04,1.0,0.08,2.155974287731327
traditional_response_grid,0.012,1.0,1.0,1.04,1.0,0.08,2.1574399998220666
traditional_response_grid,0.0,1.16,1.0,1.04,1.0,0.18,2.1596360854159653
traditional_response_grid,0.004,1.08,1.0,1.04,1.0,0.18,2.1604966799750356
traditional_response_grid,0.008,1.0,1.0,1.04,1.0,0.18,2.161267360586922
traditional_response_grid,0.012,0.92,1.0,1.04,1.0,0.18,2.162559810757575
traditional_response_grid,0.0,1.0,1.0,1.04,1.0,0.32,2.1742916744384915
traditional_response_grid,0.004,0.92,1.0,1.04,1.0,0.32,2.1753272020979635
traditional_response_grid,0.0,1.16,1.0,1.04,1.0,0.08,2.1766282458327364
traditional_response_grid,0.004,1.08,1.0,1.04,1.0,0.08,2.177465518048789
