method,run,score,ks,wasserstein,median_abs_frac_error,n
1d_cnn_proxy,44,0.6186881476514269,0.3250068351116526,0.2604956397685081,0.06637134554253225,2038.0
1d_cnn_proxy,45,0.6698049383336534,0.3877175627274598,0.21927105958008214,0.12563263205222314,24333.0
1d_cnn_proxy,46,0.9897372713040283,0.643968253968254,0.2424909113479704,0.20655621197560792,687.0
1d_cnn_proxy,47,0.7905882301126768,0.3689826610863266,0.3190478407806795,0.20511545649134127,5276.0
1d_cnn_proxy,48,0.635407695629997,0.37243029804689953,0.22180372485665306,0.08234734545288891,14000.0
1d_cnn_proxy,49,0.5999680420947215,0.34437764730962483,0.2149520651993203,0.08127665917155283,14815.0
1d_cnn_proxy,50,0.7743049073259021,0.49780816778697656,0.22210144619317956,0.10879058669149178,35217.0
1d_cnn_proxy,51,0.7466190962836513,0.4805962388134254,0.2187356025385001,0.09457450986345171,14740.0
1d_cnn_proxy,52,0.7093062290300399,0.46011891667543475,0.21260084285265712,0.07317293900389621,7152.0
1d_cnn_proxy,53,0.7118535385228258,0.4616402927818572,0.2111519612891521,0.07812256890363314,32200.0
1d_cnn_proxy,54,0.7287318637315396,0.45699221763238307,0.22939003413840015,0.08469922392151283,30440.0
1d_cnn_proxy,55,0.7366717583544962,0.47022166158279644,0.2196083378249078,0.0936835178935839,17387.0
1d_cnn_proxy,56,0.7554633806658703,0.4864526238154353,0.21714094730979042,0.10373961908128924,40148.0
1d_cnn_proxy,57,0.6093301070323839,0.3579068165926189,0.21787476720500165,0.0670970464695266,13833.0
1d_cnn_proxy,58,0.7051523475290796,0.4235102128226872,0.23321470540385197,0.09685485860508103,16781.0
1d_cnn_proxy,59,0.5919304803447313,0.36493305636187967,0.19898607444883876,0.05602269906802565,21377.0
1d_cnn_proxy,60,0.732301598737253,0.45285844344558146,0.2191320106969259,0.12062228918949139,17029.0
1d_cnn_proxy,61,0.6826399761422814,0.4322283075622949,0.201298588887135,0.09822615938570323,18965.0
1d_cnn_proxy,62,0.641762769338901,0.40309176607040836,0.19611375449812907,0.08511449754072718,19089.0
1d_cnn_proxy,63,0.5942120984687884,0.35884997943518626,0.20906595814866782,0.05259232176986884,18817.0
1d_cnn_proxy,65,0.590746681647095,0.35314692112159457,0.2094485789172259,0.056302363216549016,13038.0
gp_bo_surrogate_response,44,1.1867957180836874,0.6166053795670723,0.42296553795548075,0.2944496011222687,2038.0
gp_bo_surrogate_response,45,0.9720654090208245,0.5202461466970776,0.34522143766691493,0.21319564931366386,24333.0
