run,stave,n,median_amp,p90_amp,mean_log_amp
31,B2,26948,6754.5,8807.0,8.64543913832947
31,B4,592,2957.25,4627.2,7.926234709919072
31,B6,237,2805.5,4127.5,7.866626960835634
31,B8,94,2681.0,4078.7000000000003,7.827106993408833
32,B2,27316,6663.0,8768.5,8.624262797282734
32,B4,605,3068.0,4665.0,7.951060866832147
32,B6,224,2743.5,4383.4000000000015,7.839299764932968
32,B8,95,2744.0,3924.900000000002,7.783906503423325
33,B2,47724,6394.5,8068.850000000002,8.706901953406783
33,B4,559,2934.0,4407.099999999999,7.919063097225732
33,B6,318,2828.25,4098.35,7.879333926867739
33,B8,136,2709.5,4016.25,7.786663149124657
34,B2,33373,6876.0,8513.5,8.770066164411809
34,B4,412,2909.0,4267.950000000001,7.864409309655022
34,B6,244,2795.25,4286.1,7.8781067402179
34,B8,89,2839.0,4255.800000000001,7.8863191735888885
35,B2,11029,3974.5,7426.9000000000015,8.239363313796263
35,B4,403,3034.0,4789.8,7.971936631768522
35,B6,163,2850.0,4179.900000000001,7.886349112103236
35,B8,72,2644.5,4402.0,7.804285155990946
36,B2,9847,4464.0,8232.4,8.338427594751142
36,B4,340,3099.0,4941.55,8.003600279102127
36,B6,143,2983.5,4131.8,7.903052152721667
36,B8,61,2646.0,4109.5,7.798518532614514
37,B2,22956,4542.75,8260.5,8.338390783180365
37,B4,997,3074.0,4702.2,7.963380141980829
37,B6,423,2817.5,4253.8,7.855777485986127
37,B8,161,2975.0,4581.0,7.850357843556477
39,B2,13174,4253.5,7964.85,8.29347698653507
39,B4,663,3082.0,4561.000000000001,7.95646600881253
39,B6,273,2739.0,4163.7,7.822958679797185
39,B8,108,2799.0,4405.25,7.874339316122132
40,B2,13575,4066.0,7612.8,8.253727422868522
40,B4,707,3042.0,4804.799999999999,7.970150549085145
40,B6,310,2900.0,4223.65,7.857960995211544
40,B8,116,2924.25,4385.75,7.855116646560273
41,B2,14963,4307.0,8026.300000000001,8.299924186436602
41,B4,758,3138.5,4837.450000000001,7.986125065312523
41,B6,298,2921.0,4080.750000000001,7.8937751143441695
41,B8,127,2999.5,4502.700000000001,7.895632789868444
42,B2,16977,5062.0,8596.5,8.423457739202902
42,B4,711,3069.0,4778.5,7.98711958312552
42,B6,307,2855.5,4232.1,7.873282187753211
42,B8,117,2824.5,4603.7,7.829100391119602
44,B2,1884,4409.75,7882.85,8.300857123002194
44,B4,93,3133.5,4751.6,7.933105220259668
44,B6,44,2363.5,3978.750000000001,7.744394531520641
44,B8,17,2706.5,5637.1,7.90599597320406
45,B2,22786,4735.75,8415.0,8.371096101742332
45,B4,969,2976.0,4627.7,7.934820131176362
45,B6,401,2787.0,4066.0,7.845862064310523
45,B8,177,3036.5,4464.6,7.889169087365711
46,B2,675,4500.0,8169.8,8.337264339955361
46,B4,7,2138.0,4031.600000000001,7.691465338150735
46,B6,3,2890.5,3597.7,8.001585452786033
46,B8,2,2682.75,2710.95,7.894511336093325
47,B2,5116,4761.25,8403.0,8.384206023076137
47,B4,85,2732.5,4206.7,7.887063671541161
47,B6,50,2344.25,3821.3500000000004,7.743736470951336
47,B8,25,2061.0,3781.1,7.660791006337552
48,B2,13044,4091.25,7701.600000000002,8.2556942259825
48,B4,599,3024.0,4593.400000000001,7.951489213999803
48,B6,245,2816.0,4036.5,7.859301136450937
48,B8,112,2975.0,4624.050000000001,7.86891137405665
49,B2,13779,4165.5,7752.5,8.268348304005148
49,B4,640,3003.75,4499.150000000001,7.92968051693021
49,B6,281,2816.5,4164.0,7.8814016447501665
49,B8,115,2624.0,3936.8000000000006,7.7670161969653515
50,B2,34088,7319.0,8915.5,8.779940432537472
50,B4,659,2955.0,4642.6,7.92999813009546
50,B6,330,3045.0,4271.5,7.935527163231547
50,B8,140,2923.25,4184.25,7.835673940267696
51,B2,14200,7050.5,8847.0,8.716140662871622
51,B4,303,2960.0,4399.9,7.934283967651855
51,B6,177,2873.5,4149.700000000001,7.871496196022712
51,B8,60,2883.75,4494.6,7.901906803009917
52,B2,6893,7120.5,8833.4,8.724991070609203
52,B4,148,2843.0,4767.950000000001,7.901404500600066
52,B6,76,2753.75,4168.75,7.906294223326265
52,B8,35,2966.0,4165.1,7.8876867666762385
53,B2,31225,6807.5,8403.0,8.73610044996955
53,B4,559,2965.0,4546.4,7.917797520511044
53,B6,296,2895.75,4326.75,7.891782336740786
53,B8,120,2911.25,4241.35,7.875333166434232
54,B2,29493,6806.5,8406.0,8.739187750394546
54,B4,536,2956.5,4523.0,7.929328680803263
54,B6,298,3020.0,4227.950000000001,7.893823031837846
54,B8,113,2859.5,4750.8,7.8069291621288635
55,B2,16735,6987.0,8733.0,8.705205934237496
55,B4,372,2921.0,4577.950000000001,7.938693036663389
55,B6,199,2832.0,4175.1,7.896907795135688
55,B8,81,2992.5,4777.5,7.859034609053462
56,B2,38730,7266.0,8895.5,8.764268399464266
56,B4,825,2999.5,4552.3,7.934588373563989
56,B6,421,2979.5,4304.0,7.911766014297136
56,B8,172,2962.0,4410.200000000001,7.881351310518076
57,B2,12774,4084.0,7628.750000000002,8.252177774600833
57,B4,656,2972.0,4717.25,7.947956352765014
57,B6,273,2811.5,4124.700000000001,7.8623888316195
57,B8,130,2813.5,4433.550000000001,7.826448512209599
58,B2,15791,4081.5,7030.0,8.261619724621143
58,B4,591,3037.0,4973.0,7.972140421209972
58,B6,285,2723.0,4073.2,7.858504299419943
58,B8,114,3074.0,4783.000000000001,7.925320332144335
59,B2,13565,3232.0,6058.600000000001,8.046352959622736
59,B4,4527,2791.0,4211.700000000001,7.897703498839045
59,B6,2366,2632.0,3811.75,7.817128517822875
59,B8,919,3091.0,4581.5,7.981143671674323
60,B2,9873,3274.0,5572.900000000001,8.037505507799654
60,B4,4040,3096.0,4825.5,8.015213528325141
60,B6,2189,2988.5,4503.8,7.968345706823344
60,B8,927,3392.5,5109.4,8.079223329474726
61,B2,11015,3255.5,5579.5,8.046948147645171
61,B4,4401,2907.5,4394.0,7.94409258956741
61,B6,2490,2889.75,4180.1,7.916861848992985
61,B8,1059,3274.0,4917.400000000001,8.05628132140163
62,B2,11635,3206.0,5703.3,8.026002246377368
62,B4,4183,2923.5,4382.5,7.942513497331561
62,B6,2342,2732.75,3967.45,7.866857354434198
62,B8,929,3204.0,4768.700000000001,8.030097804306855
63,B2,14566,3338.5,6709.5,8.105566022190951
63,B4,2645,2820.5,4348.0,7.901978815117017
63,B6,1153,2559.0,3718.3,7.794674655470028
63,B8,453,3083.5,4570.0,7.9733131685562055
64,B2,11907,3264.0,6344.2,8.069706468187642
64,B4,1689,2756.0,4256.1,7.873597518855674
64,B6,763,2563.5,3754.100000000001,7.775126378567956
64,B8,271,2904.0,4082.0,7.9026552832030665
65,B2,11768,3050.5,5870.300000000001,7.979120798060468
65,B4,842,2818.0,4308.799999999999,7.88154895706061
65,B6,323,2596.5,3800.400000000001,7.788393882562272
65,B8,105,2833.5,4215.7,7.856716422239376
