method,s61c_transfer_score,delta_s61c_transfer_score_vs_traditional
template_residual_boosted_stack_new,0.28691766133357155,-0.07724497922607887
gradient_boosted_trees,0.28782533291497664,-0.07633730764467378
ridge,0.3119693336929309,-0.052193306866719524
1d_cnn,0.33867199068833853,-0.025490649871311888
deltaE_over_E_likelihood_template,0.3641626405596504,0.0
joint_sequence_transformer,0.4303496847625292,0.0661870442028788
mlp,0.46037478323154285,0.09621214267189243
