method,abs_corr_pid_score_pedestal,abs_corr_pid_score_saturation,abs_corr_pid_score_pileup,abs_corr_pid_score_energy
1d_cnn,0.01649793697541561,0.08809030490122675,0.02198915899129533,0.30112193267686826
deltaE_over_E_likelihood_template,0.027901953080438788,0.2521796375866004,0.008713725431783772,0.6087818899960036
gradient_boosted_trees,0.01930696453298642,0.01759607505744554,0.009412572451803125,0.09687402430306773
joint_sequence_transformer,0.0867742886870492,0.12603620308811175,0.4446527061720044,0.025037791661316616
mlp,0.02294078427472383,0.23781233829289583,0.000917835220539939,0.4007190979141101
ridge,0.017112385399892974,0.1018953922791992,0.016553215470781025,0.25062731298264623
template_residual_boosted_stack_new,0.011084113807001843,0.013056775911845724,0.009917447958331427,0.11291619341187745
